"","Pvalues","FDR"
"Bacteroidales_5",1.7347e-05,0.0050999
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",0.00011703,0.013352
"Parabacteroides_goldsteinii",0.00016974,0.013352
"unclassified_39",0.0001935,0.013352
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.00025621,0.013352
"Firmicutes_11",0.0002725,0.013352
"Barnesiella_10",0.00045205,0.017868
"Streptococcus_1",0.00049303,0.017868
"Oscillospira_4",0.00060663,0.017868
"Streptococcus_infantis",0.00060777,0.017868
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.00071628,0.019144
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.00080007,0.019403
"Clostridium_disporicum",0.00085796,0.019403
"Paraprevotella_clara",0.0010376,0.020357
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.0010386,0.020357
"Lachnospiraceae_7",0.0011349,0.020854
"Bacteria_5",0.0013097,0.02265
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.0016297,0.026618
"Clostridiales_54",0.0026679,0.041282
