"Genus","log2FC","lfcSE","Pvalues","FDR"
"Terrisporobacter",-3.8508,0.82456,3.0095e-06,0.00021067
"Shigella",3.5357,0.83941,2.5299e-05,0.00088545
"Eggerthella",2.8534,0.8942,0.0014176,0.02731
"Megasphaera",3.3207,1.0498,0.0015606,0.02731
