"Class","Pvalues","FDR","Ahealthy","Bnormal","Cfibrose","Dzirrhose","LDAscore"
"Deltaproteobacteria",0.0013122,0.018371,14155.9267153139,5156.86054950193,947.58814229856,799.295779140957,3.82
"Verrucomicrobiae",0.0067136,0.046995,181624.740121624,87312.3305394486,1501472.27110865,87681.8900794324,5.85
