"OTU","Pvalues","FDR"
"Parabacteroides_goldsteinii",6.131e-06,0.00083614
"Bacteroidales_5",6.1635e-06,0.00083614
"Christensenella_minuta",8.0398e-06,0.00083614
"Streptococcus_1",3.4924e-05,0.002723
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",4.3637e-05,0.002723
"Firmicutes_11",7.4929e-05,0.0038963
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",0.00010305,0.004593
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.00019935,0.0066876
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.00020087,0.0066876
"Bacteria_5",0.00022969,0.0066876
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.0002591,0.0066876
"Oscillospira_4",0.00027982,0.0066876
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.00029302,0.0066876
"Bacteroides_1",0.00030008,0.0066876
"Lachnospiraceae_7",0.00045083,0.0093772
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.00050359,0.0098199
"unclassified_39",0.0005611,0.010298
"Barnesiella_10",0.00093644,0.015668
"unclassified_4",0.00095416,0.015668
"Clostridiales_51",0.0010481,0.01635
"Clostridium_disporicum",0.0011399,0.016936
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0013887,0.019694
"Pasteurellaceae",0.0016385,0.022227
"Dialister_pneumosintes",0.0017736,0.023057
"Holdemania_filiformis",0.0018838,0.023409
"Lachnospiraceae_43",0.0019627,0.023409
"Paraprevotella_clara",0.0020258,0.023409
"Streptococcus_infantis",0.0021343,0.023782
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.002274,0.024465
"Prevotella_3",0.0035774,0.037205
"Lachnospiraceae_12",0.004343,0.043711
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.0049062,0.047835
