"","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",8.5006,0.87327,2.1531e-22,6.3302e-20
"Streptococcus_1",5.4251,0.72058,5.1202e-14,7.5266e-12
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",5.3146,0.7434,8.7376e-13,7.7569e-11
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",8.3072,1.1662,1.0554e-12,7.7569e-11
"Shigella_sonnei",6.1423,0.8733,2.0159e-12,1.1853e-10
"Streptococcus_infantis",3.6279,0.60535,2.0593e-09,1.009e-07
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",4.1403,0.71524,7.0918e-09,2.9785e-07
"Bacteroidales_5",-5.7683,1.0018,8.5057e-09,3.1258e-07
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",-5.5192,0.97377,1.446e-08,4.7234e-07
"Clostridiales_23",-5.809,1.0834,8.2311e-08,2.4199e-06
"Streptococcus_anginosus",4.7358,0.89387,1.1701e-07,3.1272e-06
"Firmicutes_11",-5.3452,1.0277,1.979e-07,4.8486e-06
"Streptococcus",3.4891,0.68249,3.1812e-07,7.1944e-06
"unclassified_39",-4.5357,0.90452,5.3173e-07,1.1166e-05
"Dialister_pneumosintes",6.8845,1.4123,1.0907e-06,2.1378e-05
"Lachnospiraceae_7",-4.5402,0.95606,2.0451e-06,3.7578e-05
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",-3.8798,0.82848,2.8263e-06,4.8879e-05
"Barnesiella_10",-4.6289,1,3.6795e-06,6.0099e-05
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",-3.4515,0.77975,9.5823e-06,0.00014255
"Veillonella_rogosae",4.2783,0.9671,9.6973e-06,0.00014255
"Haemophilus_parainfluenzae",3.4734,0.7974,1.3249e-05,0.00017747
"Megasphaera",5.2,1.1939,1.328e-05,0.00017747
"Lachnoclostridium_1",-2.8119,0.64866,1.4586e-05,0.00018645
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-4.6608,1.085,1.7412e-05,0.00021329
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",-5.8979,1.3938,2.3196e-05,0.00027279
"Oscillospira_4",-4.3018,1.0221,2.5672e-05,0.00029029
"Bacteroides_1",4.8078,1.1542,3.1043e-05,0.00033802
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",-3.503,0.84324,3.2642e-05,0.00034274
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",-3.4269,0.83624,4.168e-05,0.00042255
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-4.3331,1.0759,5.644e-05,0.00055311
"Clostridiales_20",-3.6622,0.91691,6.4946e-05,0.00059994
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",-3.0277,0.75829,6.53e-05,0.00059994
"Clostridiales_54",-3.6652,0.93212,8.4213e-05,0.00075026
"Lachnospiraceae",-2.3739,0.60736,9.283e-05,0.0008027
"OTU1390|NN=Parabacteroides_gordonii_AB470344|D=80_1",5.116,1.3215,0.00010826,0.00090938
"Bacteria_5",-3.5865,0.96606,0.00020519,0.0016758
"Fusobacterium",4.0247,1.1126,0.00029776,0.002366
"Barnesiella_intestinihominis_1",-3.1579,0.87896,0.00032722,0.0025317
"Paraprevotella_clara",3.8583,1.1043,0.00047615,0.0035894
"unclassified_38",-3.2756,0.94007,0.00049313,0.0036245
"Lachnoclostridium_citroniae",2.349,0.68982,0.00066111,0.0047406
"Ruminococcus_callidus",-3.5475,1.0441,0.0006799,0.0047593
"Faecalibacterium",-2.7845,0.82448,0.00073199,0.0050048
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-4.2,1.2574,0.00083745,0.0055957
"Bacteria_8",1.0162,0.31881,0.0014356,0.0093688
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",-2.3294,0.73219,0.0014659,0.0093688
"Bacteria_3",1.0057,0.32543,0.0019985,0.012501
"Clostridiales",-2.0027,0.65565,0.0022536,0.013803
"Dorea_longicatena",-1.6277,0.53646,0.0024123,0.014474
"unclassified_3",-2.3931,0.79225,0.0025223,0.014755
"Bacteroides_8",2.6889,0.89149,0.0025596,0.014755
"Pasteurellaceae",2.6808,0.89177,0.0026461,0.014961
"Bacteria",0.98463,0.32913,0.0027753,0.015395
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7_1",-3.4633,1.1739,0.0031757,0.01729
"Bacteroides_3",-2.9812,1.0602,0.0049238,0.02632
"Bacteria_6",0.8578,0.30645,0.0051234,0.026898
"Bacteria_4",0.96943,0.34833,0.0053842,0.027537
"Eggerthella_lenta",2.0253,0.72848,0.0054324,0.027537
"Fusicatenibacter_saccharivorans",-1.8376,0.68173,0.0070286,0.035024
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",-2.4445,0.91248,0.0073852,0.036188
"Bacteria_7",0.93893,0.35201,0.0076453,0.036848
"Bacteroides_uniformis",-1.948,0.742,0.0086577,0.040281
"Parabacteroides_goldsteinii",-2.7271,1.0404,0.0087626,0.040281
"Lachnospiraceae_12",-2.7383,1.0448,0.0087686,0.040281
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",1.9766,0.75724,0.0090463,0.040359
"Bacteria_1",0.9459,0.36245,0.0090603,0.040359
