"","Pvalues","FDR","healthy","hepatopathy","LDAscore"
"Veillonella",0.0010865,0.048916,115156.942507067,889915.096839834,-5.59
"Ruminococcus",0.0014602,0.048916,462590.482525406,271759.824195672,4.98
