"","Pvalues","FDR","AIH","healthy","LDAscore"
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00036303,0.08023,824.294624579902,2293.4384597335,2.87
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.0015352,0.16964,1008.3604941417,16683.2778006088,3.89
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.0033683,0.22815,1173.0509006952,7738.31496254313,3.52
"Alistipes_obesi",0.0066217,0.22815,60933.7008163041,327837.661926278,5.13
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.006745,0.22815,2572.86737969175,17680.0784215582,3.88
"Streptococcus_infantis",0.007298,0.22815,4330.49662889643,772.082193477113,-3.25
"Alistipes_indistinctus",0.009258,0.22815,3574.78575346218,13111.3093219918,3.68
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0095993,0.22815,1127.1093888859,2291.88080251962,2.77
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.010269,0.22815,2238.97408282425,8895.97333973105,3.52
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.010781,0.22815,7917.90405437948,27220.2176241601,3.98
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.011356,0.22815,1771.93814652239,3716.53598100084,2.99
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.014073,0.24248,377.487084529441,4337.67765993729,3.3
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.014264,0.24248,1244423.46549898,85320.2278072109,-5.76
"Streptococcus_anginosus",0.015512,0.24487,703.129464965008,61.9878000006693,-2.51
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.020453,0.2896,9239.4425853281,31136.4245335041,4.04
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.022323,0.2896,218497.725418465,269008.814815667,4.4
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.023785,0.2896,1807.18236297765,2967.95007657357,2.76
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.02487,0.2896,4330.21929838835,103.421285339916,-3.33
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.025118,0.2896,184.298962465063,866.490067621691,2.53
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.027519,0.2896,1431.668037202,7736.42445683391,3.5
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.027519,0.2896,22415.5371429577,93498.7926129895,4.55
"Paraprevotella_clara",0.029572,0.29229,32123.1793774426,17837.8302007683,-3.85
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.031369,0.29229,271461.01645958,114030.26380852,-4.9
"Holdemania_filiformis",0.034066,0.29229,481.601845436582,724.817764602649,2.09
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.034069,0.29229,119067.605749443,250178.412560394,4.82
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.035859,0.29229,7702.29362301908,14044.5552380089,3.5
"Bacteroides_clarus",0.036273,0.29229,1970.69975373392,7770.66339362763,3.46
"Parabacteroides_goldsteinii",0.037033,0.29229,2612.0831510546,11066.1987555286,3.63
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.039792,0.30324,4289.58717185492,9202.13471664404,3.39
"OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85_8",0.041933,0.30891,59.3222156867443,584.698466978815,2.42
"Alistipes_putredinis",0.046945,0.33467,760274.609242035,370155.63095378,-5.29
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.049833,0.33763,5232.4581209691,16997.8736283627,3.77
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",0.050415,0.33763,956.48307294219,5156.77929269965,3.32
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.052685,0.34245,1104.20464428784,2686.38383654339,2.9
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.056106,0.35427,1920.98504693582,313.356357400494,-2.91
"OTU1551|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91_1",0.060332,0.35587,897.724547045322,2145.02257165094,2.8
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",0.060421,0.35587,700.788894851791,6676.66019181918,3.48
