"","Pvalues","FDR","AIH","healthy","LDAscore"
"Prevotella",0.0020732,0.14513,1264619.04386936,96484.3376434342,-5.77
"Ruminococcus",0.0066217,0.17029,298893.205002175,446744.879366357,4.87
"Gemmiger",0.007298,0.17029,21121.0887773012,226769.490159809,5.01
"Streptococcus",0.01301,0.22767,27788.8514272329,11570.4987867745,-3.91
"Veillonella",0.018721,0.26209,273896.452542282,114958.5827113,-4.9
"Aggregatibacter",0.02487,0.29015,4330.21929838835,103.421285339916,-3.33
"Paraprevotella",0.029572,0.29572,32123.1793774426,17837.8302007683,-3.85
"Holdemania",0.034066,0.29808,481.601845436582,724.817764602649,2.09
"Eubacterium",0.046945,0.36513,66202.8416746896,96795.9468201118,4.18
"Coprococcus",0.054786,0.3835,19917.9333545675,39805.494984285,4
"Methanobrevibacter",0.064022,0.39715,2171.26662352624,13274.9307662382,3.74
"Eggerthella",0.072062,0.39715,99.8613136993599,544.370432401553,2.35
"Lachnoclostridium",0.073757,0.39715,15707.9094698355,32504.1359284352,3.92
"Anaerofustis",0.08408,0.4204,191.1079106628,225.70090040558,1.26
"Fusobacterium",0.095102,0.42905,639.299935412356,141.863563375521,-2.4
"Atopobium",0.098191,0.42905,438.599926430317,190.778247509875,-2.1
"Haemophilus",0.1042,0.42905,89331.9901234518,7291.04068838916,-4.61
"Roseburia",0.11196,0.43541,166148.857536104,286177.315606428,4.78
"Bilophila",0.13013,0.47942,950.758840986834,5417.75344194168,3.35
"Parasutterella",0.14354,0.48794,10119.8124978441,100614.139894215,4.66
"Candidatus_Soleaferrea",0.17397,0.48794,5029.30320465704,17374.4803207066,3.79
"Lactobacillus",0.18533,0.48794,24443.2813475578,20751.4080613514,-3.27
"Sutterella",0.19647,0.48794,17969.5629484829,10000.5730705963,-3.6
"Fusicatenibacter",0.19653,0.48794,5999.18645921411,37991.2229028154,4.2
"Gemella",0.20186,0.48794,463.7375855879,200.768108277826,-2.12
"Christensenella",0.20764,0.48794,9629.10775305763,21681.089877066,3.78
"Staphylococcus",0.21512,0.48794,318.609787807666,519.628797415481,2.01
"Lactococcus",0.21869,0.48794,2099.67938784993,1995.50011511269,-1.73
"Shigella",0.21869,0.48794,8260.4883740278,4621.18213859121,-3.26
"unclassified",0.2205,0.48794,1052973.23774112,1459197.96576239,5.31
"Bradyrhizobium",0.22172,0.48794,226.581926054466,238.397049913578,0.839
"Dehalobacterium",0.22306,0.48794,1516.59628643917,1468.01692345488,-1.4
"Turicibacter",0.28931,0.6137,153874.374224068,125368.625658034,-4.15
"Faecalibacterium",0.30465,0.62722,68253.8081588965,84153.5346038675,3.9
"Clostridium",0.32052,0.64103,63080.6767844297,80392.837569278,3.94
"Phascolarctobacterium",0.37062,0.70033,177956.977880786,219435.438973246,4.32
"Akkermansia",0.37116,0.70033,361895.774553379,176676.473461381,-4.97
"Tyzzerella",0.38018,0.70033,7185.30671871326,6603.95307307331,-2.46
"Anaerotruncus",0.40776,0.71359,1249.364895274,777.403310619931,-2.37
"Dorea",0.40777,0.71359,15480.5578871428,43724.0203439563,4.15
"Barnesiella",0.42678,0.72864,389653.373745174,588901.69175963,5
"Alistipes",0.46631,0.76515,1462541.59784527,1744646.90590331,5.15
"Kluyvera",0.47002,0.76515,415.345338439637,17376.9475925149,3.93
"Anaerofilum",0.5309,0.82086,290.690650385154,680.328352728364,2.29
"Acinetobacter",0.54489,0.82086,368.046373256331,527.187093827841,1.91
"Pelomonas",0.55104,0.82086,1688.89881340384,2795.84262025625,2.74
"Odoribacter",0.55115,0.82086,43592.9658487711,96580.7020994985,4.42
"Granulicatella",0.57346,0.82128,4361.26083479044,1951.26178883142,-3.08
"Oxalobacter",0.5749,0.82128,1688.47070703273,2143.56588576874,2.36
"Rothia",0.60487,0.83345,379.040733696385,431.242507552536,1.43
"Intestinimonas",0.61642,0.83345,1496.50213056023,4480.47139255237,3.17
"Bacteroides",0.6194,0.83345,1992496.5100994,2024921.71897617,4.21
"Phenylobacterium",0.64292,0.83345,2107.01842795466,2560.64451418368,2.36
"Actinomyces",0.64294,0.83345,2646.13322267084,2492.65181800129,-1.89
"Massilia",0.66676,0.83356,2567.05786415181,2986.72827039208,2.32
"Oscillospira",0.66685,0.83356,31737.9068870835,23872.2730442129,-3.59
"Brevundimonas",0.68861,0.84566,455.016958748955,415.423020406172,-1.32
"Collinsella",0.7156,0.86327,10737.9715971085,11895.113456155,2.76
"Terrisporobacter",0.74019,0.86327,35236.9661879993,49907.6710527894,3.87
"Oscillibacter",0.74054,0.86327,508828.446021872,383158.170145253,-4.8
"Parabacteroides",0.79108,0.86327,46335.5583446556,37975.9292113479,-3.62
"Intestinibacter",0.79108,0.86327,77890.0516828504,126647.641187614,4.39
"Not_Assigned",0.79108,0.86327,222057.738046442,273633.34987269,4.41
"Bifidobacterium",0.79108,0.86327,63640.2764508829,162794.272194891,4.7
"Erysipelatoclostridium",0.80161,0.86327,45089.4718807954,1244.24137815443,-4.34
"Butyricimonas",0.81626,0.86573,62972.6070251066,62087.7150679549,-2.65
"Pseudomonas",0.88126,0.92072,1002.15209368546,1437.10242955465,2.34
"Dialister",0.9472,0.96092,527135.970059768,464352.583534395,-4.5
"Blautia",0.9472,0.96092,146408.35190812,48598.0367760429,-4.69
"Sphingomonas",1,1,41098.5069685446,47152.7377400503,3.48
