"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Axis.24","Axis.25","Axis.26","Axis.27","Axis.28","Axis.29","Axis.30","Axis.31","Axis.32","Axis.33","Axis.34","Axis.35","Axis.36","Axis.37","Axis.38","Axis.39","Axis.40","Axis.41","Axis.42"
"AIH029",-0.44923,0.20713,0.041062,-0.12399,0.07601,0.025952,-0.059894,-0.052246,-0.13115,0.11564,0.014885,-0.015903,0.12785,0.1866,0.074554,0.10336,0.11641,-0.025124,-0.094693,0.016075,-0.051706,-0.11815,-0.043527,0.052339,-0.037335,-0.07801,-0.017659,-0.022989,0.001843,0.089484,0.088254,0.015391,0.018004,-0.020888,0.022004,-0.0036794,0.0036363,-0.0030951,-0.013171,-0.013017,-0.013727,-0.018074
"AIH030",0.26455,0.23273,0.1182,-0.050036,-0.053034,-0.031386,-0.062583,0.050108,-0.022822,-0.082676,-0.065743,-0.032578,-0.0049238,0.0039767,-0.064352,-0.12219,0.095896,0.013788,-0.078911,-0.20953,0.042187,-0.037593,0.094621,0.19155,0.064506,-0.024755,-0.012214,-0.030077,-0.05308,0.020905,-0.022376,-0.014516,-0.020809,0.024729,0.025637,-0.034127,-0.004595,0.027181,0.027276,0.015003,0.013582,0.0096357
"AIH031",0.065104,-0.13537,-0.39315,0.19483,0.22476,-0.10042,-0.096608,-0.019339,-0.041209,0.0010702,0.10807,0.010474,-0.045988,0.082476,0.042213,0.017729,0.025192,-0.053782,-0.027658,-0.00014555,0.038254,0.024367,0.039621,-0.049243,0.022471,0.0053527,0.025853,-0.08858,-0.034138,-0.025796,0.052773,0.0089522,-0.0064442,0.0086099,0.023677,-0.013955,-0.026805,-0.017396,0.024565,-0.017726,0.014629,0.0062391
"AIH032",-0.54707,0.25823,0.059386,0.052164,0.15274,0.13259,-0.12124,0.10464,-0.07212,-0.039058,-0.053822,-0.030983,-0.014028,-0.033596,-0.041265,-0.0043321,0.050281,0.036865,0.091308,0.032551,0.037697,0.0032324,-0.030697,-0.036016,-0.0012183,-0.01859,-0.011041,0.039865,0.017689,-0.010611,-0.057431,-0.023457,0.0034915,0.05473,0.033567,-0.00085164,0.011425,-0.0052003,0.011547,-0.013636,0.0019108,-0.0057155
"AIH033",-0.091854,-0.10387,0.0032919,0.44321,-0.26001,0.25497,0.024354,-0.13569,0.071062,0.12863,0.029867,0.065552,-0.017885,0.11651,0.01673,0.063185,-0.024248,0.093342,0.049344,-0.051608,-0.018126,0.012225,-0.049732,0.074574,-0.015159,0.029938,-0.02678,0.029724,-0.013616,-0.06197,0.018525,-0.011609,-0.041941,-0.0085455,-0.0016593,-0.055025,-0.03219,-0.014654,-0.014944,0.024004,-0.0089662,-0.003956
"AIH035",0.27065,0.11112,-0.10875,-0.11203,0.098038,0.15018,0.11263,0.099803,-0.023105,0.018157,0.18301,-0.049835,0.03121,-0.07183,0.029977,-3.3062e-05,-0.030177,-0.090261,0.0088863,0.027769,0.0059832,0.085472,0.031729,-0.065346,-0.0071587,-0.016444,0.0063502,-0.0061277,-0.049699,0.015238,-0.029788,-0.022655,-0.078922,-0.0082984,0.054434,-0.052096,-0.038239,0.026303,-0.037253,-0.03572,-0.04508,0.0065749
"AIH036",0.27323,0.37302,0.26783,0.077742,0.062447,-0.040984,0.089499,-0.1633,0.082402,0.048797,-0.018166,0.02542,-0.046392,-0.080252,0.067474,-0.00075676,0.0062453,-0.029813,0.014293,0.093557,0.017278,-0.030642,-0.0025901,-0.026147,-0.030351,-0.045821,-0.021765,0.014096,0.011184,-0.015184,0.0083734,-0.029685,0.022426,-0.0029776,-0.02939,-0.039825,-0.0050523,-0.0034324,-0.0060493,0.015434,-0.0030583,0.0035271
"AIH037",-0.42817,0.11959,-0.0067401,0.045424,0.087694,0.037581,-0.13289,0.058009,0.1749,-0.094816,0.052223,0.0086992,0.019309,0.049892,-0.085418,-0.0099205,-0.057794,-0.070386,-0.10381,-0.061228,-0.068142,-0.049012,0.079363,-0.026092,-0.16989,-0.023921,-0.0086286,0.090881,0.021998,-0.054013,0.006615,-0.040568,0.0068713,-0.011372,-0.040793,-0.050205,-0.017446,0.031001,-0.0085491,-0.018606,0.017405,0.013726
"AIH039",-0.1122,0.03656,-0.1618,-0.14407,0.19657,0.16988,0.095612,0.029282,0.029027,0.093376,0.11146,0.17268,0.055186,-0.057149,0.019782,0.071444,0.014573,-0.033622,-0.043879,-0.060791,-0.033814,-0.01957,0.029081,-0.03844,-0.052415,-0.013387,-0.014361,0.015607,0.019803,-0.03851,-0.014737,0.020168,-0.032902,0.015157,0.022071,0.032907,0.062461,-0.0062139,0.00777,0.039145,0.034753,0.01754
"AIH040",0.16703,0.50836,0.021547,0.023265,0.085061,-0.038253,0.041093,-0.15534,0.030588,0.015122,-0.15484,0.090827,0.01035,0.0606,-0.039399,0.072867,-0.085086,-0.048629,-0.057022,0.019373,0.0075553,0.036801,0.021526,-0.0095151,-0.014408,0.037208,0.020207,-0.061186,0.00016411,0.016014,-0.061871,0.029154,0.012974,0.021734,-0.029094,-0.0030022,0.012267,-0.047863,0.005008,0.011652,-0.023775,0.017015
