"","log2FC","lfcSE","Pvalues","FDR"
"Dialister_pneumosintes",23.733,1.2917,2.1548e-75,6.4428e-73
"Streptococcus_1",5.3278,0.66389,1.0137e-15,1.5155e-13
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",5.9298,0.75212,3.1683e-15,3.1577e-13
"Shigella_sonnei",6.5624,0.88466,1.1895e-13,8.8915e-12
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",8.9632,1.2537,8.7214e-13,5.2154e-11
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",6.2028,0.93387,3.0936e-11,1.5416e-09
"Bacteroides_1",7.903,1.2489,2.4883e-10,1.0629e-08
"Streptococcus_infantis",3.541,0.56388,3.3919e-10,1.2677e-08
"Paraprevotella_clara",6.6826,1.0783,5.7443e-10,1.9084e-08
"Veillonella_rogosae",5.5288,0.99313,2.5904e-08,7.7452e-07
"Streptococcus_anginosus",4.7267,0.87798,7.301e-08,1.9846e-06
"Streptococcus",3.1689,0.6303,4.9664e-07,1.2375e-05
"Megasphaera",5.6267,1.1777,1.7746e-06,4.0815e-05
"Bacteroides_plebeius",5.6698,1.2762,8.877e-06,0.00018959
"Haemophilus_parainfluenzae",3.5452,0.8104,1.2163e-05,0.00024246
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",4.2035,0.97801,1.7238e-05,0.00030101
"Bacteroides_3",-4.4887,1.0462,1.7833e-05,0.00030101
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",-2.963,0.69119,1.8121e-05,0.00030101
"Paraprevotella_clara_1",6.4546,1.6018,5.5904e-05,0.00086998
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",-4.299,1.0694,5.8193e-05,0.00086998
"Fusicatenibacter_saccharivorans",-2.3495,0.58947,6.7233e-05,0.00095727
"Lachnoclostridium_1",-2.3512,0.59657,8.1063e-05,0.0011017
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",-3.7293,0.95499,9.4194e-05,0.0011947
"Phascolarctobacterium_succinatutens",4.8338,1.2392,9.5897e-05,0.0011947
"Fusobacterium",4.1208,1.0881,0.00015241,0.0018228
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",2.3181,0.61478,0.00016289,0.0018501
"Pasteurellaceae",3.4076,0.90525,0.00016706,0.0018501
"OTU1390|NN=Parabacteroides_gordonii_AB470344|D=80_1",5.4763,1.4688,0.00019272,0.002058
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",2.8841,0.79845,0.00030376,0.0031319
"Bacteria_8",0.98028,0.30555,0.0013355,0.01331
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",4.0926,1.2799,0.0013858,0.013366
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",4.7865,1.5038,0.0014575,0.013618
"unclassified_3",-2.3518,0.74381,0.001568,0.014207
"Bacteroides_6",2.2801,0.72919,0.001767,0.015098
"Lachnospiraceae",-1.7164,0.54895,0.0017673,0.015098
"Gemmiger",-2.5826,0.83116,0.0018883,0.01559
"Prevotella_1",3.6421,1.1745,0.0019292,0.01559
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",3.936,1.2777,0.002067,0.015874
"Bacteroides_caccae",2.2212,0.72118,0.0020705,0.015874
"unclassified_39",-2.9756,0.98802,0.0025981,0.019421
"Bacteria_5",-2.9007,0.97995,0.003076,0.021623
"Barnesiella_10",-3.1885,1.0776,0.0030862,0.021623
"Bacteroidales_5",-3.4347,1.1617,0.0031097,0.021623
"Bacteria_3",0.92461,0.31883,0.0037317,0.025359
"Bacteria",0.88413,0.31038,0.0043921,0.029183
"Clostridiales_54",-2.7449,0.98747,0.0054402,0.035361
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",-1.4947,0.54249,0.0058659,0.036718
"Lachnoclostridium",-1.6855,0.61298,0.0059667,0.036718
"Lachnospiraceae_7",-2.7135,0.98941,0.0060961,0.036718
"Bacteria_6",0.83576,0.305,0.0061401,0.036718
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-2.9644,1.1207,0.0081662,0.047876
"Lachnospiraceae_9",-1.679,0.6386,0.008561,0.049226
