"","AIH","nonAIHhepControl"
"Actinobacteria",0.00954534358414881,0.0281102953243672
"Alphaproteobacteria",0.00496969660439226,0.00271837242025004
"Bacilli",0.00630705431706604,0.0194553031668608
"Bacteroidia",0.533590658537541,0.423066885843963
"Betaproteobacteria",0.00429913414564315,0.00762618612672286
"Clostridia",0.267289209821254,0.192075180323547
"Coriobacteriia",1.73291421923927e-05,3.7127414290826e-05
"Deltaproteobacteria",9.04129157863965e-05,0.000101158751980801
"Epsilonproteobacteria",6.0275277190931e-05,5.43459252662816e-05
"Erysipelotrichia",0.0210270304480563,0.00349912427729336
"Fusobacteriia",6.8563127804684e-05,0.00123758047636087
"Gammaproteobacteria",0.0125274629231701,0.0209538517001934
"Negativicutes",0.102446874877566,0.244417839453528
"unclassified",0.000132605609820048,0.000117301106020291
"Verrucomicrobiae",0.0355669341884386,0.0546257260696327
"NA",0.00206141447992984,0.0019037216197238
