"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Comamonadaceae",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,16,10,47,5,8,0,7,3,1,4,11,19,1,13,12,15,10,50,23,25,2,16,2
"Coriobacteriaceae",76,17,8,68,6,46,2,85,711,5,30,8,212,45,255,43,82,29,44,25,52,1,26,0,1719,1,131,249,690,71,10,11,3,15,4127,55,1,71,20
"Desulfovibrionaceae",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Enterobacteriaceae",136,555,30,9,9,69,3,3,160,8,6,35,44,107,0,22,19,903,8,0,198,1692,3,172,0,36,295,7848,5683,12,10,4837,567,51,2353,8,306,39,32
"Erysipelotrichaceae",79,13466,855,1938,24,233,2,4463,11,1520,1927,2229,322,473,338,28,456,81,507,119,122,1,503,1,274,7,348,29,9,208,2242,20,35,206,24,121,3,323,864
"Eubacteriaceae",269,7,45,165,31,257,20,62,280,290,2125,71,1140,1463,1437,332,366,1270,303,199,138,0,32,2,289,94,68,203,184,108,255,4,13,734,570,277,454,1668,1015
"Fusobacteriaceae",19,15,9,19,0,2,0,3,24,0,0,0,0,0,0,0,1,40,0,3,16,0,0,0,113,4,94,12,1965,0,0,9,0,43,0,0,0,0,0
"Gemellaceae",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Lachnospiraceae",2553,8235,17072,5803,699,12027,473,1272,1792,1417,5714,486,4740,1046,2702,1635,734,2919,5086,3698,1238,14,371,182,14014,127,1822,2993,13246,3411,8948,43,350,1162,7188,1841,127,8099,2193
"Lactobacillaceae",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,31,221,5,126,29,17,12,17,1003,0,66,4,1791,5,25,107,14,0,35,13,1,788,12
"Micrococcaceae",5,0,29,1,5,7,0,1,0,0,4,2,3,0,2,0,10,19,0,2,2,0,0,0,43,0,4,1,59,0,0,9,0,11,0,1,2,12,2
"Mogibacteriaceae",1,0,0,8,15,1,4,17,110,2,9,3,35,106,9,0,11,35,40,0,61,0,2,0,0,0,6,19,0,25,1,0,1,7,0,1,2,0,0
"Moraxellaceae",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"Oscillospiraceae",323,49,96,9223,3315,2474,1366,1488,4584,3163,5970,1445,12076,10456,3044,425,853,2237,2190,2449,13537,2,237,16,3,2,450,2084,590,6042,224,22,483,32,459,844,1103,180,382
"Oxalobacteraceae",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,40,16,10,5,22,5,25,19,1,0,9,7,0,11,6,6,1,6,3,18,4,21,19
"Pasteurellaceae",1210,1417,11,2834,248,8529,4,89,80,2,574,5,175,1,53,0,71,338,271,2,2469,0,5,0,408,23,1128,13,17,151,294,5,0,6965,4,18,0,1384,132
"Peptostreptococcaceae",26,11258,59,2394,53,801,26,6375,1330,1595,3113,784,3126,1087,8917,172,1613,508,4488,18,183,4,148,21518,1,39,5,12,28,2932,792,14,15,2204,8,1489,5,1001,2349
"Porphyromonadaceae",462,1404,69,3580,9465,1318,342,6418,6296,13375,11904,7417,3354,2966,4010,1965,15581,2832,4007,11732,2732,7,1715,7,0,53,1836,2760,15,2831,1012,399,2227,71,5524,184,4696,1653,7025
"Prevotellaceae",74,242,606,14906,63022,109,13191,24958,128,834,1548,4104,16781,8152,202,495,14612,26,30,3977,15615,37,36693,16,1,2,3,47886,187,37026,4,59,1,25,495,73372,3641,82,3849
"Pseudomonadaceae",14,2,18,1,1,5,0,0,28,16,3,0,5,12,34,6,22,7,1,2,5,4,8,12,0,0,0,2,0,3,3,2,0,11,5,14,7,16,0
"Rikenellaceae",4006,68,3334,15074,20139,10249,289,9035,16109,10952,15281,9404,6463,21751,10782,41525,31821,11498,26276,15728,188,10,1230,4,2,7,5151,363,29,7450,39334,63,12419,3491,15302,4196,3423,606,12286
"Ruminococcaceae",31040,201,448,8910,3083,11248,358,5358,8137,8299,5751,3224,6426,8834,39612,5856,7533,3563,5612,37779,2857,10,5487,603,7666,391,3305,2616,761,15400,1755,158,829,979,32438,10006,7582,16381,6278
"Sphingomonadaceae",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"Staphylococcaceae",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Streptococcaceae",551,304,264,88,372,141,61,25,50,25,47,181,76,1770,84,48,561,594,158,94,192,112,11,36,8788,12,325,925,16868,19,39,883,3,583,3,26,7,773,6
"Sutterellaceae",2,150,159,224,891,1444,5,173,405,130,0,9,124,34,1294,39,29,3010,362,140,224,0,2,0,0,0,1465,653,4144,129,76,3,0,6,0,14,16,1517,1829
"unclassified",129,210,135,463,251,37,47,717,870,568,1684,196,3291,392,175,741,815,32,906,1181,529,4,755,34,13,432,215,39,3,973,25,88,58,602,225,559,106,124,22
"Veillonellaceae",11979,1148,891,26728,2434,36739,3480,14485,538,2094,183,616,1796,7161,375,176,6044,2851,143,14855,22396,24702,42256,761,4843,5738,49012,4131,33946,896,16881,85137,30,11296,17356,6503,363,9066,30590
"Verrucomicrobiaceae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",234,1324,355,373,133,987,69,216,552,468,415,89,1512,696,2147,7612,6803,487,249,234,1604,127,148,47,84,128,265,162,229,463,400,59,186,114,259,1841,930,443,203
