"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinobacteria",121,112,7749,98,113,140,15,527,862,379,232,60,490,264,1182,325,256,56,71,122,125,11,172,96,34603,19,4201,287,3745,1269,15,39,31,581,5947,116,14,159,307
"Alphaproteobacteria",376,690,836,226,85,522,7,111,555,114,81,78,61,1239,1431,184,539,182,486,215,98,85,196,231,8,18,83,222,7,351,148,158,145,484,215,344,35,612,190
"Bacilli",669,874,279,101,418,334,74,94,87,173,126,238,246,4434,156,68,703,835,240,264,231,134,29,70,10029,26,393,949,18727,39,69,993,22,637,42,39,11,1656,19
"Bacteroidia",33578,50459,85581,36496,97410,35092,14004,43595,37014,30579,36211,32059,34815,47061,29558,64693,76002,27837,44932,40757,18670,84,40079,1024,2125,25524,30101,56032,25602,50371,48095,26951,33300,12198,50465,80030,12072,54696,29308
"Betaproteobacteria",70,218,208,240,906,1501,5,189,457,156,13,20,141,119,1414,49,85,3036,419,150,254,5,34,22,2,4,1485,679,4145,153,94,24,11,62,26,57,22,1554,1850
"Clostridia",34393,24095,18009,27442,7522,27750,2332,16210,17762,15866,25035,6291,32141,24750,58301,16859,19473,11047,19016,45936,20349,46,7086,22366,22091,1149,6571,7995,14977,29092,12299,339,1770,5774,41070,17636,10308,27928,12647
"Coriobacteriia",0,0,0,4,0,0,0,2,0,0,8,0,1,5,0,3,0,0,0,0,6,0,10,0,0,0,4,29,0,0,0,0,0,0,20,0,0,0,0
"Deltaproteobacteria",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Epsilonproteobacteria",77,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,3,0,0,0,22,3,1,0,7,0,1,0,0,2,0,0,0,3,0
"Erysipelotrichia",79,13466,855,1938,24,233,2,4463,11,1520,1927,2229,322,473,338,28,456,81,507,119,122,1,503,1,274,7,348,29,9,208,2242,20,35,206,24,121,3,323,864
"Fusobacteriia",19,15,9,19,0,2,0,3,24,0,0,0,0,0,0,0,1,40,0,3,16,0,0,0,113,4,94,12,1965,0,0,9,0,43,0,0,0,0,0
"Gammaproteobacteria",1362,1975,66,2852,258,8603,7,92,270,28,583,43,224,131,104,29,126,1254,280,5,2673,1698,16,191,408,59,1423,7863,5700,173,307,4844,567,7028,2362,48,313,1439,165
"Negativicutes",11988,1159,907,27598,3682,36746,3512,14814,13139,2095,183,653,1802,7638,9879,177,6045,9916,36466,14856,22414,24703,42285,762,4843,5738,51784,14308,33946,1290,16882,85156,32,11297,17356,6534,1549,15490,30590
"unclassified",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"Verrucomicrobiae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",192,119,343,66,77,335,43,122,95,183,162,45,339,276,120,219,62,212,187,143,229,126,119,47,81,119,207,139,154,321,226,57,182,101,194,226,127,136,143
