"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Acinetobacter",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"Actinomyces",27,71,2,24,8,36,6,0,8,5,15,24,47,17,8,18,59,4,1,5,7,0,0,3,248,12,5,19,81,6,5,0,0,42,2,3,5,23,11
"Aggregatibacter",2,64,1,341,0,223,3,2,0,0,29,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,5,4,0,0,0,0,0,16,0,0,0,0,0
"Akkermansia",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"Alistipes",4006,68,3334,15074,20139,10249,289,9035,16109,10952,15281,9404,6463,21751,10782,41525,31821,11498,26276,15728,188,10,1230,4,2,7,5151,363,29,7450,39334,63,12419,3491,15302,4196,3423,606,12286
"Allisonella",0,406,3,0,0,0,0,0,0,0,0,0,14,40,226,116,0,0,0,0,1,0,111,0,0,3,0,215,0,12,2,0,0,0,0,1,0,0,130
"Anaerofilum",0,0,0,2,1,0,1,0,3,5,3,0,4,18,0,0,1,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,9
"Anaerotruncus",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,20,0,10,0,0,2,0,0,0,0,13,0,0,0,0,38,0,3,4,0,3,0
"Atopobium",7,12,2,6,5,14,1,0,8,0,0,0,0,6,0,2,56,9,3,2,10,0,0,0,6,1,0,1,16,0,0,0,0,3,1,0,1,6,0
"Bacteroides",29036,48745,81572,2936,4784,23416,182,3184,14481,5418,7478,11134,8217,14192,14564,20708,13988,13481,14619,9320,135,30,441,997,2122,25462,23111,5023,25371,3064,7745,26430,18653,8611,29144,2278,312,52355,6148
"Barnesiella",11,287,6,3298,6547,400,287,4684,4849,6221,10641,5133,1096,243,2300,3,8033,812,2973,11081,612,7,38,7,0,0,707,50,7,497,0,12,110,2,4038,45,70,613,35
"Bifidobacterium",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
"Bilophila",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Blautia",168,5622,16694,162,99,267,50,42,44,76,67,160,480,224,147,139,86,151,13,65,17,4,35,15,964,11,30,16,462,20,174,7,80,47,5085,49,41,2602,46
"Bradyrhizobium",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Brevundimonas",1,3,0,2,2,1,0,0,3,3,0,1,1,16,10,0,7,2,2,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
"Butyricimonas",5,2,0,110,2682,0,39,934,579,906,141,185,971,1254,1080,1,6389,1283,492,0,238,0,140,0,0,0,177,61,0,2,0,0,1747,0,94,88,58,152,0
"Campylobacter",77,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,3,0,0,0,22,3,1,0,7,0,1,0,0,2,0,0,0,3,0
"Candidatus_Soleaferrea",2,10,44,0,0,3,1,2,11,28,178,74,1,63,0,169,7,0,2,11,3,1,0,1,0,2,0,0,15,3977,0,1,48,0,61,128,61,0,79
"Christensenella",0,0,1,34,21,0,7,52,55,34,82,6,23,772,45,16,95,127,5,31,6,0,48,0,0,0,627,0,0,1,31,0,2,0,43,169,6,0,59
"Clostridium",24,2930,250,120,2,266,4,768,124,149,315,28,107,55,291,232,655,55,324,171,426,13,10,11,115,54,14,16,91,58,50,8,10,58,61,856,103,257,277
