"","AIH","nonAIHhepControl"
"Actinomycetales",0.000282540361832489,0.000386340340011784
"Bacillales",3.5411725349672e-05,3.17466296109962e-05
"Bacteroidales",0.533590658537541,0.423066885843963
"Bifidobacteriales",0.00806181832428702,0.0237615451461287
"Burkholderiales",0.00429913414564315,0.00762618612672286
"Campylobacterales",6.0275277190931e-05,5.43459252662816e-05
"Caulobacterales",0.000272745629288963,0.000187251306858079
"Clostridiales",0.267289209821254,0.192075180323547
"Coriobacteriales",0.00121831404022169,0.00399953725251753
"Desulfovibrionales",9.04129157863965e-05,0.000101158751980801
"Enterobacteriales",0.000901115394004418,0.0134907033492694
"Erysipelotrichales",0.0210270304480563,0.00349912427729336
"Fusobacteriales",6.8563127804684e-05,0.00123758047636087
"Gemellales",4.82202217527448e-05,4.89651405864517e-05
"Lactobacillales",0.00622342236996362,0.0193745913966634
"Pasteurellales",0.0114764127771533,0.00737059885443094
"Pseudomonadales",0.000149934752012441,9.25494964930736e-05
"Rhizobiales",2.4863551841259e-05,2.04469817833535e-05
"Selenomonadales",0.102446874877566,0.244417839453528
"Sphingomonadales",0.00467208742326204,0.00251067413160861
"unclassified",0.000132605609820048,0.000117301106020291
"Verrucomicrobiales",0.0355669341884386,0.0546257260696327
"NA",0.00206141447992984,0.0019037216197238
