"rownames.data."	"AIH"	"control"	"healthy"	"average"	"color"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"species"	"genus"	"family"	"order"	"class"	"phylum"
"OTU_36"	"OTU_36"	0.831043391486235	0.14480305268067	0.350396258999954	0.44208090105562	"aih"	0.593233888327793	0.401460230973005	2.74024971468252	0.00819727262407791	0.811529989783713	"s__"	"g__Oscillospira"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_4561"	"OTU_4561"	0.175998500694882	0.00671171032171746	0.002564835450551	0.0617583488223835	"aih"	0.171162757576787	0.0520530555530704	2.7538870485467	0.00790263508467194	0.811529989783713	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_228"	"OTU_228"	0.156387117822836	0.0284755342801221	0.0176457820612532	0.0675028113880703	"aih"	0.132810757165535	0.0602138109098619	2.10070702935607	0.0401306119257555	0.88277753036937	"s__indistinctus"	"g__Alistipes"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_5556"	"OTU_5556"	0.0594027244163508	0.000901084622677066	0.00300124693628075	0.0211016853251029	"aih"	0.0575515663660911	0.0177274522202159	2.07094367613734	0.0429326752445507	0.88277753036937	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_1706"	"OTU_1706"	0.0375901436500363	0.000688058134142493	0.00369137854949287	0.0139898601112239	"aih"	0.0355434405660924	0.011851790136659	2.25825503459424	0.0278003928283094	0.88277753036937	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_1235"	"OTU_1235"	0.115038271710192	0.0234886315555181	0.0224951789479476	0.0536740274045526	"aih"	0.0919990591914319	0.0484182633301896	2.78963796601248	0.00717584676555351	0.811529989783713	"s__"	"g__"	"f__[Barnesiellaceae]"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_653"	"OTU_653"	0.0711467826467945	0.0289025717540896	0.0293764269951825	0.0431419271320222	"aih"	0.0420298478074485	0.0407113756138145	2.02557413945857	0.047530286621592	0.88277753036937	"s__ovatus"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_1599"	"OTU_1599"	0.0109709187745202	0.00150643601411063	0.00413930455064447	0.00553888644642508	"aih"	0.0082734231843585	0.00497981922722606	2.7595827374321	0.00778248617746321	0.811529989783713	"s__massiliensis"	"g__Alistipes"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
