"rownames.data."	"AIH"	"control"	"healthy"	"average"	"color"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"species"	"genus"	"family"	"order"	"class"	"phylum"
"OTU_45"	"OTU_45"	0.115140835018133	0.0205826971822783	0.634371802976121	0.256698445058844	"healthy"	0.574996023604775	0.247736545724635	3.21479779315657	0.00215731085220942	0.230160605320506	"s__"	"g__"	"f__"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_28"	"OTU_28"	0.585223119667618	0.220937320728586	1.00568489268539	0.603948444360531	"healthy"	0.635296987776688	0.578502435387272	2.06325906451506	0.043683201321487	0.404395556685797	"s__"	"g__Turicibacter"	"f__Turicibacteraceae"	"o__Turicibacterales"	"c__Bacilli"	"p__Firmicutes"
"OTU_47"	"OTU_47"	0.0458939937904224	0.0614566251176623	0.555214386065346	0.22085500165781	"healthy"	0.500142430210141	0.218911717475768	2.75138651543204	0.00795594091097087	0.336511931620407	"s__"	"g__Ruminococcus"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_73"	"OTU_73"	0.0580279232420406	0.137411345296501	0.429616440438515	0.208351902992352	"healthy"	0.324772652907946	0.211234829000413	2.01349868960086	0.0488234275481107	0.405616447666918	"s__"	"g__"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_83"	"OTU_83"	0.0203733661680732	0.0305152848128447	0.405702490918966	0.152197047299961	"healthy"	0.379347993242437	0.150623667876637	2.27215770812338	0.0268932272364444	0.363421617636499	"s__eggerthii"	"g__Bacteroides"	"f__Bacteroidaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_90"	"OTU_90"	0.101279705227758	0.02850816981389	0.356252729876953	0.162013534972867	"healthy"	0.297889571175321	0.155947673396995	2.14263032654628	0.0364545036463947	0.389138536486473	"s__gnavus"	"g__[Ruminococcus]"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_104"	"OTU_104"	0.0553007712403425	0.0620676912494118	0.373210540794395	0.16352633442805	"healthy"	0.313919021856396	0.162127060580611	2.59907944208994	0.0118968864714285	0.336511931620407	"s__"	"g__Blautia"	"f__Lachnospiraceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_110"	"OTU_110"	0.0429443089900098	0.0487797150327587	0.238225458052466	0.109983160691745	"healthy"	0.191839755755194	0.109229760217077	2.15329579125909	0.0355676298243429	0.389138536486473	"s__indistinctus"	"g__Alistipes"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
"OTU_112"	"OTU_112"	0.00158681197868913	0.0402817373130259	0.226636461477677	0.0895016702564642	"healthy"	0.202229565327456	0.0906545123781809	2.01445705398435	0.0487197051315527	0.405616447666918	"s__"	"g__Ruminococcus"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_125"	"OTU_125"	0.0352443782190845	0.0225062429747989	0.248797840034797	0.10218282040956	"healthy"	0.221065695421317	0.100150217251498	2.68476883582689	0.00950293569544138	0.336511931620407	NA	NA	NA	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_12"	"OTU_12"	0.368761942144579	0.724829101123305	1.4639002114661	0.852497084911329	"healthy"	0.885149944795607	0.86871317962078	2.72926305785583	0.00844196699055065	0.336511931620407	"s__"	"g__"	"f__Rikenellaceae"	"o__Bacteroidales"	"c__Bacteroidia"	"p__Bacteroidetes"
