"Species","Pvalues","FDR"
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",9.094e-06,0.0022098
"Alistipes_indistinctus",1.927e-05,0.0023413
"Bacteroides_plebeius",0.00028957,0.023455
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",0.00046873,0.028475
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.00093735,0.039615
"OTU788|NN=Eggerthella_lenta_AF292375|D=92_5",0.00097814,0.039615
