#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU197|NN=Ruminococcus_albus_AY445596|D=93.7	0	0	2	0	0	3	8	1	16	139	11	9	7	3	248	334	34	1	8	40	228	0	1009	569	0	3	2	3	471	33	0	0	5949	5303	145
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_uniformis	6488	164	13420	1274	885	4931	24	186	2506	2674	2505	2666	742	8186	3093	4712	2287	12940	2603	749	4820	15480	11230	200	6257	1479	329	21430	5841	4522	19100	38780	5164	1	3321
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	108	2	2	1309	6	115	17	22	418	101	373	20	737	71	26	365	762	429	108	81	18	1	409	93	1253	186	33	6	737	135	309	0	128	55	955
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	32	145	359	11730	61010	101	12980	24550	66	0	2	3503	15860	4260	16	0	34	5	16	92	169	1	8	53	21	4	12820	1	13	21	10	16	2	7	2
Bacteria; Firmicutes; Clostridia; Clostridiales	0	3	7	41	43	506	1	26	40	67	5	8	133	116	2	7174	133	482	10	515	11	36	1166	15	21	20	5	19	71	30	12	2	54	0	24
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1	1	3	396	0	3059	6	0	6	0	0	54	442	1	4533	0	0	0	38	1	1	0	2	0	2	411	0	0	0	0	0	0	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88.5	0	0	0	0	0	0	2	189	0	111	0	0	364	210	0	0	178	463	76	493	1	0	0	0	4	0	0	251	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU93|NN=Ruminococcus_bromii_DQ882649|D=96.3	1	33	112	5	0	12	79	49	762	3128	171	3	847	1537	26470	809	1243	860	695	3269	2812	181	379	7800	623	8671	2431	499	5068	1996	1295	9	327	337	5394
Bacteria; Bacteroidetes	0	0	0	0	0	0	2	0	720	0	0	0	0	0	0	0	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU1597|NN=Eubacterium_sulci_AJ006963|D=89.4	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	42	4	0	4	0	0	1	0	0	8	0	0	0	0	0	0	4	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Odoribacter; Odoribacter_splanchnicus	442	598	34	143	196	669	10	795	358	358	590	56	477	465	46	642	555	156	705	911	395	6727	768	226	1901	248	78	87	749	1071	277	1	58	1	1965
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter	0	0	0	5	24	7	0	11	17	32	0	5	25	38	0	156	12	15	7	12	0	16	36	1	21	3	2	4	63	14	10	0	26	0	3
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister	1493	9	59	24900	53	21040	1533	13480	81	2007	3	5	31	8	2	14	2100	4	4724	27	45	17610	37	10640	1691	0	15640	3	153	1342	4745	24	4307	5282	5730
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96.9	13580	35320	16930	815	729	3218	32	665	1162	687	830	1349	2032	926	4682	867	3639	2876	502	848	2481	5125	524	2833	2854	3375	388	2179	1356	1902	3487	25810	3200	0	3969
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	529	6	2	69	17	108	3	18	12	42	28	14	73	21	16	15	2456	8	26	169	25	17	65	68	85	3560	28	301	78	7	128	1	58	605	244
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_infantis	223	138	2	33	11	10	9	2	9	3	17	9	9	79	9	10	7	0	5	14	6	0	7	5	7	1	4	15	31	11	6	0	9	7	7
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Intestinibacter; Intestinibacter_bartlettii	3	1508	26	133	43	414	19	1376	1322	878	50	55	1490	1068	2274	129	194	59	1332	3790	2056	694	24	1181	15	59	22	122	219	3135	70	4	2025	5376	1599
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU644|NN=Dorea_massiliensis_JX101687|D=88.1	111	208	22	152	163	4	16	518	810	104	434	155	1831	335	165	522	1042	50	21	694	551	0	487	184	1	110	130	4	779	186	89	311	182	150	1029
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	4	193	6	3297	0	4	285	4	4340	5099	9400	5130	19	1	2240	2	635	10260	3	4946	844	1	449	95	15820	378	1911	1067	25920	7947	15730	4	4347	1253	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	8437	8159	43	94	435	2538	38	909	378	89	680	935	441	2581	508	4212	1106	6342	746	5258	10640	1151	1122	319	1699	282	61	584	1957	1935	2298	4	1335	3	3499
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_eligens	14	0	0	12	2	0	9	10	16	60	1332	0	196	228	11	62	908	3	50	73	1	365	78	1	196	0	36	264	57	12	14	0	91	14	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	29870	41	25	7005	1479	7870	92	1076	1466	1132	3140	2454	1624	1371	4030	2705	5373	800	1308	6182	6550	2495	1392	5365	2708	5459	831	2741	5009	886	2058	11	6180	17860	8683
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU886|NN=Alistipes_senegalensis_JF824804|D=93.4	0	0	0	0	0	2	0	0	107	0	2	0	0	0	0	0	0	0	0	1	0	0	1	5	1	0	0	0	1	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	218	72	0	121	60	0	0	0	159	528	124	0	0	0	0	1	0	0	0	1	0	3	0	314	0	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella_minuta	0	0	0	23	0	0	0	0	21	3	0	3	0	53	37	0	0	0	3	0	0	0	1	0	0	0	4	0	0	0	0	0	8	0	7
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0	0	0	6	0	0	0	0	170	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	27	1405	0	41	225	1	0	0	63	114	15	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	3	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3	10	2	18	476	1173	1	288	694	2402	1661	2146	864	9308	3539	433	39	4482	1858	315	236	282	661	214	3485	696	5858	282	412	2966	1654	189	57	1593	1	1521
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; Turicibacter_sanguinis	10	6703	2	1901	4	119	1	4445	2	1326	1865	2215	26	23	271	8	26	215	1224	2017	8538	597	137	331	15	222	331	3	2651	1216	56	2576	3460	463	31
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unclassified; OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96.6	20	9290	3	385	1	15	6	4999	4	382	2848	719	229	19	6461	27	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_odontolyticus	27	71	2	24	8	36	6	0	8	5	15	24	47	17	8	18	41	1	6	31	17	10	1	6	16	10	2	15	53	74	12	11	30	77	8
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	548	1	3	269	462	1933	9	0	398	94	15	2	80	181	224	0	557	259	1187	310	2639	4995	10670	3113	2091	11	33	370	248	13	2	165	1084	0	96
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans	328	0	0	0	0	10	0	7	36	4	0	4	0	9	0	0	5	0	4	8	1	0	1	43	0	1	6	0	7	2	0	0	4	1	0
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus_parainfluenzae	1189	1347	10	2456	244	8236	1	87	80	2	539	5	173	1	39	0	27	0	36	6	0	20	0	10	43	0	634	20	75	13	181	28	52	54	17
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	26	9	11	877	1255	228	4	635	543	715	304	596	681	763	660	1493	283	20	693	1777	265	160	1337	654	3464	323	43	6	478	792	795	58	281	1	583
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96.7	229	3	12	823	502	27	51	178	5	71	1524	9	1791	19	3580	1	193	135	265	63	929	945	10	569	9	99	3311	10	1178	445	105	2	3323	199	129
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	0	0	0	0	0	0	0	4	0	9	1	7	0	0	0	82	11	10	143	14	17	16	42	19	18	12	6	23	14	33	2	0	12	1	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	4	0	137	187	2	2	0	1	86	380	216	0	360	0	427	0	0	3	3	4	0	3	0	0	0	0	0	4	1	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1	0	1	93	1	1	6	46	3	0	28	5	0	0	0	0	684	0	6249	2	1	0	16	460	1642	89	0	0	22	1	0	0	5873	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella	0	0	2	25	0	0	1	0	363	0	0	0	46	22	0	0	0	0	0	9	1	0	1	0	0	22	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86.7	0	0	0	0	6	0	0	0	0	33	6	24	2	0	0	75	12	16	1	1	0	8	2	1	11	8	0	46	20	0	0	0	0	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.2	0	0	1	13	6	12	3	9	39	147	5	1	8	12	945	1	40	0	0	125	4	4	34	4955	10	37	8	2	74	13	0	0	33	10	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	8	2	7	4	1	12	12	49	18	12	3	0	1	0	2	3	15	2	10	8	0	19	11	0	29	29	7	2	42	154	0	0	19	1639	31
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU342|NN=Clostridium_clariflavum_NR_102987.1|D=77.3	0	1	0	66	47	0	3	124	28	9	36	26	258	47	0	1	324	110	50	3	0	11	74	21	65	701	606	113	117	75	0	0	161	182	36
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU354|NN=Eubacterium_saphenum_GU427005|D=90.6	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	12	4	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	351	638	781	201	72	475	6	107	535	106	80	68	58	1184	1362	177	32	132	303	917	546	276	148	2250	97	12	424	1668	410	227	169	302	553	62	67
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_piger	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	336	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	188	84	186	13	50	59	16	18	8	7	11	88	59	1325	21	14	358	12	24	39	43	34	46	87	61	14	27	941	23	4	1	7	29	39	45
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1051|NN=Christensenella_minuta_AB490809|D=87.2	0	0	1	11	21	0	7	52	34	31	82	3	23	719	8	16	7	13	2	36	53	30	1665	32	8	10	21	21	65	43	0	0	118	53	37
