#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_perfringens	0	46	0	0	0	32	0	248	0	0	0	0	2	12	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium	0	2	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	4	1	0	0	0	10	53	2	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	0	1	0	1	0	0	0	8	1	0	11	0	19	0	0	0	2	4	0	0	20	0	0	7	0	0	1	0	0	5	12	0	10	3	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_faecium	3	8	5	856	1248	7	32	329	12600	1	0	37	5	44	9504	0	50	979	13	6751	5	4	16740	7	3	3129	0	12460	37	3	0	3	0	0	2
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU506|NN=Christensenella_minuta_AB490809|D=83.8	0	0	2	190	0	1	18	50	7	416	1173	0	776	0	0	0	4787	236	766	1118	2	133	1493	2	8	3452	210	1255	17	9	91	0	1081	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	6	14	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	1	4	2	0	0	0	0	0	0	0	0	0	3	0	7	1	21	0	4	3	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1102|NN=Gemmiger_formicilis_GU562446|D=86.8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	3	1	3	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	6	0	0	0	0	0	0	0	0	1	7	16	16	2	2	0	3	2	33	28	15	0	1	133	10	0	5	0	33	14	11	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95.6	148	3379	16680	0	0	8	0	2	0	0	1	1	1	183	0	4	0	0	4	17	0	0	7	4	1	2	0	8	7	3	16	1	0	1671	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; OTU1147|NN=Clostridium_glycolicum_AY007244|D=96.3	3	460	30	1876	9	372	1	0	4	335	215	10	1407	0	182	16	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae	19	6	0	37	4	70	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	9	0	1	0	2	0	2	1	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_marseilloanorexicus	2	3	6	1342	0	1	17	74	90	373	36	372	0	2006	58	9565	19	0	8	660	4019	0	2614	608	471	0	37	881	499	1603	1215	2	0	0	44
Bacteria; Proteobacteria; Alphaproteobacteria; RF32; unclassified; unclassified; OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82.1	0	1	0	0	137	0	0	0	2	795	0	0	1	1	33	1	3	5503	0	0	0	0	1466	301	5714	0	0	0	2	0	1489	0	0	0	141
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella; Sutterella_wadsworthensis	2	150	156	150	877	1402	3	168	41	0	0	3	27	12	0	28	451	0	37	35	0	0	0	83	0	9	30	0	247	0	473	420	0	0	0
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU882|NN=Melainabacter_A1|D=94.7	0	0	0	0	0	0	0	0	165	0	65	0	0	0	0	12	164	0	112	0	0	0	4	0	0	0	65	0	0	0	0	0	0	0	19
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_obesi	2	14	51	1451	39	129	30	1060	188	352	1471	542	252	1157	1053	1	3532	4164	5203	3832	5711	1	3496	37	3406	616	436	4052	5962	6787	9456	7	2318	294	242
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1736|NN=Alistipes_senegalensis_JF824804|D=96.3	0	6	0	0	0	0	0	0	447	0	0	0	17	226	0	184	0	6	13	0	0	0	2	0	11550	0	0	0	0	0	0	0	0	0	25
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87.6	0	0	0	0	0	4	15	0	1	0	0	0	2	0	0	0	29	0	0	0	0	0	1	3212	370	0	1043	0	21	4	0	0	0	960	74
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89.9	0	0	0	0	24	2	0	40	186	0	0	0	18	241	0	0	20	9	0	41	43	89	0	0	0	2	17	30	0	0	36	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; OTU1678|NN=Veillonella_dispar_GQ422726|D=94.9	96	0	94	0	0	26	4	0	38	0	0	7	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	55	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU877|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=93.8	0	1	0	12	4	5	2	51	0	0	7	0	39	0	31	1	116	0	1	0	5	81	1	0	0	99	4	0	0	0	0	0	0	0	39
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	0	2	0	0	2	1	8	0	0	0	0	2	0	1	75	0	22	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_scindens	38	1	0	0	5	0	1	0	1	8	4	1	0	1	2	0	0	4	8	7	23	0	1	55	5	0	4	0	7	18	2	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU482|NN=Eubacterium_sulci_AJ006963|D=89.4	0	0	0	8	14	1	4	15	110	0	8	1	30	98	5	0	27	15	58	0	0	0	29	0	0	53	5	0	0	30	0	0	0	0	22
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU603|NN=Soleaferrea_massiliensis_JX101688|D=87.1	0	0	0	174	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU788|NN=Eggerthella_lenta_AF292375|D=92.5	0	0	0	3	0	0	0	0	0	2	0	0	32	2	0	0	118	0	2	3	2	0	1	0	1	45	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_rogosae	5	272	0	0	15	0	1	41	0	7	26	0	121	29	32	0	241	0	0	114	31	32	8	35	0	8	43	100	11	16	0	0	27	59	13
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	2	0	0	0	12	7	0	0	0	0	0	0	0	0	0	4	1	0	0	4	2	0	2	0	2	0	18	0	0	0	0	0	0	2	5
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1	0	1	0	6	244	0	0	97	13	0	10	0	2	0	50	2	7	1	3	13	0	3	1	11	106	1	0	4	0	85	0	24	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90.6	81	1	0	0	0	31	0	0	0	0	0	12	0	0	0	33	2	0	2	90	0	0	2	377	0	0	32	1	14	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1491|NN=Eubacterium_sulci_AJ006963|D=90.3	0	0	0	0	3	3	2	0	9	7	26	9	2	221	9	2	87	15	8	10	4	5	27	0	10	0	6	13	3	2	0	0	46	391	166
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_siraeum	6	2	0	17	6	0	1	5	142	139	492	14	2	0	89	181	169	319	104	905	0	0	20	0	14	3	31	2	5	51	10	1	0	0	333
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90.8	17	0	0	1	0	97	4	62	23	0	6	0	2	45	0	0	13	16	2	7	37	5	5	5	59	2	2	6	55	19	2	0	59	8	11
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	1	2	14	0	0	6	34	0	167	0	16	2	6	8	22	3	14	27	1	0	48	19	0	0	1	0	0	44
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira	14	0	0	1	7	0	0	24	0	5	19	0	29	0	0	12	7	5	0	0	8	16	1	30	13	35	0	0	5	0	0	17	22	16	6
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97	0	0	0	0	6	0	1	13	129	18	7	0	1	43	0	0	31	181	0	0	0	0	0	0	23	48	0	6	0	0	0	0	0	0	51
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU944|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.5	2	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	7	0	0	0	15	0	1	0	3	1	0	0	0	1	1	0	1	6	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	54	0	1	0	1	13	0	14	10	2	22	4	6	0	0	2	19	6	2	6	3	5	5	16	34	10	4	22	14	2	47	1	17	15	11
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	4	6	1	2	0	0	0	0	1	4	5	1	0	0	4	0	0	0	4	23	13	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	2	0	0	2	3	7	5	0	0	0	0	0	1	5	0	23	0	0	4	1	0	1	0	0	0	0	0	0	0	0	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1048|NN=Clostridium_populeti_X71853|D=91.9	1	0	0	0	0	0	2	0	0	0	265	0	124	0	0	0	71	5	33	0	0	0	98	0	2	0	7	0	0	0	0	0	3	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; Parasutterella_excrementihominis	0	0	1	49	14	42	1	5	1	130	0	6	51	0	1294	11	16	0	14	7	7536	564	0	71	10110	2	3	774	71	86	0	42	86	1	78
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0	16	1	0	9	44	0	4	14	14	0	51	14	1	5	8	9	63	0	1	1	9	0	1	55	46	0	3	0	10	15	573	34	1	12
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis	0	80	21	1	0	58	0	1	2	14	4	4	0	120	2	12	14	3	14	15	33	5	26	92	3	3	28	0	29	19	27	0	0	16	26
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	0	4	0	0	0	0	1	5	0	0	0	4	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU825|NN=Phascolarctobacterium_faecium_X72867|D=90.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1196|NN=Christensenella_minuta_AB490809|D=86.5	0	0	0	0	0	0	0	0	0	84	0	1	3	0	0	0	89	0	6	0	76	7	1	982	4	0	0	0	5	28	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	4	0	6	0	0	3	0	0	1	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	13	0	1	0	0	0	0	3	16	0	0	0	0	0	2	0	0	0	0	1
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_succinatutens	6	3	11	14	0	0	0	0	1	0	0	0	1	433	0	1	0	0	1	0	4	0	3	7	1	0	0	0	7	1	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95.2	0	0	0	112	46	0	0	0	0	0	153	5	26	1	19	0	0	19	0	0	0	0	0	0	136	179	38	36	0	0	0	0	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Anaerofustis; Anaerofustis_stercorihominis	0	0	0	1	0	0	0	1	3	0	0	0	4	0	0	16	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	21	0	0	39	7	13	0	8	11	4	20	17	11	0	3	19	40	3	8	12	22	15	8	11	31	25	3	1	12	2	8	0	11	56	55
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae	0	0	0	0	0	0	0	1	0	1	0	0	1	11	0	8	1	0	0	4	1	0	6	0	0	1	3	1	2	4	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU1677|NN=Christensenella_minuta_AB490809|D=89.2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	53	0	5	2	2	0	0	0	0	1	0	9	0	0	0	6	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Anaerotruncus; Anaerotruncus_colihominis	1	0	0	1	0	8	1	0	117	23	0	3	0	0	0	0	0	2	82	0	3	8	0	0	3	0	4	2	0	2	1	1	18	1	1
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_gracilis	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	128	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	2	0	0	0	0	13	2	0	8	0	0	10	1	6	3	0	0	7	0	5	2	1	2	0	0	3	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1493|NN=Gemmiger_formicilis_GU562446|D=92.7	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia; Abiotrophia_defectiva	0	17	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium; OTU299|NN=Chryseobacterium_hominis_AM261868|D=96.7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1225|NN=Ruminococcus_bromii_DQ882649|D=90.5	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus	0	0	1	0	0	278	0	0	0	0	0	0	3	668	0	6818	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_methylpentosum	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	6	3	0	19	2	0	0	0	9	6	0	0	0	0	13
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU1030|NN=Gordonibacter_pamelaeae_AB566419|D=87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU98|NN=Christensenella_minuta_AB490809|D=84.9	0	0	0	0	0	0	0	2	0	61	26	5	9	21	0	158	3	0	2	0	26	0	6	42	25	0	9	0	29	0	0	0	0	0	12
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU1328|NN=Melainabacter_A1|D=90.6	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	13	0	0	0	74	0	0	0	0	3	8	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Peptococcus; OTU1224|NN=Peptococcus_niger_AB644260|D=87.1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	8	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_onderdonkii	0	0	0	0	0	1	0	0	1	0	299	56	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia	0	0	0	44	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	18	40	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	128	21	75	5	31	61	8	15	5	21	45	4	95	5	74	0	1244	2	3	96	56	3	182	42	68	1277	25	285	110	21	29	0	5	612	278
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	2	0	7	0	0	1	0	0	1	0	0	0	0	26	0	0	8	0	0	5	0	19	12	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	0	1	5	6	0	0	0	6	0	1	0	1	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU311|NN=Prevotella_copri_AB064923|D=90.1	0	2	17	1	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	1	0	0	0	0	1	0	2	0	9	3	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	1	0	0	0	0	1	213	3	0	1	2	0	0	9	0	0	3	0	0	4	2	2	3	0	0	2	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania; Holdemania_filiformis	56	0	0	1	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	7	8	0	0	6	7	7	1	11	4	3	2	78	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0
Bacteria; Firmicutes	6	11	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU957|NN=Anoxystipes_fissicatena_NR_104800.1|D=93.2	2	0	0	0	0	80	1	0	0	0	6	0	38	0	0	0	107	8	6	0	2	0	337	2	0	9	0	44	1	13	7	0	0	34	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XIII. Incertae Sedis; Mogibacterium; OTU129|NN=Mogibacterium_neglectum_AB037875|D=94.6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	15	1	0	5	0	3	25	3	75	7	0	3	0	6	5	0	0	0	17	5
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; Methylobacterium_jeotgali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0
Bacteria; Actinobacteria	5	1	1	14	0	8	0	0	0	69	0	0	76	0	0	0	297	0	1	3	0	0	2	0	0	143	0	0	0	0	0	0	102	0	0
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae	24	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	1	3	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	91	1	30	4	0	10	0	6	4	0	0	1	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	9	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Oribacterium; Oribacterium_sinus	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	1	0	1	0	0	0	2	4	4	0	0	10	0	7	1	0	3	0	0	1	2	13	16	1	3	15	0	5	0	18	0	1	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	0	7	0	0	2	37	5	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_asparagiforme	2	2	48	4	1	10	0	0	25	3	0	0	1	0	0	2	0	3	1	4	1	4	0	4	3	0	0	11	0	1	7	0	6	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_hathewayi	0	30	0	0	1	6	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	1	0	0	0	121	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1490|NN=Clostridium_bolteae_AJ508452|D=91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	95	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	2	0	0	13	0	0	0	8	4	7	0	10	0	0	0	2	5	1	0	0	3	0	0	1	5	9	0	6	8	0	0	0	0	11
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; OTU599|NN=Roseburia_intestinalis_AB661435|D=94	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	5	0	0	0	0	17	1	22	0	0	0	0	0	25	0	0	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	3	5	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	0	0
