"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Acidaminococcaceae",9,11,16,870,1248,7,32,329,12601,1,0,37,6,477,9504,1,50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,1,7065,36323,1,18,1,29,1,0,0,2772,10177,0,394,1,19,2,1,0,31,1186,6424,0
"Actinomycetaceae",27,71,2,24,12,36,6,0,8,5,15,24,51,22,8,18,46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,62,4,2,10,7,0,1,3,258,12,5,20,113,8,5,1,0,42,3,4,5,27,11
"Bacteroidaceae",29037,48745,81572,2986,4788,23416,182,3185,14481,5418,7478,11137,8280,14271,14564,20709,9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,14000,13482,14627,9320,135,30,441,997,2122,25466,23111,5023,25371,3064,7745,26430,18660,8612,29144,2278,312,52355,6148
"Bifidobacteriaceae",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
"Bradyrhizobiaceae",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Carnobacteriaceae",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,81,18,64,38,10,3,6,15,213,11,0,0,52,15,4,1,5,40,1,0,1,88,1
"Caulobacteraceae",23,37,51,25,8,43,1,4,20,7,1,7,3,39,67,7,2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,32,3,39,12,9,5,8,7,1,4,8,18,0,21,4,11,12,57,20,25,0,44,8
"Christensenellaceae",1,0,1,51,21,0,8,93,83,167,151,19,40,918,90,243,17,66,21,121,210,38,1849,153,67,12,52,101,289,208,8,0,169,67,68,152,172,5,456,6,0,48,0,0,1,638,0,0,1,80,0,7,0,63,230,23,0,71
"Clostridiaceae",24,2884,250,127,7,234,8,598,2206,625,415,30,187,72,289,247,470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,689,55,325,186,434,1,10,11,115,16,15,16,90,53,56,10,10,76,148,866,8,261,209
"Comamonadaceae",6,42,46,16,13,42,0,16,8,11,0,4,2,30,18,6,0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,16,10,47,5,8,0,7,3,1,4,11,19,1,13,12,15,10,50,23,25,2,16,2
"Coriobacteriaceae",24,17,8,60,10,46,2,83,719,5,20,5,184,35,255,80,348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,84,35,46,21,30,1,10,0,1719,1,115,219,690,69,10,11,3,15,4107,57,1,71,20
