"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinomycetales",32,71,31,25,17,43,6,1,8,5,19,26,54,22,10,18,57,1,6,32,19,10,3,6,18,13,3,25,55,74,12,11,36,120,17,72,23,2,12,9,0,1,3,301,12,9,21,172,8,5,10,0,53,3,5,7,39,13
"Bacillales",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Bacteroidales",33577,50435,85508,33896,97181,35087,14000,43535,37013,30613,36220,32077,34726,44321,29572,64699,18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,76005,27834,44940,40717,14797,83,37876,1024,2125,25528,30101,54598,25567,43569,48095,26951,33307,12196,50465,80006,33172,54696,26146
"Bifidobacteriales",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
"Burkholderiales",70,218,206,215,906,1501,4,189,94,156,13,20,95,97,1414,49,469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,56,3036,419,83,253,5,34,22,2,4,1411,30,4144,34,18,23,11,62,26,45,22,1554,1850
"Caulobacterales",23,37,51,25,8,43,1,4,20,7,1,7,3,39,67,7,2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,32,3,39,12,9,5,8,7,1,4,8,18,0,21,4,11,12,57,20,25,0,44,8
"Clostridiales",34557,24054,18011,29645,7548,27797,2345,16385,19902,16947,26003,6411,34276,25064,58332,17720,53134,15784,15590,37534,21289,17289,22120,47613,13870,42056,38280,34307,32299,44615,12351,5338,36311,60553,37267,20758,11135,19675,47092,20460,34,7087,22366,22091,1111,6590,8064,14978,29154,12486,343,1860,5876,41181,18000,10616,28064,12664
"Coriobacteriales",24,17,8,60,10,46,2,83,719,5,20,5,184,35,255,80,348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,84,35,46,21,30,1,10,0,1719,1,115,219,690,69,10,11,3,15,4107,57,1,71,20
"Desulfovibrionales",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,5,16,10,4,5,0,7,0,0,0,2,48,0,6,0,64,20,8,0,3,2,0,0
"Enterobacteriales",136,555,30,9,9,69,3,3,160,8,6,35,44,107,0,22,7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,19,903,8,0,198,1692,3,172,0,36,295,7848,5683,12,10,4837,567,51,2353,8,306,39,32
"Erysipelotrichales",125,13377,766,1938,24,229,2,4463,11,1520,1927,2229,326,471,338,29,521,343,1532,2259,8589,614,185,395,132,244,355,344,2667,1250,111,3053,3657,474,210,456,87,509,120,122,1,505,1,274,4,348,29,9,208,2247,20,3,206,20,121,4,312,864
