"","AIH","healthy","nonAIHhepControl"
"Actinobacteria",12641,28915,52275
"Alphaproteobacteria",7548,23779,26442
"Bacilli",8371,6554,36157
"Bacteroidia",702460,839807,789798
"Betaproteobacteria",5247,22310,13144
"Clostridia",366021,589849,363364
"Deltaproteobacteria",252,2201,200
"Erysipelotrichia",27775,26935,6470
"Fusobacteriia",136,115,2364
"Gammaproteobacteria",15948,5505,38915
"Negativicutes",134640,141107,429133
"unclassified",176,250,218
"Verrucomicrobiae",47206,32072,101520
"NA",2759,3937,3544
