"","AIH","healthy","nonAIHhepControl"
"Acidaminococcaceae",0.0189039199193601,0.0233636307116988,0.0343968646472755
"Actinomycetaceae",0.000247301668196329,0.000258562936252325,0.000321840135653215
"Bacteroidaceae",0.218173440402177,0.213066318197427,0.154180639314347
"Bifidobacteriaceae",0.0080429417924034,0.0151756107169398,0.0235695860538076
"Bradyrhizobiaceae",2.48053344999357e-05,2.6146813778325e-05,2.02817995934033e-05
"Carnobacteriaceae",0.000458522849847297,0.00021730907451319,0.000355998956021053
"Caulobacteraceae",0.000257825143438726,0.0003021409592162,0.000185738585750114
"Christensenellaceae",0.00141766245051148,0.00204293771654646,0.00104237775278728
"Clostridiaceae",0.0061660048152416,0.00694226957829838,0.00195345753978569
"Comamonadaceae",0.000195435968787372,0.00030678928166568,0.000160119470474237
"Coriobacteriaceae",0.00116735407510304,0.00132419085779561,0.00391492105309508
"Dehalobacteriaceae",0.000133046794136019,0.00013015302858544,1.81468733204135e-05
"Desulfovibrionaceae",0.000189422554363146,0.00127886971391318,0.000106746313649491
"Enterobacteriaceae",0.000899005456421913,0.00227825904055138,0.0133817178791002
"Erysipelotrichaceae",0.0208778232041126,0.015650320647093,0.00345324324656103
"Eubacteriaceae",0.00636670252165017,0.00934370916376098,0.00512008693419784
"Fusobacteriaceae",0.000102228045211856,6.6819635211275e-05,0.00126174142733698
"Gemellaceae",4.81073153938148e-05,2.207953163503e-05,4.85695727105184e-05
"Lachnospiraceae",0.0511794184877916,0.0707532780841474,0.0426985254597964
"Lactobacillaceae",0.00267822444919003,0.00210162278747114,0.0023067878379655
"Micrococcaceae",4.4348931378673e-05,4.2415942351505e-05,9.44704875797995e-05
"Mogibacteriaceae",0.000240536576969074,0.000183027696448275,0.000112617360900213
"Moraxellaceae",4.05905473635312e-05,5.4036748475205e-05,2.56191152758778e-05
"Oscillospiraceae",0.0480208725614665,0.0373428794382037,0.0188108353913133
"Oxalobacteraceae",0.000272858679499293,0.00031143760411516,0.000135567818334854
"Pasteurellaceae",0.0109391525144717,0.00071700373783229,0.00729664426951096
"Peptostreptococcaceae",0.0309059434333139,0.0445564948394905,0.0210151467681753
"Porphyromonadaceae",0.0559149823468703,0.0849585514897583,0.0367746387838179
"Prevotellaceae",0.107316145491555,0.0105592454843,0.116025236963473
"Pseudomonadaceae",0.000108993136439112,0.000149327358689545,6.61827144626844e-05
"Rikenellaceae",0.146171822793697,0.178894175710075,0.101877080552369
"Ruminococcaceae",0.111329347942924,0.14740295319546,0.0916924147670715
"Sphingomonadaceae",0.00466114785557883,0.00499404143166007,0.00249039149744263
"Staphylococcaceae",3.53288097423327e-05,5.229362755665e-05,3.14901625265998e-05
"Streptococcaceae",0.00307210309397689,0.00141483314556047,0.0165552857838996
"Sutterellaceae",0.00347575353720312,0.0123447823452065,0.00671968044423546
"unclassified",0.00888030975097699,0.0247348858342954,0.0283576919525555
"Veillonellaceae",0.0824544352313924,0.0586043063221253,0.200908838114412
"Verrucomicrobiaceae",0.0354836551637566,0.0186351246999653,0.0541844288084816
"NA",0.0131024783535873,0.00939716487193,0.00832834739093329
