"","AIH","healthy","nonAIHhepControl"
"Acidaminococcaceae",25149,40210,64446
"Actinomycetaceae",329,445,603
"Bacteroidaceae",290249,366698,288873
"Bifidobacteriaceae",10700,26118,44160
"Bradyrhizobiaceae",33,45,38
"Carnobacteriaceae",610,374,667
"Caulobacteraceae",343,520,348
"Christensenellaceae",1886,3516,1953
"Clostridiaceae",8203,11948,3660
"Comamonadaceae",260,528,300
"Coriobacteriaceae",1553,2279,7335
"Dehalobacteriaceae",177,224,34
"Desulfovibrionaceae",252,2201,200
"Enterobacteriaceae",1196,3921,25072
"Erysipelotrichaceae",27775,26935,6470
"Eubacteriaceae",8470,16081,9593
"Fusobacteriaceae",136,115,2364
"Gemellaceae",64,38,91
"Lachnospiraceae",68087,121770,80000
"Lactobacillaceae",3563,3617,4322
"Micrococcaceae",59,73,177
"Mogibacteriaceae",320,315,211
"Moraxellaceae",54,93,48
"Oscillospiraceae",63885,64269,35244
"Oxalobacteraceae",363,536,254
"Pasteurellaceae",14553,1234,13671
"Peptostreptococcaceae",41116,76684,39374
"Porphyromonadaceae",74387,146218,68901
"Prevotellaceae",142769,18173,217385
"Pseudomonadaceae",145,257,124
"Rikenellaceae",194461,307886,190877
"Ruminococcaceae",148108,253688,171795
"Sphingomonadaceae",6201,8595,4666
"Staphylococcaceae",47,90,59
"Streptococcaceae",4087,2435,31018
"Sutterellaceae",4624,21246,12590
"unclassified",11814,42570,53131
"Veillonellaceae",109694,100861,376423
"Verrucomicrobiaceae",47206,32072,101520
"NA",17431,16173,15604
