"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinobacteria",69,112,7749,94,121,140,15,527,870,379,230,57,467,264,1182,365,2159,24,216,665,561,30,90,420,185,705,168,108,777,499,379,17,165,12953,8794,261,62,74,123,109,11,167,96,34613,19,4189,287,3777,1269,15,40,31,581,5948,119,14,163,307
"Alphaproteobacteria",378,688,837,226,220,522,7,112,557,908,81,77,62,1224,1464,185,37,5641,321,964,559,313,1618,2616,5822,12,463,1881,421,232,1667,322,616,65,209,532,21561,484,219,100,84,197,228,8,18,83,222,7,352,149,163,145,484,216,346,39,614,191
"Bacilli",669,874,279,101,418,334,74,94,87,173,126,238,246,4434,156,68,838,116,483,443,467,76,176,1150,175,74,228,1079,450,128,121,60,148,244,98,703,835,240,264,231,134,29,70,10029,26,393,949,18727,39,69,993,22,637,42,39,11,1656,19
"Bacteroidia",33577,50435,85508,33896,97181,35087,14000,43535,37013,30613,36220,32077,34726,44321,29572,64699,18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,76005,27834,44940,40717,14797,83,37876,1024,2125,25528,30101,54598,25567,43569,48095,26951,33307,12196,50465,80006,33172,54696,26146
"Betaproteobacteria",70,218,206,215,906,1501,4,189,94,156,13,20,95,97,1414,49,469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,56,3036,419,83,253,5,34,22,2,4,1411,30,4144,34,18,23,11,62,26,45,22,1554,1850
"Clostridia",34557,24054,18011,29645,7548,27797,2345,16385,19902,16947,26003,6411,34276,25064,58332,17720,53134,15784,15590,37534,21289,17289,22120,47613,13870,42056,38280,34307,32299,44615,12351,5338,36311,60553,37267,20758,11135,19675,47092,20460,34,7087,22366,22091,1111,6590,8064,14978,29154,12486,343,1860,5876,41181,18000,10616,28064,12664
"Deltaproteobacteria",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,5,16,10,4,5,0,7,0,0,0,2,48,0,6,0,64,20,8,0,3,2,0,0
"Erysipelotrichia",125,13377,766,1938,24,229,2,4463,11,1520,1927,2229,326,471,338,29,521,343,1532,2259,8589,614,185,395,132,244,355,344,2667,1250,111,3053,3657,474,210,456,87,509,120,122,1,505,1,274,4,348,29,9,208,2247,20,3,206,20,121,4,312,864
"Fusobacteriia",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,0,113,4,94,13,1970,17,0,9,0,43,0,31,0,0,0
"Gammaproteobacteria",1360,1911,65,2511,258,8380,4,90,270,28,554,43,224,131,90,29,36,1807,83,47,55,26,12,196,1214,0,665,27,92,116,194,586,86,142,121,126,1254,280,5,2671,1698,16,191,408,59,1418,7859,5700,173,307,4844,567,7012,2362,48,313,1439,165
"Negativicutes",11892,746,810,27598,3680,36683,3503,14814,13096,2095,183,646,1788,7598,9653,58,2229,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12478,1367,4191,4811,30,22797,6424,6732,6045,9640,36466,14856,22243,24701,42174,762,4843,5733,51743,13983,32712,1277,16871,74116,32,11289,17356,6533,1548,15486,30460
"unclassified",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"Verrucomicrobiae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",198,119,343,66,77,335,43,122,95,189,162,52,339,276,123,220,413,240,187,260,207,77,182,294,271,432,53,150,120,142,90,220,298,110,191,65,212,187,143,229,126,119,47,81,119,207,142,154,321,226,57,182,101,194,226,127,136,143
