"Species","log2FC","lfcSE","Pvalues","FDR"
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",8.1571,1.2242,2.6802e-11,5.7357e-09
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",-6.9287,1.1181,5.7648e-10,6.1683e-08
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",-4.632,0.96883,1.7442e-06,0.00012442
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",3.7655,0.88338,2.0211e-05,0.0010813
"Akkermansia_muciniphila",3.707,0.91905,5.4951e-05,0.0020195
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",3.7561,0.93285,5.6622e-05,0.0020195
"Bacteroides_caccae",3.2041,0.83003,0.0001133,0.0034637
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",-2.4186,0.64262,0.00016749,0.0044804
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",-3.2899,0.9021,0.00026543,0.0063112
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",-3.7102,1.046,0.00038966,0.0083386
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",-2.8322,0.82934,0.00063778,0.012408
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",-2.2349,0.66009,0.00070976,0.012657
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",-4.559,1.3687,0.00086539,0.014246
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",-3.6704,1.1108,0.00095249,0.014559
"Anaerotruncus_colihominis",3.1351,0.95716,0.001055,0.015051
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",-3.0032,1.0177,0.0031696,0.042393
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",-3.6732,1.2546,0.0034127,0.042516
"Alistipes_obesi",-2.3399,0.80318,0.0035761,0.042516
