"Genus","log2FC","lfcSE","Pvalues","FDR"
"Veillonella",5.3341,0.72285,1.5912e-13,1.082e-11
"Prevotella",5.3081,0.75025,1.4933e-12,5.0771e-11
"Streptococcus",3.8822,0.56387,5.7855e-12,1.3114e-10
"Megasphaera",7.9522,1.2089,4.7644e-11,8.0996e-10
"Shigella",4.5015,0.84641,1.0467e-07,1.4236e-06
"Haemophilus",4.0599,0.80205,4.1511e-07,4.7046e-06
"Dehalobacterium",-4.548,1.1008,3.6005e-05,0.00033148
"Fusobacterium",4.353,1.0583,3.8998e-05,0.00033148
"Fusicatenibacter",-2.4265,0.67726,0.00034002,0.002569
"Terrisporobacter",-2.9218,0.87032,0.00078736,0.005354
"Bifidobacterium",1.9851,0.61455,0.0012373,0.0076487
"Candidatus_Soleaferrea",-2.681,0.84155,0.0014436,0.0081802
"Paraprevotella",3.4424,1.1407,0.0025449,0.013312
"Rothia",2.2686,0.78935,0.0040527,0.019685
"Eggerthella",1.9226,0.74386,0.009748,0.044018
"Atopobium",1.9367,0.75544,0.010357,0.044018
