"OTU","Pvalues","FDR"
"Paraprevotella_clara",1.7751e-06,0.00065501
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",4.9634e-05,0.0091575
"Streptococcus_1",0.00013747,0.016908
"Prevotella",0.00029924,0.027605
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0005261,0.038575
"Fusobacterium",0.00062724,0.038575
