	AIH043	AIH063	AIH060	AIH005	AIH082	AIH052	AIH002	AIH058	AIH072	AIH023	AIH039	AIH040	AIH066	AIH035	AIH049	AIH051	AIH055	AIH001	AIH003	AIH056	AIH081	AIH050	AIH061	AIH053	AIH069	AIH030	AIH046	AIH027	AIH074	AIH062	AIH009	AIH042	AIH006	AIH032	AIH086	AIH029	AIH031	AIH083	AIH077	AIH018	AIH007	AIH037	AIH020	AIH036	AIH079	AIH026	AIH059	AIH065	AIH047	AIH021	AIH064	AIH078	AIH068	AIH076	AIH054	AIH071	AIH033	AIH057	AIH070	AIH022	AIH011
AIH043	0.0	0.832732707397	0.793119274827	0.680538598661	0.853256692177	0.763293971105	0.828231569039	0.750717784158	0.892443227539	0.939757871221	0.729924426398	0.741241459514	0.753105181635	0.567471885874	0.842298834771	0.757512489117	0.765805198318	0.679873980273	0.863701122087	0.808592872402	0.721037399644	0.859134262656	0.887769398521	0.68179235904	0.722339394393	0.67856561555	0.626948815483	0.726175685483	0.920305070457	0.561413847863	0.588518109312	0.784029880434	0.684693456696	0.967657557853	0.912033116944	0.952180878177	0.785440804785	0.798149957993	0.753803621284	0.910762459179	0.981760210317	0.90436067825	0.944370112127	0.592242128796	0.920541585733	0.87765102331	0.688352983599	0.729046231754	0.785890928023	0.836163319311	0.810718924719	0.462368859899	0.673543861866	0.934186893011	0.809999243628	0.886249844664	0.925682462207	0.77328428426	0.762005404323	0.958656969751	0.892439060652
AIH063	0.832732707397	0.0	0.670666384334	0.731983099403	0.881767097237	0.798258571423	0.681853981775	0.710648310595	0.936671695297	0.919850581365	0.706585155901	0.965355656621	0.508705090912	0.794171461688	0.765833985904	0.714861688585	0.687723359923	0.804915257079	0.678236080465	0.524389482231	0.660487437659	0.677798773027	0.803991559844	0.581258709309	0.705099380209	0.833201925745	0.879405309148	0.922338929086	0.703297413967	0.845661338893	0.946934082666	0.772619743817	0.936340983607	0.944637933823	0.937133082088	0.895512316244	0.81032790609	0.803548522184	0.818422840012	0.78254216928	0.993121925411	0.840246165751	0.93643081677	0.841129568371	0.801885766092	0.821306141536	0.721456196878	0.722173357258	0.616126541488	0.899542662324	0.724024570935	0.944624785182	0.802915300668	0.707179413984	0.712610617661	0.797121248282	0.881010143628	0.799242315175	0.645422408074	0.819705742325	0.94632619751
AIH060	0.793119274827	0.670666384334	0.0	0.607017677537	0.868315036966	0.68649992605	0.701027015983	0.623702378009	0.929363154404	0.885735719433	0.730267652462	0.940882444474	0.454032487888	0.71841427998	0.741599116246	0.656530032919	0.729754151124	0.726452506848	0.81255174317	0.583468540212	0.624102518203	0.566313574406	0.824603533132	0.656715192526	0.665498300189	0.823622467933	0.871552409672	0.921276851074	0.819483447071	0.828273452482	0.922578474865	0.72006498723	0.899559880314	0.919918520439	0.972944250653	0.90623675522	0.779019591096	0.735784430437	0.786907221512	0.758172165176	0.987656008496	0.856432444582	0.936346859244	0.778949723043	0.849117298883	0.806704193235	0.670506754078	0.646356505375	0.652157006944	0.908895126055	0.588003650871	0.92964737258	0.786144264697	0.849924155135	0.635964400917	0.778142974528	0.843543818727	0.791916513141	0.72293702389	0.875340659341	0.958436454538
AIH005	0.680538598661	0.731983099403	0.607017677537	0.0	0.655146021988	0.69030899736	0.777008115535	0.604936986148	0.885542325224	0.882996172772	0.611184643369	0.888424354994	0.592565185579	0.590936104597	0.773021585471	0.679435763852	0.653442273709	0.64829761121	0.826345292356	0.637169148605	0.606745989209	0.711804882775	0.820348771374	0.670199746396	0.637805908571	0.781015049618	0.801929844295	0.902843563192	0.761398057033	0.641040338182	0.763235350988	0.519748116562	0.769503666198	0.959140666608	0.971106559995	0.938748934472	0.692629707921	0.657003119705	0.697484012003	0.637289587944	0.992556501448	0.882947032317	0.89642028272	0.785335152876	0.884689251169	0.825538024504	0.634334642696	0.58643820579	0.661792972378	0.932762748435	0.610711472828	0.910614149397	0.751051217603	0.886954491307	0.67405163664	0.740206959327	0.820778402853	0.667559294571	0.737009656251	0.900296363759	0.957579882873
AIH082	0.853256692177	0.881767097237	0.868315036966	0.655146021988	0.0	0.877368499505	0.84774282434	0.880578544358	0.974449600383	0.962214824949	0.75534889501	0.932573978047	0.848460585349	0.811788129129	0.806155110075	0.846233333031	0.843748081494	0.831570492533	0.917297860848	0.905859648981	0.694395014006	0.874839106712	0.858539275587	0.774618823799	0.86544399738	0.886872086287	0.872539847465	0.951561739039	0.730262355864	0.839022522501	0.882777736577	0.685858751888	0.888581242274	0.916306022753	0.818201011575	0.857410127561	0.88733099202	0.62391180314	0.83135093792	0.689813576804	0.97931522573	0.880008210707	0.729546612328	0.937274502665	0.883578030766	0.864518467266	0.865305194106	0.752359065144	0.898382510605	0.874113023544	0.787153758337	0.954487223014	0.870816543306	0.907175466287	0.767079438358	0.869309932805	0.95698342729	0.806212701104	0.853371177168	0.900202846223	0.942584490749
AIH052	0.763293971105	0.798258571423	0.68649992605	0.69030899736	0.877368499505	0.0	0.800525123188	0.667408043943	0.869289030051	0.672175401277	0.810394222993	0.927684003085	0.692410825779	0.754352169854	0.809060829931	0.707988638381	0.835387339074	0.770426301042	0.862353032972	0.713775280809	0.711769321957	0.729501267963	0.833314180893	0.673983534711	0.630870227542	0.80054910433	0.851247353363	0.933583555825	0.902876437291	0.789915687603	0.922320318667	0.788590139741	0.892925891354	0.971272548878	0.957843560157	0.954217196838	0.872549019608	0.761970397196	0.717853103012	0.884627960204	0.992940509325	0.912784614618	0.963388298984	0.796072446238	0.879351660015	0.863149643206	0.677457670541	0.612030698364	0.663090089597	0.929548106644	0.743290906303	0.901799369622	0.788696996503	0.918474326652	0.69498943367	0.846909599325	0.706156284943	0.813187274406	0.731473902106	0.946299534825	0.947105294351
AIH002	0.828231569039	0.681853981775	0.701027015983	0.777008115535	0.84774282434	0.800525123188	0.0	0.766287304887	0.936869638986	0.886306062114	0.709380607557	0.916533029051	0.711857172362	0.809376559925	0.827537541163	0.772909960367	0.808182832062	0.771144144991	0.789354045951	0.65670867586	0.710274665829	0.690583776531	0.849258043979	0.651803336639	0.745557775208	0.827948563012	0.894985261167	0.901649080969	0.716186711109	0.856089866586	0.946865330604	0.808475553136	0.922567231554	0.881301031326	0.949360049763	0.834499221424	0.839418333853	0.808417352522	0.876512950859	0.766587154342	0.946500563184	0.823325788843	0.912362426951	0.800037285924	0.786838556399	0.765069538742	0.711313506815	0.754407547483	0.626220936913	0.8669306265	0.777342389054	0.944013641158	0.821686746988	0.839082158788	0.731788382375	0.783588280478	0.854729554713	0.856453367967	0.727506334507	0.90585309168	0.9530920049
AIH058	0.750717784158	0.710648310595	0.623702378009	0.604936986148	0.880578544358	0.667408043943	0.766287304887	0.0	0.908703090149	0.883789407148	0.752057215111	0.945008156156	0.599900368037	0.724303383124	0.74510042128	0.70421493929	0.796696722002	0.754785446705	0.807375942546	0.607542068599	0.625276417304	0.680346274178	0.792120410216	0.596368625657	0.745221948872	0.817269536692	0.873356960766	0.930974592883	0.867247078052	0.764748985507	0.925222847291	0.750268106638	0.885027896291	0.975689482286	0.932968271296	0.941424936007	0.809243942618	0.775528394299	0.815839819938	0.840732646287	0.991321058831	0.889050317207	0.924133503244	0.788075828931	0.850572887124	0.824748320151	0.623171478466	0.63577247224	0.65007952535	0.884379391305	0.661091437112	0.906525979244	0.742737545733	0.909694273236	0.729865010203	0.792559216135	0.851988720101	0.743853032723	0.700004622684	0.90576688814	0.940827203275
AIH072	0.892443227539	0.936671695297	0.929363154404	0.885542325224	0.974449600383	0.869289030051	0.936869638986	0.908703090149	0.0	0.951667785817	0.961271774932	0.83740786522	0.944848564251	0.869844219495	0.920301610645	0.904610750695	0.923059832478	0.835250586773	0.872806259072	0.927660624122	0.949339725617	0.866387212223	0.828129714665	0.881038265591	0.851174179945	0.78384660767	0.819137658271	0.891336368133	0.959500097431	0.835587193108	0.900129964588	0.884992000617	0.854211808131	0.983969551331	0.985377225205	0.98031268095	0.938976109215	0.839410368166	0.854022929544	0.958850133201	0.980522237113	0.959736022542	0.981212995806	0.880154066976	0.959244746154	0.954610322276	0.850555984815	0.916410292619	0.897035862698	0.974185589088	0.878832963861	0.868385589275	0.865576681216	0.977377108575	0.890126206385	0.914649070315	0.952871419916	0.825466106261	0.854250967324	0.971890815728	0.976768021865
AIH023	0.939757871221	0.919850581365	0.885735719433	0.882996172772	0.962214824949	0.672175401277	0.886306062114	0.883789407148	0.951667785817	0.0	0.802879190845	0.927568350612	0.859133726658	0.920019030502	0.907330049261	0.91881599154	0.858061728728	0.884137827329	0.948172038621	0.929520650126	0.844600330172	0.805669998829	0.879288816793	0.925442258597	0.787981272377	0.948725583952	0.95863965727	0.90419472336	0.796508825369	0.937155093301	0.973251112127	0.762129370547	0.95796994613	0.787760215979	0.987337215216	0.86199802616	0.916166009871	0.8302255596	0.834360741224	0.733491854761	0.907157568694	0.753382234531	0.90181393924	0.923837212227	0.802175980975	0.755945801301	0.846856204256	0.842856932161	0.873582168678	0.788496420317	0.917047125281	0.983766598513	0.918926566753	0.815833830356	0.739459976503	0.841382421756	0.545474270836	0.916794697681	0.86121368055	0.848730125161	0.973108296998
