"","Pvalues","FDR"
"Paraprevotella_clara",2.8638e-06,0.0007053
"Prevotella",4.7177e-06,0.0007053
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",8.0992e-06,0.00080722
"Bacteroides_plebeius",1.2623e-05,0.00094355
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_3",3.6213e-05,0.0021655
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",0.00018526,0.0090981
"Bacteroidales_5",0.000213,0.0090981
"Christensenella_minuta",0.00032642,0.0122
"Streptococcus_1",0.00038148,0.012674
"Paraprevotella_clara_1",0.0006361,0.017379
"Parabacteroides_goldsteinii",0.00069293,0.017379
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.00069749,0.017379
"Alistipes_indistinctus",0.0012985,0.029866
"Barnesiella_10",0.0019894,0.04156
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.002085,0.04156
"Pasteurellaceae",0.0023506,0.043927
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.0028,0.049246
