"","Pvalues","FDR","AIH","healthy","nonAIHhepControl","LDAscore"
"Deltaproteobacteria",0.00090354,0.01265,2161.51381722254,14152.7047256242,998.498475611843,3.82
"Erysipelotrichia",0.0027175,0.019022,214708.280218436,144732.482201631,34010.5500562379,4.96
"Gammaproteobacteria",0.013106,0.04772,100678.237128065,32676.1968519624,252946.310054314,5.04
"Negativicutes",0.016292,0.04772,986951.220731227,819131.858982914,2433417.38594105,5.91
"Clostridia",0.017043,0.04772,2685122.77679575,3564989.55244561,2075216.23330118,5.87
