"","Pvalues","FDR","AIH","healthy","nonAIHhepControl","LDAscore"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",1.2991e-05,0.0024553,1197.00276813259,8461.20869373377,69.6472873163582,3.62
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",6.3889e-05,0.0036644,829.305154738642,2374.43949819852,710.042623516991,2.92
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",7.4133e-05,0.0036644,22846.6853925648,96955.884540727,1467.71368385217,4.68
"Dorea_longicatena",7.7554e-05,0.0036644,11812.3542726348,35681.9782831292,1420.00277477829,4.23
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00016215,0.0061294,1025.77048269419,17320.7984464245,3550.75623438449,3.91
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00027168,0.008558,8010.9528209947,28004.6187608793,4040.28099612703,4.08
"Alistipes_putredinis",0.0003561,0.0096147,767072.742847331,380130.838840682,95048.6163038093,5.53
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00040698,0.0096149,64992.1343791935,67904.2856191159,11059.5478783578,4.45
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.00051012,0.010713,4803.02032683088,8830.08026631143,500.617080765597,3.62
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00064653,0.011279,5297.32171784112,17647.1518016117,1557.00472057916,3.91
"Parabacteroides_goldsteinii",0.00065644,0.011279,2655.27328801062,11726.0689979338,724.766492260754,3.74
"Dialister_pneumosintes",0.00072754,0.011459,2345.31184977273,0,38428.3836574438,4.28
"Turicibacter_sanguinis",0.0010187,0.014108,155023.145798377,127894.204573989,24902.7587951919,4.81
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0011059,0.014108,4346.10419057453,9441.3232025973,2454.43791631147,3.54
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0011197,0.014108,22924.9161976667,13618.0489975989,93.6972284759396,4.06
"Barnesiella_intestinihominis",0.0016327,0.019287,378113.403112192,579490.702571149,104656.785207636,5.38
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.0021449,0.0236,11761.3331525792,6409.6129166309,2885.19971765712,3.65
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.0022477,0.0236,1803.18988495682,3893.05350647969,1752.7893687475,3.03
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0026966,0.025656,382.862153460783,4516.70190071244,200.193780176491,3.33
"Alistipes_obesi",0.0027859,0.025656,61624.7272257879,338600.078976767,139726.400047273,5.14
"Alistipes_indistinctus",0.0028507,0.025656,3599.649677906,13645.7733629526,5540.48701119164,3.7
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0034543,0.02846,272447.469065692,114561.663903852,1275010.6913212,5.76
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0034634,0.02846,185710.446264609,283084.973388883,399943.982902651,5.03
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.004085,0.031659,2388.03940479682,3200.99877801982,569.722780680825,3.12
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0041876,0.031659,7865.57510253658,14742.6792612065,13514.1077876967,3.54
"Streptococcus_anginosus",0.0055759,0.039637,709.390421290183,62.7731424986504,4089.96239987644,3.3
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0056624,0.039637,7559.45427686132,8801.65615719074,3528.15561287791,3.42
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0062069,0.040947,1140.45320706501,2355.13468202772,1525.90389049323,2.78
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.0062828,0.040947,48747.0960745727,22801.8146079458,21076.4211949131,4.14
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0067549,0.041286,2266.01171887196,9074.79910838667,1454.55964696388,3.58
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0067718,0.041286,174.893160302407,1408.39407667717,153.650713928766,2.8
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0070874,0.04186,612.102927417589,1122.27658278368,274.831143145577,2.63
"Bacteroides_uniformis",0.0075636,0.043319,383884.557300055,858043.616177762,215197.207232773,5.51
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0080457,0.044334,186.002646404435,911.412915531409,378.990012271081,2.56
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0083705,0.044334,35638.4063676128,52013.8896934341,15386.7802493924,4.26
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0084445,0.044334,877.774211431347,3164.98268194467,938.997395064226,3.06
"Lactococcus_lactis",0.0090564,0.046261,2103.97998372211,2069.00112062969,806.214152129696,2.81
