"","Pvalues","FDR","AIH","healthy","nonAIHhepControl","LDAscore"
"Desulfovibrionaceae",0.00090354,0.032896,2161.51381722254,14152.7047256242,998.498475611843,3.82
"Oscillospiraceae",0.0019226,0.032896,514403.342784779,397755.349816561,209646.746212736,5.18
"Erysipelotrichaceae",0.0027175,0.032896,214708.280218436,144732.482201631,34010.5500562379,4.96
"Prevotellaceae",0.0032896,0.032896,1306159.6200662,116255.313392443,1063845.73053768,5.77
"unclassified",0.0056093,0.044874,96051.0510367301,265585.309186477,374372.354363884,5.14
