"","Pvalues","FDR"
"Prevotella",1.6687e-06,0.00060908
"Paraprevotella_clara",6.1719e-06,0.0011264
"Streptococcus_1",2.4471e-05,0.0027993
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",3.0677e-05,0.0027993
"Alistipes_indistinctus",0.00017314,0.012639
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.00038651,0.021706
"Pasteurellaceae",0.00041628,0.021706
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.00053909,0.024596
"Christensenella_minuta",0.0011941,0.043443
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.0012661,0.043443
"Parabacteroides_goldsteinii",0.0014137,0.043443
"Clostridiales_67",0.0014283,0.043443
"Bacteroides_plebeius",0.0016489,0.046295
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.0019421,0.050633
"Bacteroides_1",0.0021573,0.052495
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",0.0026109,0.057613
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.0028127,0.057613
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",0.0028412,0.057613
"unclassified_19",0.0033619,0.063597
"Bacteroidales_5",0.0034848,0.063597
"Gemmiger",0.004054,0.070462
"Streptococcus_anginosus",0.0047283,0.078447
"Barnesiella_10",0.0051266,0.078799
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",0.0051813,0.078799
"Paraprevotella_clara_1",0.0060511,0.088346
"Faecalibacterium",0.0068559,0.096247
"Lachnospiraceae_36",0.007316,0.098902
"OTU1065|NN=OscillospiraFlavonifractor_plautii_Y18187|D=86_6_1",0.009043,0.11578
"Lachnospiraceae_46",0.0093849,0.11578
"Tyzzerella_lactatifermentans",0.0095161,0.11578
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0099745,0.11744
"Bacteria_5",0.0107,0.12205
"Fusobacterium",0.012313,0.13619
"Ruminococcus",0.013023,0.13981
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",0.013737,0.14086
"OTU520|NN=Clostridium_bolteae_AJ508452|D=93_9",0.013901,0.14086
"Phascolarctobacterium_succinatutens",0.01428,0.14086
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",0.014665,0.14086
"Lachnospiraceae_15",0.016301,0.15117
"Actinobacteria",0.016873,0.15117
