#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_antri	1	12	81	65	82	2	19	155	14	2	19	0	42	23	21	0	0	0	0	4	5	5	2	3	1	0	0	0	0	0	41	0	26	0	0	2	0	0	201	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU116|NN=Alistipes_putredinis_AB554232|D=94.7	0	0	16	1	7	0	5	1	3	0	6	0	0	0	1	0	1	0	1	10	0	3	0	5	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae	0	0	1	5	0	0	0	40	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1322|NN=Catabacter_hongkongensis_AB671763|D=85.4	0	0	1	0	0	1	4	12	3	0	13	5	12	16	0	0	0	0	5	5	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	15	3	0	9	5	0	25	0	0	2	4	0	6	0	0	0	0	3	272	2	0	0	7	2	0	2	0	0	1	17	0	4	0	14	0	0	6	0	0	0
Bacteria	14	35	22	32	25	6	19	34	43	41	4	28	19	16	14	40	16	14	27	10	19	27	22	27	17	15	9	15	43	33	18	43	10	9	11	53	21	21	12	22
Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas; Brevundimonas_vesicularis	2	0	4	8	1	1	0	2	0	0	2	0	1	2	0	0	0	0	0	7	2	2	0	3	1	0	0	3	0	0	0	0	1	2	0	1	0	10	6	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU291|NN=Lactonifactor_longoviformis_NR_043551.1|D=93.2	1	4	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU255|NN=Anoxystipes_fissicatena_NR_104800.1|D=94.9	89	0	12	0	1	2	76	0	0	105	16	0	5	0	0	0	3	3	10	8	0	0	194	0	0	0	0	1	0	0	0	1	0	0	0	50	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides	3	34	18	4	11	0	20	10	12	37	1	5	36	53	3	0	22	0	14	4	22	84	4	0	0	0	0	0	0	18	0	2	385	3	67	56	65	3	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95.3	52	3	15	38	74	32	8	0	145	3	0	0	71	2	90	0	58	6	2	1	6	34	0	74	0	0	0	0	1	18	0	73	0	52	0	2032	0	144	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	462	11	8	15	162	7	13	21	73	886	13	13	33	12	4	0	6	99	32	2	3	5	9	6	0	12	0	2	2	2	182	8	0	1	22	3	7	19	273	7
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1473|NN=Robinsoniella_peoriensis_AF445258|D=92.3	55	0	0	0	2	0	4	0	0	42	3	0	0	4	0	0	0	0	38	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1087|NN=Blautia_glucerasea_AB588023|D=93	396	10	13	47	9	10	18	32	0	347	18	1	14	0	20	0	0	120	95	2	23	13	12	0	0	36	2590	9	0	0	0	16	0	5	0	0	1	5	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1186|NN=Oscillibacter_valericigenes_AB238598|D=95.2	8	81	17	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; Corynebacterium_kroppenstedtii	0	3	2	0	2	0	3	14	2	0	1	4	1	2	2	0	0	0	0	3	0	0	0	0	0	0	0	2	10	0	1	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_mutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	4	0	1	0	0	0	0	1	2	30	1414	0	44	0	0	0	0	0	6	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium; Bradyrhizobium_elkanii	0	0	0	6	0	3	0	0	0	0	0	30	0	0	0	4	2	0	0	4	0	9	0	1	0	1	0	12	5	0	0	5	3	3	5	4	2	2	1	0
Bacteria	16	27	14	25	18	6	20	25	22	22	5	16	15	18	12	11	21	9	13	9	18	20	5	19	12	8	10	12	38	20	21	30	5	6	7	33	16	15	12	18
Bacteria; Firmicutes; Bacilli; Gemellales; Gemellaceae; Gemella; Gemella_haemolysans	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0	2	2	13	6	0	0	0	13	12	0	0	15	0	0	1	14	0	3	9	5	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces	5	0	0	0	2	0	0	0	1	2	0	3	2	0	0	0	1	5	3	3	0	1	5	0	0	1	10	0	0	0	32	2	1	4	0	0	1	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Oscillospira_plautii	4	2	3	8	15	9	3	5	28	1	0	16	55	6	49	259	19	240	8	3	29	3	110	0	0	0	2	5	9	3	0	0	3	6	139	41	33	3	490	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus]	0	2	0	10	3	4	12	98	3	0	4	18	22	9	10	2026	8	22	0	3	15	5	11	0	0	0	0	1	0	1	0	10	0	6	0	0	1	5	0	13
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU260|NN=Clostridium_clostridioforme_AY169422|D=94.1	77	19	1	11	1	3	2	19	105	147	9	16	2	5	32	0	10	295	72	1	5	24	25	12	0	5	0	6	0	4	1094	0	0	1	0	2	21	19	9	16
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	2	0	6	0	0	0	7	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	0	2	0	0	0	0	10	0	1	200	0	0	0	0	2	31	0	0	0	2	0	0	0	0	0	0	0	0	0	0	82	0	0	0	35	0	5	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus	106	13	2	0	5	1	0	0	2	189	10	4	0	0	5	0	2	30	33	12	4	10	2	6	0	0	0	3	0	3	0	0	0	0	0	0	13	7	37	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_sulci	0	0	0	2	0	1	0	5	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	4	0	1	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas; Butyricimonas_virosa	1	10	0	1	66	0	0	0	214	0	1	1	0	34	0	0	9	0	28	4	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Eggerthella; Eggerthella_lenta	7	0	4	0	1	3	5	0	3	2	0	0	1	1	4	0	3	60	0	2	10	4	2	0	1	1	65	4	0	0	0	0	11	0	12	4	3	0	9	0
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium	0	0	0	0	0	0	0	0	0	13	2	0	1	0	0	0	0	4	0	1	40	0	3	16	0	0	113	15	9	94	1965	0	9	0	43	2	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82.8	5	3	0	0	15	0	5	110	4	0	8	0	0	9	0	0	0	0	6	5	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0	2	2	2	1	0	0	1	99	0	2	1	1	1	1	1	2	0	1	1	0	4	1	0	0	0	0	2	2	2	1	0	0	0	1	0	2	0	1	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Candidatus Stoquefichus; OTU102|NN=Stoquefichus_massiliensis_JX101690|D=96.7	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	17	1	2	24	2	1	0	1	5	5	1	0	6	1	0	0	6	24	6	1	1	37	12	2	0	21	6	0	0	4	11	6	2	16	0	1	237	2	15	2
Bacteria; Firmicutes; Clostridia; Clostridiales	349	2	1	15	14	3	1	61	12	293	17	16	1	71	25	0	0	0	35	2	2	18	6	10	0	0	0	1202	2	14	1	14	0	10	5	75	1	7	233	4
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU463|NN=Prevotella_copri_AB064923|D=89	0	0	0	1	9	0	0	0	0	0	0	0	3	2	6	0	0	0	0	2	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Bacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	1	0	0	7	1	0	1	0	1	0	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91.1	71	12	87	29	92	74	372	7	15	20	9	257	26	16	0	0	224	248	27	1	0	33	453	18	0	0	0	0	3	5	0	107	0	110	0	0	0	124	0	20
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_salivarius	7	35	303	89	216	0	41	630	28	0	40	3	99	35	35	13	5	0	0	5	0	0	0	22	5	0	0	0	0	0	1035	1	68	0	0	0	0	12	6	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92.8	0	0	0	10	0	3	5	0	0	0	0	7	0	1	6	0	3	3	3	3	3	3	17	0	0	3	0	0	0	2	0	0	0	2	0	0	1	0	0	6
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	3	0	0	0	0	0	0	0	0	1	0	3	0	0	9	0	2	1	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Cryptobacterium; Cryptobacterium_curtum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU436|NN=Intestinimonas_butyriciproducens_JX101685.1|D=92.9	27	272	34	186	0	0	0	0	9	1792	60	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95.4	0	0	9	1	114	6	4	128	2	0	2	0	29	8	0	0	0	31	5	4	12	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; OTU379|NN=Dialister_succinatiphilus_AB370249|D=96.3	0	0	2	3	1248	0	5	5	2	0	0	0	1095	2822	0	0	0	1	0	4	0	0	3	20450	2	0	0	2	0	0	24	1	0	0	0	1	0	35	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88.4	0	4	2	8	11	0	2	11	1	0	0	0	4	2	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	3	7	2	13	0	3	22	0	0	1	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_graevenitzii	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	46	2	0	0	15	0	0	0	0	0	0	0	5	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	12	0	0	46	0	0	1	5	0	0	7	32	0	3	0	68
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium	0	0	4	1	0	0	0	10	53	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	12	2	3	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	2	4	0	0	20	0	0	7	0	0	1	0	0	5	12	0	10	3	0	2	32	1	0	0	0	9	0	1	0	0	0	1	0	0	0	0	7	0	5	9
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_faecium	50	979	13	6751	5	4	16740	7	3	3129	0	12460	37	3	0	3	0	0	2	1	7064	36320	0	16	1	29	0	8	5	0	0	9	18	1248	1	7	0	9504	6424	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU506|NN=Christensenella_minuta_AB490809|D=83.8	4787	236	766	1118	2	133	1493	2	8	3452	210	1255	17	9	91	0	1081	0	1	3	0	0	3	54	0	0	0	0	2	0	0	3	2	0	0	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	6	14	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	21	0	4	3	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	2	0	4	0	1	0	4	0	0	7	23	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1102|NN=Gemmiger_formicilis_GU562446|D=86.8	3	0	0	0	0	1	0	0	0	1	0	0	0	3	1	3	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	3	2	33	28	15	0	1	133	10	0	5	0	33	14	11	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95.6	0	0	4	17	0	0	7	4	1	2	0	8	7	3	16	1	0	1671	0	1	2	4	5	1	4	4	964	3379	16680	0	54	4	7	0	17	8	876	0	557	12
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; OTU1147|NN=Clostridium_glycolicum_AY007244|D=96.3	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137	2	0	1	3	6	1	9	0	460	30	1	10	1871	2	9	0	372	0	182	0	42
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae	0	0	0	0	0	2	0	0	1	0	9	0	1	0	2	0	2	1	0	1	2	6	0	53	0	2	11	6	0	36	0	1	0	4	36	70	0	0	23	4
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_marseilloanorexicus	19	0	8	660	4019	0	2614	608	471	0	37	881	499	1603	1215	2	0	0	44	0	2602	616	254	0	0	0	0	3	6	18	0	3	0	0	0	1	1201	58	1	212
Bacteria; Proteobacteria; Alphaproteobacteria; RF32; unclassified; unclassified; OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82.1	3	5503	0	0	0	0	1466	301	5714	0	0	0	2	0	1489	0	0	0	141	0	21380	0	0	0	0	0	0	1	0	0	0	1	2	137	0	0	0	33	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella; Sutterella_wadsworthensis	451	0	37	35	0	0	0	83	0	9	30	0	247	0	473	420	0	0	0	0	2942	1	72	223	0	2	0	150	156	1378	4121	0	2	877	5	1402	0	0	1517	0
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU882|NN=Melainabacter_A1|D=94.7	164	0	112	0	0	0	4	0	0	0	65	0	0	0	0	0	0	0	19	0	1998	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_obesi	3532	4164	5203	3832	5711	1	3496	37	3406	616	436	4052	5962	6787	9456	7	2318	294	242	0	1255	2651	2	8	0	541	0	14	51	228	10	3210	7	39	0	129	6311	1053	34	10160
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1736|NN=Alistipes_senegalensis_JF824804|D=96.3	0	6	13	0	0	0	2	0	11550	0	0	0	0	0	0	0	0	0	25	0	174	1	19	0	0	0	0	6	0	1	0	0	0	0	0	0	127	0	19	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87.6	29	0	0	0	0	0	1	3212	370	0	1043	0	21	4	0	0	0	960	74	0	135	0	514	0	1	1898	0	0	0	0	0	0	3	0	1	4	43	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89.9	20	9	0	41	43	89	0	0	0	2	17	30	0	0	36	0	0	0	0	0	84	0	0	8	0	0	0	0	0	13	0	0	0	24	0	2	0	0	0	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; OTU1678|NN=Veillonella_dispar_GQ422726|D=94.9	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	55	0	0	0	270	0	0	162	1	0	0	0	94	0	1050	0	0	0	0	26	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU877|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=93.8	116	0	1	0	5	81	1	0	0	99	4	0	0	0	0	0	0	0	39	0	91	5	30	11	0	71	0	1	0	0	0	0	2	4	0	5	4	31	11	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	2	0	0	2	1	8	0	0	0	0	2	0	1	75	0	22	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_scindens	0	4	8	7	23	0	1	55	5	0	4	0	7	18	2	0	0	0	0	0	10	1	0	0	0	0	0	1	0	0	0	0	0	5	36	0	1	2	16	4
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU482|NN=Eubacterium_sulci_AJ006963|D=89.4	27	15	58	0	0	0	29	0	0	53	5	0	0	30	0	0	0	0	22	0	28	39	0	57	0	2	0	0	0	0	0	24	0	14	0	1	0	5	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU603|NN=Soleaferrea_massiliensis_JX101688|D=87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU788|NN=Eggerthella_lenta_AF292375|D=92.5	118	0	2	3	2	0	1	0	1	45	0	0	0	0	0	0	0	0	0	0	41	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_rogosae	241	0	0	114	31	32	8	35	0	8	43	100	11	16	0	0	27	59	13	0	161	0	69	4	0	0	0	272	0	46	82	0	0	15	0	0	33	32	0	12
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	1	0	0	4	2	0	2	0	2	0	18	0	0	0	0	0	0	2	5	0	3	3	0	13	0	0	60	0	0	0	0	1	0	12	2	7	0	0	513	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	2	7	1	3	13	0	3	1	11	106	1	0	4	0	85	0	24	0	0	0	222	740	1	0	1	0	0	0	1	12	0	0	0	6	1	244	0	0	259	11
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90.6	2	0	2	90	0	0	2	377	0	0	32	1	14	0	0	0	0	0	0	0	39	2	0	0	0	0	0	1	0	0	0	0	0	0	0	31	67	0	0	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1491|NN=Eubacterium_sulci_AJ006963|D=90.3	87	15	8	10	4	5	27	0	10	0	6	13	3	2	0	0	46	391	166	0	250	0	7	0	0	7	0	0	0	7	0	0	0	3	21	3	258	9	0	33
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_siraeum	169	319	104	905	0	0	20	0	14	3	31	2	5	51	10	1	0	0	333	0	87	0	94	14	0	0	0	2	0	0	0	78	0	6	0	0	11	89	0	932
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90.8	13	16	2	7	37	5	5	5	59	2	2	6	55	19	2	0	59	8	11	0	17	1	5	0	0	5	0	0	0	1	0	13	0	0	0	97	9	0	63	12
Bacteria; Firmicutes; Clostridia; Clostridiales	0	16	2	6	8	22	3	14	27	1	0	48	19	0	0	1	0	0	44	0	25	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira	7	5	0	0	8	16	1	30	13	35	0	0	5	0	0	17	22	16	6	0	4	4	5	62	0	0	0	0	0	2	0	0	0	7	0	0	8	0	37	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97	31	181	0	0	0	0	0	0	23	48	0	6	0	0	0	0	0	0	51	0	99	0	0	1	0	1	0	0	0	0	0	0	2	6	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU944|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.5	7	0	0	0	15	0	1	0	3	1	0	0	0	1	1	0	1	6	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	19	6	2	6	3	5	5	16	34	10	4	22	14	2	47	1	17	15	11	0	13	1	11	7	0	4	289	0	1	4	0	6	0	1	290	13	11	0	372	17
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	1	4	5	1	0	0	4	0	0	0	4	23	13	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	1	5	0	23	0	0	4	1	0	1	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1048|NN=Clostridium_populeti_X71853|D=91.9	71	5	33	0	0	0	98	0	2	0	7	0	0	0	0	0	3	0	0	0	63	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; Parasutterella_excrementihominis	16	0	14	7	7536	564	0	71	10110	2	3	774	71	86	0	42	86	1	78	0	68	361	1	0	0	0	0	0	1	13	22	10	0	14	1	42	0	1294	0	1829
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	9	63	0	1	1	9	0	1	55	46	0	3	0	10	15	573	34	1	12	0	32	3	20	0	0	0	0	16	1	26	855	0	483	9	12	44	15	5	313	12
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis	14	3	14	15	33	5	26	92	3	3	28	0	29	19	27	0	0	16	26	0	3	89	1	12	0	0	0	80	21	8	0	0	0	0	0	58	0	2	0	0
