#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	762	429	108	81	18	1	409	93	1253	186	33	6	737	135	309	0	128	55	955	134	21	816	114	7	2	29	2030	2	2	24	1	55	0	6	0	115	0	26	0	892
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	34	5	16	92	169	1	8	53	21	4	12820	1	13	21	10	16	2	7	2	13920	10	30	3706	11460	21	24900	1	145	359	2	111	18920	58	61010	15	101	5	16	5	1
Bacteria; Firmicutes; Clostridia; Clostridiales	133	482	10	515	11	36	1166	15	21	20	5	19	71	30	12	2	54	0	24	6684	4	33	38	17	0	15	0	3	7	2	2	24	0	43	0	506	28	2	1	26
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0	0	38	1	1	0	2	0	2	411	0	0	0	0	0	0	1	0	0	1244	0	0	0	1	0	69	0	1	3	128	0	3	2184	0	951	3059	6044	4533	0	473
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88.5	178	463	76	493	1	0	0	0	4	0	0	251	1	0	0	0	0	0	0	1076	0	80	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU93|NN=Ruminococcus_bromii_DQ882649|D=96.3	1243	860	695	3269	2812	181	379	7800	623	8671	2431	499	5068	1996	1295	9	327	337	5394	2896	3	3343	1293	124	2	0	81	33	112	1	20	5418	7	0	8	12	6651	26470	4	1735
Bacteria; Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU1597|NN=Eubacterium_sulci_AJ006963|D=89.4	42	4	0	4	0	0	1	0	0	8	0	0	0	0	0	0	4	0	0	12	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Odoribacter; Odoribacter_splanchnicus	555	156	705	911	395	6727	768	226	1901	248	78	87	749	1071	277	1	58	1	1965	717	714	456	567	19	0	455	0	598	34	304	0	79	1	196	0	669	458	46	208	309
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter	12	15	7	12	0	16	36	1	21	3	2	4	63	14	10	0	26	0	3	68	1	37	10	5	0	4	0	0	0	3	0	4	0	24	0	7	2	0	1	8
