#NAME	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH018	AIH020	AIH021	AIH022	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH035	AIH036	AIH037	AIH039	AIH040	AIH042	AIH043	AIH046	AIH047	AIH049	AIH050	AIH051	AIH052	AIH053	AIH054	AIH055	AIH056	AIH057	AIH058	AIH059	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH068	AIH069	AIH070	AIH071	AIH072	AIH074	AIH076	AIH077	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira	0	4	4	5	62	0	0	14	0	0	0	0	2	7	0	0	2	0	0	1	7	0	0	0	8	24	3	0	7	5	0	5	0	8	16	1	30	19	0	13	35	0	0	5	0	0	29	0	0	12	2	37	17	0	22	16	6
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97	0	99	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	0	13	0	129	31	181	0	18	0	0	0	0	0	7	0	23	48	0	6	0	0	0	1	43	0	0	0	0	0	0	0	0	51
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU944|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.5	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	7	0	0	0	0	15	0	1	0	0	0	3	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	6	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	0	13	1	11	7	0	4	54	289	0	1	1	4	7	0	6	1	0	0	0	1	290	13	0	11	14	23	10	19	6	2	2	6	3	5	5	16	22	4	34	10	4	22	14	2	47	6	0	0	2	0	372	1	17	17	15	11
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	1	4	4	5	1	0	0	4	6	1	0	0	0	4	23	13	0	2	0	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3	1	5	0	7	23	0	0	4	1	5	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1048|NN=Clostridium_populeti_X71853|D=91.9	0	63	0	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	71	5	33	0	0	0	0	98	0	265	0	2	0	7	0	0	0	0	124	0	0	0	0	0	0	0	3	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; Parasutterella_excrementihominis	0	68	361	1	0	0	0	0	0	0	1	0	13	2	22	10	0	0	0	49	14	1	42	1	0	5	2	1	16	0	14	130	7	7536	564	0	71	0	6	10110	2	3	774	71	86	0	51	0	1294	11	16	0	42	1829	86	1	78
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0	32	3	20	0	0	0	0	0	16	1	3	26	0	855	0	21	483	16	0	9	12	44	0	15	4	0	14	9	63	0	14	1	1	9	0	1	0	51	55	46	0	3	0	10	15	14	1	5	8	0	313	573	12	34	1	12
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis	0	3	89	1	12	0	0	0	0	80	21	1	8	7	0	0	5	0	0	1	0	0	58	0	0	1	15	2	14	3	14	14	15	33	5	26	92	4	4	3	3	28	0	29	19	27	0	120	2	12	0	0	0	0	0	16	26
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	4	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	4	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU825|NN=Phascolarctobacterium_faecium_X72867|D=90.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1842	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1196|NN=Christensenella_minuta_AB490809|D=86.5	0	11	0	3	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	4	0	89	0	6	84	0	76	7	1	982	0	1	4	0	0	0	5	28	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	4	0	6	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	6	0	0	0	3	16	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	1
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	6	0	0	3	0	0	0	0	0	0	1	9	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_succinatutens	0	1	3	1	2	0	0	6	0	3	11	0	2772	10170	0	385	0	1	0	14	0	0	0	0	0	0	2	1	0	0	1	0	0	4	0	3	7	0	0	1	0	0	0	7	1	0	1	433	0	1	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95.2	0	51	0	81	276	0	0	0	0	0	0	0	0	171	0	0	0	0	0	112	46	0	0	0	59	0	4	0	0	19	0	0	0	0	0	0	0	153	5	136	179	38	36	0	0	0	26	1	19	0	0	0	0	0	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Anaerofustis; Anaerofustis_stercorihominis	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	3	0	2	4	0	2	2	0	1	6	0	0	0	0	0	0	7	7	1	4	0	0	16	0	7	0	0	2	5	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	0	14	1	20	5	0	4	21	252	0	0	0	18	17	3	6	4	0	0	39	7	2	13	0	5	8	0	11	40	3	8	4	12	22	15	8	11	20	17	31	25	3	1	12	2	8	11	0	3	19	0	8	0	13	11	56	55
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4	1	0	6	0	0	0	0	1	3	1	2	4	0	1	11	0	8	0	0	0	0	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU1677|NN=Christensenella_minuta_AB490809|D=89.2	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	0	0	0	0	1	0	0	0	9	0	0	0	6	0	6	0	53	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Anaerotruncus; Anaerotruncus_colihominis	0	20	0	10	0	0	2	1	0	0	0	0	0	13	0	0	0	0	38	1	0	0	8	1	3	0	4	117	0	2	82	23	0	3	8	0	0	0	3	3	0	4	2	0	2	1	0	0	0	0	0	3	1	0	18	1	1
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_gracilis	0	14	0	0	0	0	0	0	6	0	6	0	6	1	18	0	2	4	0	0	0	33	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	128	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	25	0	14	4	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	1	6	3	13	0	0	7	0	5	2	0	2	1	2	0	0	3	0	8	0	0	10	0	0	0	1	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1493|NN=Gemmiger_formicilis_GU562446|D=92.7	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	8	0	1	3	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia; Abiotrophia_defectiva	0	14	0	1	0	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium; OTU299|NN=Chryseobacterium_hominis_AM261868|D=96.7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	7	0	2	0	2	0	0	0	0	1	0	0	4	0	2	1	6	0	0	2	0	0	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1225|NN=Ruminococcus_bromii_DQ882649|D=90.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus	0	21	0	0	1	0	398	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	3	668	0	6818	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_methylpentosum	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	1	0	0	6	3	0	19	0	0	2	0	0	0	9	6	0	0	0	0	0	2	0	0	0	0	0	13
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU1030|NN=Gordonibacter_pamelaeae_AB566419|D=87.1	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU98|NN=Christensenella_minuta_AB490809|D=84.9	0	13	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	40	0	3	0	2	61	0	26	0	6	42	26	5	25	0	9	0	29	0	0	9	21	0	158	0	0	0	0	0	0	12
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU1328|NN=Melainabacter_A1|D=90.6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229	0	0	0	0	0	3	0	0	0	0	9	0	13	0	0	0	0	74	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	0	7	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Peptococcus; OTU1224|NN=Peptococcus_niger_AB644260|D=87.1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_onderdonkii	0	4	1	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	299	56	0	0	0	0	0	1	0	39	0	0	0	11	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia	0	3	0	1	0	0	0	0	0	0	0	0	10	0	0	2	0	0	470	44	0	0	0	0	0	0	0	86	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	18	40	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	20	62	18	112	0	45	128	0	21	75	1	17	12	4	7	5	2	3	5	31	229	61	8	192	15	41	5	1244	2	3	21	96	56	3	182	42	45	4	68	1277	25	285	110	21	29	95	5	74	0	0	3	0	1	5	612	278
Bacteria; Firmicutes; Clostridia; Clostridiales	0	11	0	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	0	0	0	0	7	0	26	0	0	8	0	0	0	0	5	0	19	12	0	1	0	0	1	0	0	0	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	1	5	0	0	6	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU311|NN=Prevotella_copri_AB064923|D=90.1	0	4	0	2	1317	0	43	0	0	2	17	0	0	1298	5	1309	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	1	0	2	0	9	3	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	9	0	0	3	0	0	0	0	4	2	2	3	0	1	213	3	0	0	0	0	21	2	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania; Holdemania_filiformis	0	8	2	1	0	0	2	56	0	0	0	0	0	0	0	0	5	0	3	1	0	0	0	0	2	2	0	0	0	0	0	0	7	8	0	0	6	0	0	7	7	1	11	4	3	2	4	0	0	1	1	0	78	0	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	21	0	0	4	0	0	6	1	11	2	9	4	0	193	0	0	1	0	0	0	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU957|NN=Anoxystipes_fissicatena_NR_104800.1|D=93.2	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	38	80	1	0	0	0	0	107	8	6	0	0	2	0	337	2	6	0	0	9	0	44	1	13	7	38	0	0	0	0	114	0	0	0	34	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XIII. Incertae Sedis; Mogibacterium; OTU129|NN=Mogibacterium_neglectum_AB037875|D=94.6	0	4	0	0	0	0	0	0	0	0	0	0	0	28	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90	0	5	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	5	1	0	3	25	3	75	4	2	7	0	3	0	6	5	0	0	0	0	15	2	0	0	0	0	17	5
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; Methylobacterium_jeotgali	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria	0	1	0	18	12	0	9	5	0	1	1	0	2	6	0	21	0	0	0	14	0	0	8	0	28	0	0	0	297	0	1	69	3	0	0	2	0	0	0	0	143	0	0	0	0	0	76	0	0	0	5	0	0	1	102	0	0
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae	0	4	0	1	2	0	0	24	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	6	0	0	1	0	2	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	0	4	1	0	178	0	0	91	86	1	30	1	36	26	4620	0	1	968	0	4	0	286	10	0	0	6	0	4	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	9	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Oribacterium; Oribacterium_sinus	0	4	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	6	0	3	0	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0	1	0	0	0	2	0	6	2	1	0	3	4	0	0	1	2	13	4	0	16	1	3	15	0	5	0	0	10	0	7	0	0	18	13	0	1	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	0	6	0	0	8	1	0	0	0	7	0	2	41	1	184	1	0	11040	0	0	2	8	37	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	4	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_asparagiforme	0	2	0	1	0	0	2	2	0	2	48	5	0	225	0	1	0	0	2	4	1	8	10	0	9	0	0	25	0	3	1	3	4	1	4	0	4	0	0	3	0	0	11	0	1	7	1	0	0	2	0	14	0	2	6	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_hathewayi	0	3	4	0	0	0	0	0	0	30	0	0	0	12	0	0	0	0	258	0	1	3	6	0	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	8	121	0	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1490|NN=Clostridium_bolteae_AJ508452|D=91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	22	0	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	95	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	2	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	8	2	5	1	4	0	0	3	0	0	7	0	1	5	9	0	6	8	0	10	0	0	0	2	0	0	3	0	0	11
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	3	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; OTU599|NN=Roseburia_intestinalis_AB661435|D=94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	17	1	22	6	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	7	0	2	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	2	0	0	0	0	5	2	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2592	0	0	0	0	0	0	2	0	0	0	0	0	25	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90.6	0	6	3	245	163	0	42	0	0	11	39	0	0	4	4	1932	0	0	0	1379	13	0	0	13	0	0	63	16	419	809	706	0	0	0	117	36	0	154	104	1	484	62	0	0	306	1	553	48	1	0	79	0	0	0	0	0	117
Bacteria; Firmicutes; Clostridia; Clostridiales	0	2	0	0	3	0	0	0	0	0	1	0	0	0	1	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_buccae	0	3	6	2	0	30020	1	2	0	1	0	1	2	10	183	2	0	409	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	170
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	1	0	0	0	0	0	0	0	0	1	0	3	2	0	6	0	0	0	0	1	0	0	0	2	1	0	0	8	3	2	2	0	0	0	0	19	5	0	3	1	0	0	0	7	0	4	0	2	1	1	0	0	4	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	3	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	834	0	45	0	0	0	0	0	0	0	128	0	0	0	0	1	0	0	0	0	0	2	0	0	0	17	1	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelatoclostridium; Erysipelatoclostridium_innocuum	0	2	0	0	0	0	0	10	0	89	89	3	0	0	0	0	0	0	35	1	0	0	4	0	6	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	11	70	0	0	15	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	15	0	4	14	0	3	28	0	3	0	0	5	0	10	3	5	0	0	0	1	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU1638|NN=Prevotella_melaninogenica_AY323525|D=97	0	4	0	1	0	0	4	1	24	4	51	0	0	1	6	0	1	6	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
