#NAME	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH018	AIH020	AIH021	AIH022	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH035	AIH036	AIH037	AIH039	AIH040	AIH042	AIH043	AIH046	AIH047	AIH049	AIH050	AIH051	AIH052	AIH053	AIH054	AIH055	AIH056	AIH057	AIH058	AIH059	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH068	AIH069	AIH070	AIH071	AIH072	AIH074	AIH076	AIH077	AIH081	AIH082	AIH083
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU197|NN=Ruminococcus_albus_AY445596|D=93.7	219	0	128	110	13	2	0	0	17	0	2	2	0	0	1	17	0	3	0	0	0	126	3	8	0	1	583	16	34	1	8	139	40	228	0	1009	569	11	9	0	3	2	3	471	33	0	7	3	248	334	0	0	0	0	5949	5303	145
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_uniformis	5841	3686	6	5033	42	6	38	6488	0	164	13420	2548	3680	1159	8	1210	4708	14	255	1274	885	0	4931	24	4570	186	1265	2506	2287	12940	2603	2674	749	4820	15480	11230	200	2505	2666	6257	1479	329	21430	5841	4522	19100	742	8186	3093	4712	61	10440	38780	1528	5164	1	3321
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	134	21	816	114	7	2	29	108	2030	2	2	3	24	16	1	55	5465	0	0	1309	6	0	115	17	0	22	22	418	762	429	108	101	81	18	1	409	93	373	20	1253	186	33	6	737	135	309	737	71	26	365	39	0	0	892	128	55	955
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	13920	10	30	3706	11460	21	24900	32	1	145	359	2	2	46100	111	18920	4	58	1	11730	61010	15	101	12980	5	24550	73300	66	34	5	16	0	92	169	1	8	53	2	3503	21	4	12820	1	13	21	10	15860	4260	16	0	3333	5	16	1	2	7	2
Bacteria; Firmicutes; Clostridia; Clostridiales	6684	4	33	38	17	0	15	0	0	3	7	0	2	0	2	24	5	0	1	41	43	0	506	1	28	26	1589	40	133	482	10	67	515	11	36	1166	15	5	8	21	20	5	19	71	30	12	133	116	2	7174	764	1	2	26	54	0	24
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1244	0	0	0	1	0	69	1	0	1	3	1781	128	63	0	3	0	2184	0	396	0	951	3059	6	6044	0	113	6	0	0	38	0	1	1	0	2	0	0	54	2	411	0	0	0	0	0	442	1	4533	0	0	0	0	473	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88.5	1076	0	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	5	0	2	0	189	132	0	178	463	76	111	493	1	0	0	0	0	0	4	0	0	251	1	0	0	364	210	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU93|NN=Ruminococcus_bromii_DQ882649|D=96.3	2896	3	3343	1293	124	2	0	1	81	33	112	0	1	9	20	5418	6	7	7	5	0	8	12	79	6651	49	5495	762	1243	860	695	3128	3269	2812	181	379	7800	171	3	623	8671	2431	499	5068	1996	1295	847	1537	26470	809	6435	4	9	1735	327	337	5394
Bacteria; Bacteroidetes	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	3	720	235	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU1597|NN=Eubacterium_sulci_AJ006963|D=89.4	12	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	42	4	0	0	4	0	0	1	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Odoribacter; Odoribacter_splanchnicus	717	714	456	567	19	0	455	442	0	598	34	0	304	63	0	79	1012	1	362	143	196	0	669	10	458	795	36	358	555	156	705	358	911	395	6727	768	226	590	56	1901	248	78	87	749	1071	277	477	465	46	642	50	208	1	309	58	1	1965
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter	68	1	37	10	5	0	4	0	0	0	0	0	3	0	0	4	0	0	8	5	24	0	7	0	2	11	42	17	12	15	7	32	12	0	16	36	1	0	5	21	3	2	4	63	14	10	25	38	0	156	7	1	0	8	26	0	3
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister	4007	8	66	14820	29	10	42010	1493	14	9	59	528	2	43	344	34	16650	113	13	24900	53	3	21040	1533	17350	13480	6453	81	2100	4	4724	2007	27	45	17610	37	10640	3	5	1691	0	15640	3	153	1342	4745	31	8	2	14	5	6	24	30330	4307	5282	5730
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96.9	387	932	2007	1552	13	5	102	13580	682	35320	16930	10040	9144	2519	5936	130	1687	14170	1436	815	729	5138	3218	32	2526	665	434	1162	3639	2876	502	687	848	2481	5125	524	2833	830	1349	2854	3375	388	2179	1356	1902	3487	2032	926	4682	867	35	7327	25810	283	3200	0	3969
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	21	39	13	24	48	2	45	529	5737	6	2	5	3	40	0	21	11	0	8	69	17	3	108	3	123	18	4	12	2456	8	26	42	169	25	17	65	68	28	14	85	3560	28	301	78	7	128	73	21	16	15	1	14	1	3	58	605	244
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_infantis	257	51	32	24	13	24	2	223	343	138	2	4	7	66	295	11	12	23	0	33	11	65	10	9	0	2	5	9	7	0	5	3	14	6	0	7	5	17	9	7	1	4	15	31	11	6	9	79	9	10	1	124	0	0	9	7	7
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Intestinibacter; Intestinibacter_bartlettii	372	213	1271	0	64	3	116	3	0	1508	26	12	2	3	16	1053	18	7	2	133	43	2204	414	19	0	1376	1013	1322	194	59	1332	878	3790	2056	694	24	1181	50	55	15	59	22	122	219	3135	70	1490	1068	2274	129	5	983	4	1609	2025	5376	1599
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU644|NN=Dorea_massiliensis_JX101687|D=88.1	645	9	590	948	449	1	704	111	0	208	22	432	204	17	2	813	2	58	54	152	163	8	4	16	187	518	48	810	1042	50	21	104	694	551	0	487	184	434	155	1	110	130	4	779	186	89	1831	335	165	522	100	0	311	0	182	150	1029
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	1589	713	4	6678	246	6	23	4	0	193	6	0	8	37	3	493	0	9	3	3297	0	2	4	285	75	4	14	4340	635	10260	3	5099	4946	844	1	449	95	9400	5130	15820	378	1911	1067	25920	7947	15730	19	1	2240	2	1	1	4	1	4347	1253	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	2308	1752	1379	420	21	4	80	8437	0	8159	43	442	5268	150	14	1605	357	2247	1328	94	435	2078	2538	38	1278	909	136	378	1106	6342	746	89	5258	10640	1151	1122	319	680	935	1699	282	61	584	1957	1935	2298	441	2581	508	4212	21	10380	4	572	1335	3	3499
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_eligens	155	331	0	13	8	0	0	14	0	0	0	3	0	0	2	0	90	0	0	12	2	385	0	9	4	10	41	16	908	3	50	60	73	1	365	78	1	1332	0	196	0	36	264	57	12	14	196	228	11	62	3	960	0	0	91	14	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	698	860	1400	22940	1565	3	3164	29870	7287	41	25	98	2640	1412	474	1607	309	101	37	7005	1479	384	7870	92	13950	1076	2074	1466	5373	800	1308	1132	6182	6550	2495	1392	5365	3140	2454	2708	5459	831	2741	5009	886	2058	1624	1371	4030	2705	421	15200	11	2435	6180	17860	8683
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU886|NN=Alistipes_senegalensis_JF824804|D=93.4	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	107	0	0	0	0	1	0	0	1	5	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	242	0	0	19	160	0	10	0	0	0	0	0	0	194	0	0	0	0	0	218	72	0	0	121	0	60	16	0	0	0	1	0	0	0	0	1	0	0	159	3	0	314	0	2	0	0	528	124	0	0	74	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella_minuta	51	74	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	43	0	0	21	0	0	3	3	0	0	0	1	0	0	3	0	0	4	0	0	0	0	0	53	37	0	0	0	0	0	8	0	7
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	66	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	2	170	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	125	0	0	126	4	0	7	0	0	0	0	0	0	6	0	25	0	0	0	27	1405	0	0	41	0	225	0	1	0	0	0	0	0	0	0	0	0	0	63	0	0	14	0	0	3	1	114	15	0	0	8	0	0	0	0	0	0
