"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Actinobacteria",2159,24,216,665,561,30,90,420,185,705,168,108,777,499,379,17,165,12953,8794,287,15,15,119,230,467,69,19,31,94,527,870,379,57,264,365,14,261,62,74,123,109,11,167,34613,112,7749,4189,3777,1269,40,121,581,140,5948,1182,163,307
"Alphaproteobacteria",34,138,321,964,559,313,152,2315,108,12,463,1881,419,232,178,322,616,65,68,222,148,7,344,81,61,378,18,145,226,112,555,113,77,1223,184,35,532,181,484,219,100,84,197,8,687,837,83,7,351,161,83,484,522,216,1431,614,191
"Bacilli",838,116,483,443,467,76,176,1150,175,74,228,1079,450,128,121,60,148,244,98,949,69,74,39,126,246,669,26,22,101,94,87,173,238,4434,68,11,703,835,240,264,231,134,29,10029,874,279,393,18727,39,993,418,637,334,42,156,1656,19
"Bacteroidia",18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,54598,48095,14000,80006,36220,34726,33577,25528,33307,33896,43535,37013,30613,32077,44321,64699,33172,76005,27834,44940,40717,14797,83,37876,2125,50435,85508,30101,25567,43569,26951,97181,12196,35087,50465,29572,54696,26146
"Betaproteobacteria",469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,30,18,4,45,13,95,70,4,11,215,189,94,156,20,97,49,22,56,3036,419,83,253,5,34,2,218,206,1411,4144,34,23,906,62,1501,26,1414,1554,1850
"Clostridia",53132,15811,15615,37479,22750,18263,22129,47727,13960,42035,38309,34458,32342,44558,12360,5344,36315,60669,37332,8069,12489,2345,17997,26001,34266,34557,1111,1846,29554,16385,20470,17065,6477,25065,17690,10617,20770,11110,19675,47080,22162,34,7087,22091,24054,18012,6589,14977,29104,346,7546,5876,27797,41192,58335,28064,12666
"Deltaproteobacteria",238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,48,0,1,3,96,76,0,0,20,17,2,1,24,8,4,0,2,5,16,10,4,5,0,7,0,5,0,2,0,6,64,0,8,8,0,10,0,0
"Erysipelotrichia",521,343,1345,2259,8589,614,185,395,128,244,355,344,2667,1234,110,3053,3657,474,210,11,2247,2,121,1926,323,125,4,3,1909,4463,11,1360,2227,422,29,3,456,87,509,82,11,1,505,274,13377,755,2,8,136,20,24,206,229,20,336,303,864
"Fusobacteriia",0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0,12,0,0,0,0,0,19,4,0,19,3,24,0,0,0,0,0,1,40,0,3,16,0,0,113,15,9,94,1965,0,9,0,43,2,0,0,0,0
"Gammaproteobacteria",36,1807,83,47,55,26,12,196,1214,0,665,27,92,116,194,586,86,142,121,7859,307,4,48,554,224,1360,59,567,2511,90,270,28,43,131,29,313,126,1254,280,5,2671,1698,16,408,1911,65,1418,5700,173,4844,258,7012,8380,2362,90,1439,165
"Negativicutes",2231,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12481,1367,4191,4811,30,22852,6424,6732,14092,16880,3507,6533,183,1788,11988,5733,32,27598,14814,13134,2095,653,7598,60,1548,6045,9910,36466,14856,22405,24702,42174,4843,746,904,51743,33762,1277,74116,3680,11289,36709,17356,9653,15486,30460
"unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,10,4,0,36,2,4,15,0,0,2,14,4,0,0,6,0,0,0,2,0,0,1,2,33,13,0,109,10,1,0,0,4,17,13,0,3,89,0
"Verrucomicrobiae",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,15,2,13,8,3480,18,120,25480,57140,1043,0,4702,25440,552,11800,1,1675,7,16,13,3903,9,16,1,1,8,15,0,3,141,13,0,6,8,3921,6,4,9123
"NA",413,240,187,260,207,77,182,294,271,432,53,150,120,142,90,220,298,110,191,142,226,43,226,162,339,198,119,182,66,122,95,189,52,276,220,127,65,212,187,143,229,126,119,81,119,343,207,154,321,57,77,101,335,194,123,136,143
