"","Pvalues","FDR"
"Paraprevotella_clara",0.00018242,0.022919
"Alistipes_indistinctus",0.00020741,0.022919
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.00044454,0.032567
"Bacteroides_plebeius",0.00058944,0.032567
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.00081551,0.034051
"Christensenella_minuta",0.00096612,0.034051
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.0013964,0.034051
"Parabacteroides_goldsteinii",0.0014221,0.034051
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.0014606,0.034051
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",0.0016508,0.034051
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",0.0016948,0.034051
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.0051064,0.094043
"Streptococcus_anginosus",0.0062179,0.1057
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.0076665,0.12102
"Phascolarctobacterium_succinatutens",0.010145,0.14947
"OTU561|NN=Roseburia_inulinivorans_AJ270474|D=91_4",0.015333,0.21178
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.01772,0.2129
"OTU1065|NN=OscillospiraFlavonifractor_plautii_Y18187|D=86_6",0.01882,0.2129
"OTU520|NN=Clostridium_bolteae_AJ508452|D=93_9",0.020454,0.2129
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.020562,0.2129
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.021068,0.2129
"Tyzzerella_lactatifermentans",0.021193,0.2129
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.023637,0.22712
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",0.026312,0.24229
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",0.028019,0.24478
"OTU1160|NN=Clostridium_methylpentosum_Y18181|D=94_6",0.029332,0.24478
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.029905,0.24478
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.032255,0.24945
"OTU303|NN=Eggerthella_lenta_AF292375|D=87_9",0.032734,0.24945
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.04012,0.29555
"OTU1387|NN=Alistipes_timonensis_JF824799|D=96_6",0.047215,0.33537
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.050812,0.33537
"Holdemania_filiformis",0.051237,0.33537
"OTU1276|NN=Soleaferrea_massiliensis_JX101688|D=82_2",0.051596,0.33537
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.05471,0.34545
"Not_Assigned",0.059127,0.3581
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",0.059954,0.3581
"Fusicatenibacter_saccharivorans",0.062048,0.36066
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.063645,0.36066
"Alistipes_putredinis",0.066725,0.36546
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",0.067801,0.36546
"OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88_5",0.073326,0.37265
"Eggerthella_lenta",0.075014,0.37265
"Brevundimonas_vesicularis",0.077987,0.37265
"OTU1109|NN=Blautia_wexlerae_EF036467|D=94_7",0.078726,0.37265
"Oscillospira_plautii",0.078905,0.37265
"Parabacteroides_merdae",0.079467,0.37265
"Gemella_haemolysans",0.080938,0.37265
"OTU673|NN=Ruminococcus_callidus_X85100|D=93_8",0.083668,0.37567
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.085349,0.37567
"Kluyvera_ascorbata",0.086693,0.37567
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.09374,0.39839
"OTU924|NN=Barnesiella_intestinihominis_AB370251|D=85_8",0.097173,0.40096
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",0.10079,0.40096
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",0.10177,0.40096
"Streptococcus_infantis",0.10263,0.40096
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.10341,0.40096
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.11049,0.42101
"Bilophila_wadsworthia",0.12665,0.46752
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.12693,0.46752
"OTU436|NN=Intestinimonas_butyriciproducens_JX101685_1|D=92_9",0.13122,0.47539
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.13706,0.48856
"Alistipes_obesi",0.14179,0.49351
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.14292,0.49351
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.14895,0.50641
"OTU321|NN=Eubacterium_dolichum_AB649277|D=80_6",0.16375,0.54832
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",0.18001,0.58823
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",0.18099,0.58823
"OTU1688|NN=Gemmiger_formicilis_GU562446|D=92_5",0.19394,0.62117
"Turicibacter_sanguinis",0.20341,0.63563
"Lachnoclostridium_aldenense",0.20455,0.63563
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.20708,0.63563
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.21213,0.64221
"Bifidobacterium_bifidum",0.22186,0.64454
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.22497,0.64454
"OTU98|NN=Christensenella_minuta_AB490809|D=84_9",0.22598,0.64454
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.22677,0.64454
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",0.22801,0.64454
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.2304,0.64454
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.23412,0.64675
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",0.24458,0.64765
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",0.2452,0.64765
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.24937,0.64765
"OTU318|NN=Barnesiella_intestinihominis_AB370251|D=85",0.25272,0.64765
"Lachnoclostridium_scindens",0.25293,0.64765
"Haemophilus_parainfluenzae",0.25484,0.64765
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.25496,0.64765
"Methanobrevibacter_smithii_U55233_1",0.25858,0.64895
"OTU525|NN=Clostridium_clariflavum_NR_102987_1|D=78_1",0.26357,0.64895
"OTU214|NN=Eubacterium_biforme_JF298897|D=96_8",0.26876,0.64895
"Clostridium_disporicum",0.27986,0.64895
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.28267,0.64895
"OTU622|NN=Clostridium_methylpentosum_Y18181|D=87_5",0.28273,0.64895
"Lactobacillus_salivarius",0.28307,0.64895
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.2835,0.64895
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",0.2848,0.64895
"Parasutterella_excrementihominis",0.28483,0.64895
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.2893,0.6524
"Ruminococcus_callidus",0.30402,0.67867
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.31596,0.69828
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7",0.32472,0.71052
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.33107,0.71732
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",0.33466,0.71806
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",0.33845,0.7192
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.34804,0.73253
"Barnesiella_intestinihominis",0.35467,0.73447
"OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86_7",0.3556,0.73447
"OTU1491|NN=Eubacterium_sulci_AJ006963|D=90_3",0.36481,0.74171
"Pelomonas_saccharophila",0.36582,0.74171
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",0.3772,0.75231
"Lactococcus_lactis",0.37786,0.75231
"OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90_6",0.39752,0.7833
"OTU997|NN=Catabacter_hongkongensis_AB671763|D=82_9",0.40661,0.7833
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.40685,0.7833
"OTU1461|NN=Desulfitobacterium_frappieri_DFU40078|D=84_5",0.40926,0.7833
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",0.41253,0.7833
"Lachnoclostridium_citroniae",0.41677,0.7833
"Intestinimonas_butyriciproducens",0.42386,0.7833
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",0.43044,0.7833
"OTU1427|NN=Clostridium_clariflavum_NR_102987_1|D=82_3",0.43105,0.7833
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.43354,0.7833
"OTU1736|NN=Alistipes_senegalensis_JF824804|D=96_3",0.43656,0.7833
"OTU988|NN=Barnesiella_intestinihominis_AB370251|D=87_1",0.43933,0.7833
"Actinomyces_odontolyticus",0.4395,0.7833
"Bradyrhizobium_elkanii",0.44931,0.78959
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",0.45087,0.78959
"OTU1048|NN=Clostridium_populeti_X71853|D=91_9",0.45375,0.78959
"OTU107|NN=Blautia_glucerasea_AB588023|D=95_6",0.47335,0.81654
"Bacteroides_uniformis",0.47996,0.81654
"Eubacterium_eligens",0.48709,0.81654
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.4874,0.81654
