"","Pvalues","FDR"
"Desulfovibrionaceae",5.0035e-05,0.0014421
"Prevotellaceae",7.0349e-05,0.0014421
"unclassified",0.0074978,0.10247
"Gemellaceae",0.025447,0.26083
"Streptococcaceae",0.064673,0.53032
"Lachnospiraceae",0.096962,0.65978
"Pasteurellaceae",0.11675,0.65978
"Ruminococcaceae",0.12874,0.65978
"Methanobacteriaceae",0.19859,0.74521
"Christensenellaceae",0.19959,0.74521
"Eubacteriaceae",0.19993,0.74521
"Bacteroidaceae",0.29818,0.87768
"Sutterellaceae",0.35409,0.87768
"Enterobacteriaceae",0.3633,0.87768
"Lactobacillaceae",0.36496,0.87768
"Porphyromonadaceae",0.36855,0.87768
"Veillonellaceae",0.36938,0.87768
"Erysipelotrichaceae",0.38532,0.87768
"Comamonadaceae",0.47874,0.9338
"Staphylococcaceae",0.51293,0.9338
"Dehalobacteriaceae",0.54104,0.9338
"Clostridiaceae",0.56598,0.9338
"Fusobacteriaceae",0.57296,0.9338
"Actinomycetaceae",0.5874,0.9338
"Rikenellaceae",0.59429,0.9338
"Verrucomicrobiaceae",0.62257,0.9338
"Carnobacteriaceae",0.6345,0.9338
"Not_Assigned",0.65725,0.9338
"Bradyrhizobiaceae",0.68225,0.9338
"Acidaminococcaceae",0.68327,0.9338
"Coriobacteriaceae",0.70875,0.93738
"Moraxellaceae",0.77311,0.9764
"Peptostreptococcaceae",0.78588,0.9764
"Sphingomonadaceae",0.84403,0.98518
"Micrococcaceae",0.87117,0.98518
"Mogibacteriaceae",0.88145,0.98518
"Caulobacteraceae",0.9367,0.98518
"Bifidobacteriaceae",0.94302,0.98518
"Oxalobacteraceae",0.95126,0.98518
"Oscillospiraceae",0.98502,0.98518
"Pseudomonadaceae",0.98518,0.98518
