Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	15	24	7711	9	94	53	7	443	146	375	191	27	231	215	918	269	1756	7	121	327	428	2	28	407	161	291	111	32	187	366	343	2	118	12774	8666
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae	76	18	27	71	10	48	2	84	779	15	64	9	277	45	269	130	541	41	95	316	135	20	61	13	13	469	58	58	552	182	26	6	143	74	204
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0	0	0	4	0	0	0	2	0	0	8	0	1	5	0	3	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0
Bacteria|Bacteroidetes	0	0	0	0	0	0	2	0	720	0	0	0	0	0	0	0	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	2	4	12	0	0	0	0	0	3	21	6	38	4	0	0	4	64	23	35	48	110	0	19	360	21	0	34	0	77	21	21	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	29037	48966	81650	3018	4883	23416	227	3338	14481	5418	7484	11529	8346	14390	14566	20709	9936	30904	13281	9507	23689	24046	15017	4431	14671	12427	1503	27863	13566	9397	28155	90390	18453	8121	13133
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	483	1420	151	3593	10104	1320	354	6439	7274	13583	12152	7482	3540	3947	4062	1966	4048	11317	14557	7496	6909	7426	12953	11637	22620	3052	2286	1965	28588	11491	17100	191	5603	1258	3572
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	86	252	772	18642	63026	159	13233	24978	8822	853	3109	4450	16791	8696	203	495	842	76	122	4312	413	1	86	715	106	11	13256	56	194	131	80	85	7	17	185
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	4016	78	3336	15084	20207	10252	290	9045	16871	34157	15588	9535	6544	21978	10951	41710	5942	15205	39428	14337	22934	27029	34413	15594	24169	1316	5546	15828	35487	17400	27587	2479	13149	301	2155
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
