Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	13	2	6	0	15	0	159	1	67	99	41	19	0	4	12	8	35	260	7	62	0	0	0	1	20	13	6	431	0	0	8	0	26	0	10	7	0	0
Bacteria|Firmicutes|Bacilli|Bacillales	1	6	6	0	0	13	0	0	7	7	0	1	0	6	3	0	28	0	0	0	0	2	0	0	12	2	2	5	1	0	1	2	0	0	0	0	2	3	0
Bacteria|Firmicutes|Bacilli|Gemellales	6	12	0	4	1	0	0	3	0	5	0	4	0	19	9	1	2	2	13	6	0	0	0	2	13	1	0	15	15	0	0	0	0	14	3	0	0	5	0
Bacteria|Firmicutes|Bacilli|Lactobacillales	664	882	294	97	417	327	74	91	80	247	126	233	267	4521	156	70	679	1003	227	260	231	133	29	69	10078	23	481	938	20731	39	68	1055	33	637	55	39	9	1989	19
Bacteria|Firmicutes|Clostridia|Clostridiales	35211	24530	18219	31166	7637	27947	2496	17524	21937	19486	38962	6855	62455	25521	59987	20597	21317	11869	20047	49288	27196	51	7182	22411	22505	1160	6645	8610	15466	30001	21076	376	2589	6046	41337	18884	13394	28338	13171
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	217	13474	863	2028	25	237	3	4466	17	1523	1984	2231	368	491	365	1979	463	101	511	161	1661	1	593	4	282	9	349	159	13	444	2257	42	87	207	63	121	6	370	865
Bacteria|Firmicutes|Negativicutes|Selenomonadales	12010	1164	911	27600	3682	37033	3522	14814	13140	2095	1318	657	1810	8320	9879	10252	6053	9959	36467	14856	22481	24703	42722	762	4862	5747	51805	15135	34828	1420	16882	85637	32	11300	17357	6534	4270	15490	30669
Bacteria|Firmicutes|unclassified|unclassified-Firmicutes	1	0	3	302	0	0	2	94	163	187	483	0	97	0	0	0	0	0	0	479	573	1	1	0	0	0	0	0	0	5	1873	2	0	0	0	8	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	26	33	70	21	1	11	0	3	30	0	0	0	1	0	1	7	1	46	1	6	22	1	0	0	115	4	94	13	1970	18	0	9	0	43	0	33	0	0	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0	1	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	24	40	51	27	10	44	1	4	25	10	1	8	4	55	77	7	43	5	41	12	12	7	8	10	1	4	8	21	0	21	4	12	12	57	20	25	0	50	8
Bacteria|Proteobacteria|Alphaproteobacteria|RF32	79	1	0	0	137	0	1	0	2	795	1186	0	7	1	33	341	0	21380	2124	86	0	0	0	0	0	0	0	154	0	1	1	8	914	0	2	2	4	0	246
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	4	18	7	4	5	7	0	1	1	1	0	3	0	0	2	0	9	4	16	1	1	0	5	0	2	0	1	4	0	15	0	3	1	13	4	2	0	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	351	638	781	201	72	475	6	107	535	106	80	68	58	1184	1362	177	496	178	436	207	90	79	188	221	7	14	75	200	7	325	144	147	132	422	194	317	35	569	183
Bacteria|Proteobacteria|Alphaproteobacteria|unclassified-Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	77	219	210	241	914	1502	7	313	626	585	2612	20	149	162	1456	210	155	3137	475	150	623	5	35	22	3	4	1490	798	4145	154	94	26	118	62	131	61	71	1555	1987
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	10	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	12	2	0	1	0	0	0	0	49	0	0	11	3	0	0	0	0	3	0	0	0	1	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	3	5	0	17	0	8	1	4	20	48	96	8	76	7	10	44	12	75	10	4	16	0	7	7	0	0	2	349	0	6	0	64	20	8	0	3	2	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	101	1	6	1	2	3	0	0	5	1	0	0	1	2	0	0	5	72	0	1	5	0	0	0	28	3	7	1	25	0	3	4	1	37	0	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0	0	0	10	0	0	0	23340	0	1	0	1460	0	478	0	1	0	0	0	0	3	0	2	0	0	0	0	1	2	0	0	0	0	0	1	1	0	1	1
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	136	555	30	9	9	69	3	3	160	8	6	35	44	107	0	22	19	903	8	0	198	1692	3	172	0	40	295	7848	5683	12	10	4837	567	51	2353	8	306	39	32
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	1210	1417	11	2834	248	8529	4	89	80	2	574	5	175	1	53	0	71	338	271	2	2469	0	5	0	408	23	1128	13	17	151	294	5	0	6965	4	18	0	1384	132
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	16	3	25	9	1	5	0	0	51	18	3	3	5	23	52	7	36	13	1	3	6	6	8	62	0	0	0	4	0	10	3	2	0	12	5	22	7	16	1
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria|Unclassified|unclassified|unclassified-Bacteria	15	0	109	2	12	13	0	1258	4	0	1883	0	4	6	3	0	0	2	0	0	97	2	33	0	13	0	10	11	1	0	4	0	0	17	0	36	0	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	120	8	15	1094	0	9	13	0	4800	25441	3480	552	18	11800	1278	1	7	19	13	3904	9	16	1	23	1	25482	702	15	3	143	2	13	57702	6	3926	8	1675	4	9123
