Treatment	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	49	50	51	53	54	55	56	57	60	61	62	63	64	65	66	76	81	82	83	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	297	0	1	3	0	0	2	5	0	143	0	0	0	0	0	0	102	0	0	0	1	0	18	12	0	9	0	0	0	2	6	0	21	0	0	0	0	28	0	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	62	9	13	45	21	10	6	49	77	30	12	31	62	79	17	15	40	125	20	96	24	5	20	11	0	1	57	352	12	16	27	217	9	6	25	0	71	15	14	7	51	13
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	1756	7	121	327	428	2	28	407	161	291	111	32	187	366	343	2	118	12774	8666	105	4	26	90	70	17	156	93	32635	6	4065	47	2935	1192	0	24	28	513	1838	57	6	53	274
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales	541	41	95	316	135	20	61	13	13	469	58	58	552	182	26	6	143	74	204	102	82	46	45	54	22	34	0	1719	1	135	249	700	333	10	12	4	16	4210	70	3	77	108
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	4	29	0	0	0	0	0	0	20	0	0	0	0
Bacteria|Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	20841	57527	67424	35702	54062	58503	62494	32806	61590	16807	22626	45712	77936	38476	72944	93146	37212	9698	19045	76392	34580	44959	41447	33261	30177	42051	1047	2164	25532	39942	64809	26646	58982	48125	27421	33313	12205	50939	80059	38644	54734	29636
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	1	11	0	2	0	9	3	0	1	0	5	4	0	0	0	2	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	5	0	0	0	4	0
