Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	1_normal	1_normal	1_normal	1_normal	1_normal	1_normal
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella	1457	10543	1217	5683	2387	699	11253	8785	19026	1909	1994	1218	26583	9351	15856	168	4349	1255	503	80	0	299	47	10831	1263
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas	1655	256	815	581	3319	0	651	0	1564	55	131	287	1081	310	392	4	548	0	504	96	0	39	88	189	972
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter	557	163	12272	921	402	6727	778	266	1902	248	83	87	753	1073	280	1	58	1	1966	63	1012	10	36	590	479
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	370	329	222	244	713	0	263	350	85	837	54	369	104	725	562	13	648	1	599	301	0	6	13	532	806
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	2	10	0	0	0	0	0	3	2	4	1	1	0	4	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified-Porphyromonadaceae	4	16	13	37	24	0	4	645	33	0	7	0	29	14	7	1	0	1	0	2346	0	0	2	2	13
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	0	3	2835	6	0	8	1	4	0	0	0	5	1	0	0	0	0	0	15	0	21	2	1512	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	842	76	119	1477	407	1	78	714	102	11	13256	56	189	130	80	85	7	17	185	53673	30	13210	73385	1597	16791
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified-Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	5942	15205	39428	14337	22934	27029	34413	15594	24169	1316	5546	15828	35487	17400	27587	2479	13149	301	2155	376	39334	290	4203	15588	6544
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]|[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2543	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified|unclassified-Bacteroidales	9	2	1	2	7	1	6	69	3	1	1	0	24	36	0	1	0	1	0	196	1	0	3	1	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	2
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]|Cloacibacterium	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae|Bifissio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]|[Melainabacter]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	1229	1	4	177	0
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	698	0	0	0	187	2
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|Methanomassiliicoccus	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	6	0	0	10	99	19
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	2	5	1	21	2	0	3	23	2	0	9	6	1	1	3	3	4	2	2	5	1	0	0	0	0
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0	15	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	0	4	9	0	1	12
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	423	96	443	318	361	35	78	925	88	61	115	105	191	88	81	16	65	176	22	4	25	4	13	78	176
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	14	3	14	15	33	5	26	92	3	3	28	0	33	19	27	0	0	16	26	7	5	0	15	4	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	393	12	31	57	53	35	58	93	69	17	34	957	59	16	10	11	85	50	58	927	34	61	11	43	76
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified|unclassified-Lactobacillales	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	2727	1617	254	877	261	2227	1656	1135	974	456	374	523	393	301	349	25	329	74	421	46	234	30	1660	1208	1232
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter	61	195	21	0	0	0	0	9	30	245	1	0	0	16	0	1	0	0	29	0	0	1	39	18	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	4	2	43	136	17	0	29	5	13	2	6	32	9	22	8	0	12	10	10	0	25	0	10	8	8
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	258	108	24	37	129	37	1668	1348	12	12	137	43	403	71	0	0	126	53	51	0	35	7	173	250	45
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|unclassified-Christensenellaceae	250	60	737	189	141	8	182	236	85	220	595	65	217	160	0	0	31	5	193	0	46	1	52	145	300
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	112	0	58	1	1	0	1176	1	0	0	51	0	288	3	0	0	0	0	0	0	0	0	1	8	4
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Butyricicoccus	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	852	282	270	277	161	365	778	3535	118	515	3521	422	672	1788	175	7	971	635	787	23	73	9	1003	1265	394
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Sarcina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	8802
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified-Clostridiaceae	73	7	6	1	0	0	1067	89	0	0	126	0	9	5806	0	0	0	0	0	0	642	2	200	201	14
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Anaerococcus	0	0	2	0	1	0	0	0	0	0	0	2	1	3	0	15	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Parvimonas	0	1	3	2	0	0	4	3	0	0	0	0	44	0	1	0	0	0	0	0	1	0	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	28	0	0	0	2	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14	15	6	0	15	75	34
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2	0	0	0	0	0	4
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	3137	461	314	1721	290	633	1305	448	626	1650	403	1536	961	395	190	2	878	568	729	254	438	23	281	2197	1387
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	3755	505	243	463	340	29	310	880	221	5109	213	607	380	98	228	84	70	1498	552	117	23	12	49	3823	346
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anoxystipes	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	1348	112	132	343	125	22	219	188	116	851	151	765	158	49	663	38	142	2714	252	16	176	50	51	68	639
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	453	15020
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	548	1199	295	35	24	91	29	314	402	973	76	597	150	136	50	80	624	370	649	13	968	13	117	743	601
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	596	104	24	90	23	28	72	81	61	258	36	51	168	26	35	171	72	832	3928	27	51	4	17	65	556
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	1093	24	100	160	132	27	290	10	0	314	32	132	86	33	18	0	30	1038	2379	0	22	11	6	70	91
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	384	105	115	164	73	59	121	276	193	373	209	138	71	463	94	139	107	1399	1104	1826	15	10	24	316	418
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	2	0	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	2318	2442	163	4174	945	1635	5238	3315	834	395	865	18971	972	1987	3121	1	2871	1084	1440	482	2105	336	1190	3230	496
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus	114	80	24	37	18	33	8	0	49	30	11	158	43	3	0	0	234	0	76	1	8	3	1	457	15
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	32	46	15	107	43	2	9	453	141	202	100	37	23	17	5	0	22	13	18	188	35	1	81	261	44
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|[Ruminococcus]	0	2	0	10	3	4	12	98	3	0	4	18	22	9	10	2026	8	22	0	0	12	0	7	2	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified-Lachnospiraceae	6484	949	363	361	310	144	1416	814	1707	2375	356	5537	1303	265	592	6	322	1194	2045	528	5585	54	401	1695	2190
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter	9262	5633	3388	2268	1352	4053	2218	6023	3129	8389	1342	1315	4316	3177	689	277	6303	451	2037	2127	283	1368	877	6691	13849
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Peptococcus	11	8	0	0	3	0	0	5	13	5	3	0	0	1	0	0	0	0	0	4	0	0	1	10	8
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridium	0	0	0	3	0	1	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Intestinibacter	194	59	1332	3790	2056	694	24	1181	15	59	22	122	219	3135	70	4	2025	5376	1599	3	18	19	1013	50	1490
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Terrisporobacter	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137	7	720	1	88	215	1407
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|unclassified-Peptostreptococcaceae	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18	2	54	6	388	2848	229
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	297	478	456	66	115	38	96	294	119	486	113	143	105	10608	17	30	73	124	315	13	53	3	88	201	1005
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerofilum	3	4	3	26	0	0	1	19	7	9	6	3	12	43	0	0	0	0	10	0	0	2	2	23	4
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	2	2	83	0	4	8	11	8	3	0	4	2	0	2	1	1	18	1	1	13	0	1	4	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Candidatus Soleaferrea	641	5	1	3	47	0	542	164	57	272	5	0	429	2	1	12	427	221	199	0	0	1	128	178	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	348	159	296	143	956	1002	36	583	75	284	3334	44	1274	606	162	2	3409	1944	217	10	8	63	123	1580	1811
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Gemmiger	619	177	1551	625	83	1377	976	465	386	797	350	0	6178	10410	0	1	673	14900	1250	3	0	8	270	164	55
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	2	4	0	1	3	12	8	14	9	6	0	104	5	8	4	682	7	0	2	676	22	1	10	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	275	114	58	198	227	246	57	286	288	351	147	137	432	79	98	376	344	398	123	467	127	9	205	442	166
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	21	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	1	10
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	4265	1021	1042	6078	4326	880	1707	13605	913	8984	3786	952	6062	3450	1367	9	7093	6097	5636	225	7872	125	6929	286	1581
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified-Ruminococcaceae	11023	2797	3057	8224	8451	4109	2034	13813	3850	9594	2528	3845	6383	3682	2231	1344	6796	19209	11078	1438	1392	235	2572	5596	4582
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales|Howardella	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]|unclassified-Mogibacteriaceae	86	20	60	7	2	3	33	8	2	101	5	2	1	31	1	0	5	2	26	19	1	6	1	11	44
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified|unclassified-Clostridiales	9587	2078	1701	1910	645	263	2182	894	206	5982	2376	1973	1020	423	240	311	1529	397	1362	29	26	78	805	4101	3463
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|RFN20	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|p-75-a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0	4	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Bulleidia	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Candidatus Stoquefichus	0	2	0	4	0	0	0	1	2	0	0	0	14	0	0	14	3	7	0	0	4	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	107	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Dielma	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium	1	9	10	16	7	2	1	25	7	0	0	2	15	5	3	122	6	81	0	0	3	0	1	1	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Eubacterium	24	8	189	0	0	0	6	0	4	1	2	2	11	16	1	0	2	5	7	18	0	0	0	3	25
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	0	0	0	7	8	0	0	6	7	7	1	11	4	3	2	78	0	2	0	0	5	0	0	0	4
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0	0	1	1	8	0	1	0	1	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	26	215	1224	2017	8539	597	137	339	15	222	331	3	2651	1216	56	2576	3460	463	31	6	2179	1	118	1865	26
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|unclassified-Erysipelotrichaceae	680	267	553	447	37	17	48	168	135	4152	31	328	6	11	49	369	197	0	371	22	60	2	2	115	313
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Acidaminococcus	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Acidaminococcaceae|Phascolarctobacterium	50	979	14	6751	9	4	16746	14	4	3129	0	12461	49	4	0	3	0	0	2	10177	1	32	31	0	6
