Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose
SampleID	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	1039	289	336	279	162	365	3021	3625	118	515	3698	423	969	7597	175	8	971	635	787	711	67	334	1150	862	15	12	119	2997	255	15	149	580	28	9	83	268	178	1647	269	306
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis	0	1	5	2	1	0	4	3	0	0	0	2	45	3	1	15	0	0	0	0	0	17	0	0	0	0	1	0	0	7	0	0	0	0	6	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	13	6	0	0	1	0	2	11	0	0	0	20	3	0	0	18	0	0	0	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14	0	0	0	32	16	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	3137	463	318	1723	292	633	1306	454	626	1650	403	1536	968	402	191	2	880	573	731	458	1288	845	630	199	0	32	291	8	47	68	184	110	4	31	772	339	575	1437	1789	1015
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	16673	5570	1478	5944	2036	2074	7724	6429	3730	10881	2055	27011	3380	3086	4816	2545	4504	10164	12445	836	3054	5127	4043	1683	16	389	14404	8594	17256	1853	13649	3427	46	735	1339	12127	7227	2815	8341	2263
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae	9262	5633	3388	2268	1352	4053	2218	6023	3129	8389	1342	1315	4316	3177	689	277	6303	451	2037	975	2249	2192	2715	15399	2	237	3	51	96	450	590	6042	22	3335	32	2474	459	3050	198	418
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	11	8	0	0	3	0	0	5	13	5	3	0	0	1	0	0	0	0	0	0	17	278	0	3	0	0	0	0	0	15	0	3	0	0	0	0	11	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	304	132	4132	10586	4347	1725	414	7436	101	262	21580	1461	1461	9545	2125	13	3374	5948	1754	1613	511	4489	18	237	4	148	6	11258	59	5	28	2932	14	53	2204	801	8	8917	1001	2349
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	17496	4761	6547	15364	14212	7672	5468	29251	5707	20783	10276	5230	20880	28899	3881	2457	18840	42894	18831	8882	4027	5750	38453	5766	10	5556	7666	205	453	3317	765	15598	169	3120	985	11260	32470	39739	16396	6546
Bacteria|Firmicutes|Clostridia|Clostridiales|Unclassified_Clostridiales	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Mogibacteriaceae]	86	20	60	7	2	3	33	8	2	101	5	2	1	31	1	0	5	2	26	23	39	40	0	72	0	2	0	0	0	9	0	25	0	15	7	1	1	9	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified-Clostridiales	9587	2078	1701	1910	645	263	2182	894	206	5982	2376	1973	1020	423	240	311	1529	397	1362	876	40	906	1512	1493	2	722	0	210	28	208	4	984	88	247	587	24	225	188	36	72
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	731	505	1977	2496	8600	616	193	559	171	4383	365	356	2703	1255	111	3159	3669	558	409	463	101	511	161	1661	1	593	282	13474	863	349	13	444	42	25	207	237	63	365	370	865
