Treatment	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	49	50	51	53	54	55	56	57	60	61	62	63	64	65	66	76	81	82	83	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	297	0	1	3	0	0	2	5	0	143	0	0	0	0	0	0	102	0	0	0	1	0	18	12	0	9	0	0	0	2	6	0	21	0	0	0	0	28	0	5	0	1
Bacteria|Actinobacteria|Actinobacteria	2359	57	229	688	584	32	95	469	251	790	181	121	801	627	386	23	301	12973	8890	303	110	77	155	135	39	191	150	34706	19	4216	323	3852	1534	16	61	32	600	6063	141	16	181	395
Bacteria|Actinobacteria|Coriobacteriia	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	4	29	0	0	0	0	0	0	20	0	0	0	0
Bacteria|Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia	20841	57527	67424	35702	54062	58503	62494	32806	61590	16807	22626	45712	77936	38476	72944	93146	37212	9698	19045	76392	34580	44959	41447	33261	30177	42051	1047	2164	25532	39942	64809	26646	58982	48125	27421	33313	12205	50939	80059	38644	54734	29636
Bacteria|Bacteroidetes|Flavobacteriia	0	0	1	11	0	2	0	9	3	0	1	0	5	4	0	0	0	2	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	5	0	0	0	4	0
Bacteria|Bacteroidetes|[Saprospirae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
