Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Olsenella	0	0	7	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	3	3	0	12	0	0	0	0	1	0	210	0	0	0	0	0	3	0	0	5
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Slackia	52	0	0	4	0	0	0	0	1	0	2	4	28	5	0	0	0	0	0	15	16	1	6	0	0	0	14	1	8	2	0	1	0	1	2	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	0	1	0	6	4	1	0	0	53	2	42	1	40	4	6	40	3	52	2	15	5	0	6	0	0	0	8	28	1	51	0	0	0	0	101	8	2	2	80
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalemassilia	0	0	0	4	0	0	0	2	0	0	8	0	1	5	0	3	0	0	0	0	6	0	10	0	0	0	4	29	0	0	0	0	0	0	20	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes	0	0	0	0	0	0	2	0	720	0	0	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	2	4	12	0	0	0	0	0	3	21	6	38	4	0	0	4	0	0	0	4	1620	0	0	0	7	1	2	0	0	474	0	0	0	0	0	1	109	4	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	29037	48966	81650	3018	4883	23416	227	3338	14481	5418	7484	11529	8346	14390	14566	20709	14022	13484	14627	9320	135	30	441	997	2124	25468	32913	5117	25371	3064	7748	26430	18663	8612	29146	2278	312	52355	6446
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	1	0	0	0	0	0	0	0	102	4	8	19	7	0	4	0	2	0	0	2	2	0	1	6	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella	27	287	7	3307	6937	402	299	4700	5164	6418	10831	5149	1263	252	2314	3	8033	817	2973	11516	613	8	49	11	0	0	707	80	7	512	0	16	110	4	4038	47	72	621	38
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas	5	2	0	111	2731	0	39	934	1027	906	189	185	972	1402	1106	1	6392	1283	493	0	239	0	147	0	0	0	177	96	0	2	0	1	1747	0	104	88	58	152	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter	445	598	34	146	395	669	10	795	358	359	590	74	479	465	48	642	717	714	456	567	19	0	455	1	0	0	304	63	0	79	1012	1	362	0	460	36	50	208	309
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	4	511	1	24	40	249	6	5	605	24	532	691	806	248	584	1320	442	23	85	84	0	0	5	0	0	53	407	301	0	5	0	386	8	68	934	13	44	679	1974
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	0	0	1	0	0	4	16	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified-Porphyromonadaceae	1	22	109	5	0	0	0	1	2	5870	2	1363	13	1580	6	0	7	0	1	3	2007	4	1613	0	0	0	241	2346	18	6002	0	0	0	1	1	2	4474	1	4707
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	4	0	255	187	2	21	0	3	772	1512	257	0	360	0	427	264	5	0	0	57	2	0	0	0	0	0	15	3	4	0	0	0	0	488	2	194	0	674
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	86	246	761	18387	62839	157	13210	24978	8819	81	1597	4193	16791	7819	202	68	14361	6578	39	3985	22806	30122	38108	27	29	3	10	53673	1210	37925	30	523	3	28	8	73385	7370	86	3177
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified-Prevotellaceae	0	2	11	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	926	0	0	0	0	0	0	0	0	0
