Treatment	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	49	50	51	53	54	55	56	57	60	61	62	63	64	65	66	76	81	82	83	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	2656	57	230	691	584	32	97	477	251	1053	181	121	801	633	386	23	403	12973	8890	303	111	77	173	153	39	210	150	34706	19	4222	358	3852	1555	16	61	32	600	6111	141	21	181	396
Bacteria|Bacteroidetes	21076	57527	67425	35713	54062	58505	62498	32815	61593	16807	22627	45712	77941	38834	72945	93146	37212	9701	19045	76546	34587	44959	41759	33261	30177	42051	1047	2167	25532	39942	64809	26646	58982	48126	27425	33313	12210	50939	80062	38644	54738	29636
Bacteria|Cyanobacteria[Melainabacteria]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
Bacteria|Deinococcus-Thermus	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota	1	157	6	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Firmicutes	65035	22674	27276	49118	34130	37489	43139	69943	17234	57464	59702	53546	39787	59364	17546	8910	63763	68442	48429	28550	22969	57525	65057	52208	24891	50527	23248	37753	6962	59295	24868	71485	31909	42157	87122	2741	18230	58815	25596	17689	46195	44724
Bacteria|Fusobacteria	0	0	0	19	16	1	28	0	2	13	2	2	31	0	0	2	4	4	0	1	46	1	6	22	1	0	0	115	4	94	13	1970	18	0	9	0	43	0	33	0	0	0
Bacteria|Lentisphaerae	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	1845	7869	1507	1313	8396	1161	4125	3545	25132	645	1318	3138	1242	2122	2404	1426	937	344	1374	858	26107	3382	467	3457	1790	261	522	498	88	3006	9407	9882	697	554	5110	1765	7636	2715	461	425	3624	2630
Bacteria|Spirochaetes	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Bacteria|Unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	0	2	0	0	97	2	33	0	13	0	10	11	1	0	4	0	0	17	0	36	0	89	0
Bacteria|Verrucomicrobia	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	7	19	13	3904	9	16	1	23	1	25482	702	15	3	143	2	13	57702	6	3926	8	1675	4	9123
