Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy
Sample	18	21	22	35	36	39	40	43	47	52	58	59	68	69	70	71	49	50	51	53	54	55	56	57	60	61	62	63	64	65	66	76	81	82	83
Bacteria	201	124	370	56	79	336	45	126	96	122	233	52	285	294	123	223	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191
Bacteria|Actinobacteria	131	120	7797	124	121	168	15	533	933	467	282	63	645	294	1208	420	2656	57	230	691	584	32	97	477	251	1053	181	121	801	633	386	23	403	12973	8890
Bacteria|Bacteroidetes	33627	50741	85965	40341	98220	35147	14107	43800	48173	54035	38340	33038	35227	49467	29789	64885	21076	57527	67425	35713	54062	58505	62498	32815	61593	16807	22627	45712	77941	38834	72945	93146	37212	9701	19045
Bacteria|Cyanobacteria[Melainabacteria]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19
Bacteria|Deinococcus-Thermus	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0
Bacteria|Euryarchaeota	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	1	157	6	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12
Bacteria|Firmicutes	48122	40081	20298	61203	11762	65572	6097	37151	35345	23617	42972	10022	65021	38878	70403	32911	65035	22674	27276	49118	34130	37489	43139	69943	17234	57464	59702	53546	39787	59364	17546	8910	63763	68442	48429
Bacteria|Fusobacteria	26	33	70	21	1	11	0	3	30	0	0	0	1	0	1	7	0	0	0	19	16	1	28	0	2	13	2	2	31	0	0	2	4	4	0
Bacteria|Lentisphaerae	0	1	0	0	2	0	0	0	4	10	0	0	1	0	0	0	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0
Bacteria|Proteobacteria	2011	2898	1127	3354	1400	10644	23	23861	1512	1580	4561	1617	519	2021	3046	809	1845	7869	1507	1313	8396	1161	4125	3545	25132	645	1318	3138	1242	2122	2404	1426	937	344	1374
Bacteria|Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified-Bacteria	15	0	109	2	12	13	0	1258	4	0	1883	0	4	6	3	0	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372
Bacteria|Verrucomicrobia	120	8	15	1094	0	9	13	0	4800	25441	3480	552	18	11800	1278	1	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938
