Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	1_normal	1_normal	1_normal	1_normal	1_normal	1_normal
Bacteria|Proteobacteria|Betaproteobacteria	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	570	266	103	140	7664	621	2420	372	10214	85	68	1104	609	683	514	494	210	6	750	798	94	7	61	2612	149
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0	0	0	0	0	0	0	21	3	0	3	0	0	2	0	10	1	0	0	11	0	0	0	3	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0	349	0	1	3	96	76
Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	3	2	1	3	0	0	0	6	1	1	2	0	0	0	0	0	1	130	0	1	3	0	0	0	1
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	4	0	0	1	3	3	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0	0	4	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales	7	1800	26	8	35	0	7	30	1167	0	5	0	12	81	0	537	23	82	103	7848	10	3	8	6	44
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	27	0	36	7	0	23	0	10	44	4	643	20	77	13	183	39	54	55	17	13	294	4	18	574	175
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2	8	22	33	20	4	7	157	5	0	18	7	5	22	11	21	10	5	1	4	3	0	22	3	5
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0	0	1	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia|Synergistales	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified|unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	11	4	0	36	1883	4
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	15	2	13	8	3480	18
