"","Pvalues","FDR","Statistics"
"unclassified_39",3.6707e-06,0.00042087,376
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",4.2946e-06,0.00042087,368
"Clostridiales_54",4.2946e-06,0.00042087,368
"Lachnospiraceae_7",1.0949e-05,0.00064368,365
"Oscillospira_4",1.3136e-05,0.00064368,356.5
"Firmicutes_11",1.3136e-05,0.00064368,356.5
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",1.7786e-05,0.000747,382
"Bacteroidales_5",3.5674e-05,0.001311,353
"unclassified_38",4.0783e-05,0.0013323,352
"Barnesiella_10",4.6582e-05,0.0013695,351
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",5.3241e-05,0.0014034,372.5
"Dorea_longicatena",5.7282e-05,0.0014034,378
"Lachnoclostridium_1",8.2312e-05,0.0018615,373
"unclassified_4",0.00010557,0.0022171,361
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00012611,0.0024717,370.5
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00015522,0.0027115,364.5
"Bacteria_5",0.00015679,0.0027115,344.5
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.00016925,0.0027644,349
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.000264,0.0040851,351
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00029594,0.0043503,362
"Dialister_pneumosintes",0.00032168,0.0044527,104.5
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0003332,0.0044527,360.5
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00037599,0.0048061,355
"Parabacteroides_goldsteinii",0.00040227,0.0049278,350
"Lachnospiraceae_12",0.00047164,0.0055465,326
"Turicibacter_sanguinis",0.00051292,0.0058,356
"Clostridiales_20",0.0005458,0.0059432,338.5
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00058183,0.0061093,352
"unclassified_3",0.00067232,0.0068159,352
"Clostridiales_2",0.00072589,0.0071138,349
"unclassified_19",0.00077211,0.0073225,328
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0008426,0.0076069,90
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.00085383,0.0076069,349
"Barnesiella_intestinihominis_1",0.0010144,0.0085449,349
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0010173,0.0085449,349
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0012658,0.010337,343
"Clostridiales_1",0.0013279,0.010551,346
"Eubacterium_1",0.0013682,0.010586,345.5
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.001444,0.010885,331
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.001539,0.011312,342
"Faecalibacterium",0.0017472,0.012529,336
"Lachnospiraceae",0.0018786,0.013067,342
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0019111,0.013067,339
"Alistipes_indistinctus",0.0020935,0.013989,334
"Streptococcus_anginosus",0.0021894,0.013997,103.5
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.0022143,0.013997,339
"unclassified_2",0.0022467,0.013997,339.5
"Clostridium_1",0.0022852,0.013997,334
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.0024724,0.014834,314.5
"Alistipes_obesi",0.0026156,0.015184,338
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.002634,0.015184,321
"Clostridiales_23",0.0031928,0.018052,319
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.0033719,0.018365,311.5
"Bacteroides_uniformis",0.0033732,0.018365,335
"Lactococcus_lactis",0.0034483,0.018433,331.5
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.0035951,0.018874,331
