"","Pvalues","FDR","Statistics"
"Erysipelotrichaceae",0.00017834,0.0069553,361
"Desulfovibrionaceae",0.00036134,0.0070461,358.5
"Oscillospiraceae",0.0010335,0.013436,345
"Dehalobacteriaceae",0.0024724,0.024105,314.5
"unclassified",0.0035413,0.026742,332
"Clostridiaceae",0.0042208,0.026742,330
"Lactobacillaceae",0.0058763,0.026742,328
"Rikenellaceae",0.007592,0.026742,323
"Veillonellaceae",0.007592,0.026742,114
"Christensenellaceae",0.0080537,0.026742,323.5
"Peptostreptococcaceae",0.0082284,0.026742,322
"Porphyromonadaceae",0.0082284,0.026742,322
"Ruminococcaceae",0.015221,0.045663,314
