"","Pvalues","FDR","Statistics"
"Barnesiella",0.0002475,0.013643,364
"Turicibacter",0.00051292,0.013643,356
"Dorea",0.00070146,0.013643,353
"Veillonella",0.0008426,0.013643,90
"Oscillibacter",0.0010335,0.013643,345
"Faecalibacterium",0.0022476,0.023311,337
"Dehalobacterium",0.0024724,0.023311,314.5
"Ruminococcus",0.0029606,0.024425,334
"Lactococcus",0.0034483,0.025288,331.5
"Clostridium",0.0042208,0.027857,330
"Parasutterella",0.0052167,0.0313,327
"Lactobacillus",0.0058763,0.032319,328
"Terrisporobacter",0.0067386,0.033007,325.5
"Gemmiger",0.0070015,0.033007,325
"Alistipes",0.007592,0.033405,323
"Megasphaera",0.0086853,0.033855,129
"Shigella",0.0090861,0.033855,115
"Coprococcus",0.0092333,0.033855,322
"Fusicatenibacter",0.0098439,0.034195,321
"Christensenella",0.012458,0.041112,317
