#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	5373	800	1308	6182	6550	2495	1392	5365	2708	5459	831	2741	5009	886	2058	11	6180	17860	8683	1412	309	92	2074	3140	1624
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU886|NN=Alistipes_senegalensis_JF824804|D=93.4	0	0	0	1	0	0	1	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	1	0	0	0	1	0	3	0	314	0	2	0	0	0	0	0	0	194	0	121	16	0	528
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella_minuta	0	0	3	0	0	0	1	0	0	0	4	0	0	0	0	0	8	0	7	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	0	0	0	0	0	0	0	14	0	0	3	1	0	0	0	0	6	0	41	0	0	114
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3	4482	1858	315	236	282	661	214	3485	696	5858	282	412	2966	1654	189	57	1593	1	1521	1	68	288	30	2146	9308
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Turicibacter; Turicibacter_sanguinis	26	215	1224	2017	8538	597	137	331	15	222	331	3	2651	1216	56	2576	3460	463	31	6	2179	1	118	1865	26
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; unclassified; OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96.6	59	72	159	6733	1309	478	381	6036	83	109	21510	1339	1140	3494	2053	5	412	540	18	2	54	6	388	2848	229
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_odontolyticus	41	1	6	31	17	10	1	6	16	10	2	15	53	74	12	11	30	77	8	19	5	6	3	15	47
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	557	259	1187	310	2639	4995	10670	3113	2091	11	33	370	248	13	2	165	1084	0	96	2	0	9	943	15	80
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans	5	0	4	8	1	0	1	43	0	1	6	0	7	2	0	0	4	1	0	1	9	0	1	0	0
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus_parainfluenzae	27	0	36	6	0	20	0	10	43	0	634	20	75	13	181	28	52	54	17	9	290	1	17	539	173
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	283	20	693	1777	265	160	1337	654	3464	323	43	6	478	792	795	58	281	1	583	25	133	4	291	304	681
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96.7	193	135	265	63	929	945	10	569	9	99	3311	10	1178	445	105	2	3323	199	129	2	2	51	93	1524	1791
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	11	10	143	14	17	16	42	19	18	12	6	23	14	33	2	0	12	1	1	0	3	0	11	1	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	3	3	4	0	3	0	0	0	0	0	4	1	0	0	0	0	0	5	0	2	2	380	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	684	0	6249	2	1	0	16	460	1642	89	0	0	22	1	0	0	5873	0	0	62	0	6	5	28	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella	0	0	0	9	1	0	1	0	0	22	0	0	0	0	0	0	0	0	0	649	76	1	12	0	46
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1632|NN=Ruminococcus_bromii_DQ882649|D=86.7	12	16	1	1	0	8	2	1	11	8	0	46	20	0	0	0	0	0	3	0	9	0	6	6	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU761|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93.2	40	0	0	125	4	4	34	4955	10	37	8	2	74	13	0	0	33	10	0	0	146	3	27	5	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	15	2	10	8	0	19	11	0	29	29	7	2	42	154	0	0	19	1639	31	0	0	12	2	3	1
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU342|NN=Clostridium_clariflavum_NR_102987.1|D=77.3	324	110	50	3	0	11	74	21	65	701	606	113	117	75	0	0	161	182	36	4	0	3	88	36	258
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU354|NN=Eubacterium_saphenum_GU427005|D=90.6	0	12	4	0	0	0	0	0	0	24	35	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	32	132	303	917	546	276	148	2250	97	12	424	1668	410	227	169	302	553	62	67	200	144	6	317	80	58
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_piger	336	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	358	12	24	39	43	34	46	87	61	14	27	941	23	4	1	7	29	39	45	471	17	16	3	11	59
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1051|NN=Christensenella_minuta_AB490809|D=87.2	7	13	2	36	53	30	1665	32	8	10	21	21	65	43	0	0	118	53	37	0	31	7	169	82	23
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1688|NN=Gemmiger_formicilis_GU562446|D=92.5	11	153	68	76	55	19	37	19	49	3	14	51	144	66	11	1301	29	30	17	0	89	0	11	8	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_merdae	363	113	137	202	506	0	216	0	7	796	1	0	11	0	533	1	626	1	584	169	0	4	11	516	799
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; OTU876|NN=Corynebacterium_ulcerans_KF564645|D=93.2	0	0	1	7	0	0	0	10	0	0	2	0	3	1	2	4	0	0	1	0	0	0	2	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1387|NN=Alistipes_timonensis_JF824799|D=96.6	36	1	38	11	32	138	159	31	41	12	17	5	9	25	0	1	32	0	15	0	9	1	58	2	30
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	29	10	43	141	16	7	14	0	51	0	31	429	38	5	466	6	65	61	22	0	29	2	9	5	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum	14	7	93	62	38	9	6	2687	10	144	3	26	28	13	1	0	124	382	4	0	5	0	93	130	41
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	9	1	0	0	0	0	0	0	2	1	6	0	0	0	0	4	1	0	0	10	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified	36	28	6	26	0	22	3	0	42	4	0	27	1	6	15	0	99	4	0	0	0	0	118	1	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95.6	24	33	7	57	24	87	22	96	55	3	5	25	18	8	17	0	0	10	5	0	5	0	44	41	11
Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	0	4	9	0	1	12
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95.6	48	27	51	75	31	23	767	114	72	9	95	93	94	22	62	0	644	1	2	0	20	3	13	107	603
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU303|NN=Eggerthella_lenta_AF292375|D=87.9	0	0	0	0	45	0	20	0	0	0	3	18	17	2	20	0	0	0	58	0	0	0	2	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia	829	48	42	662	45	7	264	245	125	1	17	769	160	74	174	0	58	21	8	0	216	6	7	212	244
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella_aerofaciens	341	16	83	303	63	10	34	7	3	399	51	33	507	56	0	0	6	0	53	218	0	1	54	20	183
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU160|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.4	3186	360	396	146	2	374	16	1	371	384	90	17	630	314	0	0	222	0	852	0	14	24	191	56	53
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	0	2832	2	0	5	1	4	0	0	0	1	0	0	0	0	0	0	10	0	19	0	1132	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU480|NN=Butyrivibrio_crossotus_FR733670|D=85.8	103	99	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0	2	0	0	0	228	65
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia; Akkermansia_muciniphila	19	6615	1378	185	12890	31	60	2108	2084	561	2002	598	287	110	1197	6	0	3	1938	15	2	13	8	3480	18
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified; OTU228|NN=Sutterella_parvirubra_AB300989|D=92.9	0	0	0	0	0	0	0	1	0	0	0	0	235	0	0	0	0	0	0	38	0	0	1	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; OTU24|NN=Massilia_aurea_AM231588|D=96.2	2	16	42	70	48	1	8	155	13	3	27	28	39	42	8	26	2	4	2	7	6	0	18	13	15
