#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH027	AIH031	AIH040	AIH046	AIH058	AIH068
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1102|NN=Gemmiger_formicilis_GU562446|D=86.8	3	0	0	0	0	1	0	0	0	1	0	0	0	3	1	3	0	0	1	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	3	2	33	28	15	0	1	133	10	0	5	0	33	14	11	2	0	0	0	0	0	0	0	7	16
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95.6	0	0	4	17	0	0	7	4	1	2	0	8	7	3	16	1	0	1671	0	1	115	0	2	1	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; OTU1147|NN=Clostridium_glycolicum_AY007244|D=96.3	51	0	2641	57	982	552	9	219	3	94	43	0	101	2916	0	4	937	32	137	7	720	1	88	215	1407
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae	0	0	0	0	0	2	0	0	1	0	9	0	1	0	2	0	2	1	0	0	4	0	1	6	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_marseilloanorexicus	19	0	8	660	4019	0	2614	608	471	0	37	881	499	1603	1215	2	0	0	44	3	0	17	420	36	0
Bacteria; Proteobacteria; Alphaproteobacteria; RF32; unclassified; unclassified; OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82.1	3	5503	0	0	0	0	1466	301	5714	0	0	0	2	0	1489	0	0	0	141	0	1	0	2	0	1
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella; Sutterella_wadsworthensis	451	0	37	35	0	0	0	83	0	9	30	0	247	0	473	420	0	0	0	2	0	3	0	0	27
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU882|NN=Melainabacter_A1|D=94.7	164	0	112	0	0	0	4	0	0	0	65	0	0	0	0	0	0	0	19	0	0	0	3	65	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_obesi	3532	4164	5203	3832	5711	1	3496	37	3406	616	436	4052	5962	6787	9456	7	2318	294	242	1	2932	30	1592	1471	252
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1736|NN=Alistipes_senegalensis_JF824804|D=96.3	0	6	13	0	0	0	2	0	11550	0	0	0	0	0	0	0	0	0	25	1	0	0	1	0	17
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87.6	29	0	0	0	0	0	1	3212	370	0	1043	0	21	4	0	0	0	960	74	0	890	15	0	0	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89.9	20	9	0	41	43	89	0	0	0	2	17	30	0	0	36	0	0	0	0	0	0	0	29	0	18
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; OTU1678|NN=Veillonella_dispar_GQ422726|D=94.9	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	55	0	0	109	9	4	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU877|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=93.8	116	0	1	0	5	81	1	0	0	99	4	0	0	0	0	0	0	0	39	24	0	2	37	7	39
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	2	0	0	2	1	8	0	0	0	0	2	0	1	75	0	22	0	0	0	0	2	19	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_scindens	0	4	8	7	23	0	1	55	5	0	4	0	7	18	2	0	0	0	0	0	0	1	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU482|NN=Eubacterium_sulci_AJ006963|D=89.4	27	15	58	0	0	0	29	0	0	53	5	0	0	30	0	0	0	0	22	0	0	4	1	8	30
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU603|NN=Soleaferrea_massiliensis_JX101688|D=87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU788|NN=Eggerthella_lenta_AF292375|D=92.5	118	0	2	3	2	0	1	0	1	45	0	0	0	0	0	0	0	0	0	26	0	0	0	0	32
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_rogosae	241	0	0	114	31	32	8	35	0	8	43	100	11	16	0	0	27	59	13	2	0	1	7	26	121
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	1	0	0	4	2	0	2	0	2	0	18	0	0	0	0	0	0	2	5	0	2	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	2	7	1	3	13	0	3	1	11	106	1	0	4	0	85	0	24	0	0	0	42	0	2	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90.6	2	0	2	90	0	0	2	377	0	0	32	1	14	0	0	0	0	0	0	0	23	0	64	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1491|NN=Eubacterium_sulci_AJ006963|D=90.3	87	15	8	10	4	5	27	0	10	0	6	13	3	2	0	0	46	391	166	0	15	2	0	26	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_siraeum	169	319	104	905	0	0	20	0	14	3	31	2	5	51	10	1	0	0	333	0	0	1	119	492	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90.8	13	16	2	7	37	5	5	5	59	2	2	6	55	19	2	0	59	8	11	0	3	4	2	6	2
Bacteria; Firmicutes; Clostridia; Clostridiales	0	16	2	6	8	22	3	14	27	1	0	48	19	0	0	1	0	0	44	0	33	0	11	0	6
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira	7	5	0	0	8	16	1	30	13	35	0	0	5	0	0	17	22	16	6	7	2	0	3	19	29
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97	31	181	0	0	0	0	0	0	23	48	0	6	0	0	0	0	0	0	51	0	0	1	0	7	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU944|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.5	7	0	0	0	15	0	1	0	3	1	0	0	0	1	1	0	1	6	3	0	0	0	2	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	19	6	2	6	3	5	5	16	34	10	4	22	14	2	47	1	17	15	11	7	1	0	23	22	6
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	1	4	5	1	0	0	4	0	0	0	4	23	13	0	0	0	0	0	0	4	0	4	6	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	1	5	0	23	0	0	4	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1048|NN=Clostridium_populeti_X71853|D=91.9	71	5	33	0	0	0	98	0	2	0	7	0	0	0	0	0	3	0	0	0	0	2	0	265	124
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; Parasutterella_excrementihominis	16	0	14	7	7536	564	0	71	10110	2	3	774	71	86	0	42	86	1	78	2	0	1	2	0	51
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	9	63	0	1	1	9	0	1	55	46	0	3	0	10	15	573	34	1	12	0	21	0	0	0	14
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis	14	3	14	15	33	5	26	92	3	3	28	0	29	19	27	0	0	16	26	7	5	0	15	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	2	0	0	4	0	0	4	0	0	0	0	1	5	0	0	0	4	0	0	0	0	0	0	0	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU825|NN=Phascolarctobacterium_faecium_X72867|D=90.3	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1196|NN=Christensenella_minuta_AB490809|D=86.5	89	0	6	0	76	7	1	982	4	0	0	0	5	28	0	0	0	0	0	0	4	0	4	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	1	0	0	0	0	4	0	6	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	1	0	0	0	0	3	16	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_succinatutens	0	0	1	0	4	0	3	7	1	0	0	0	7	1	0	0	0	0	0	10170	0	0	2	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95.2	0	19	0	0	0	0	0	0	136	179	38	36	0	0	0	0	0	4	0	171	0	0	4	153	26
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Anaerofustis; Anaerofustis_stercorihominis	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2	0	0	0	0	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	40	3	8	12	22	15	8	11	31	25	3	1	12	2	8	0	11	56	55	17	4	0	0	20	11
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae	1	0	0	4	1	0	6	0	0	1	3	1	2	4	0	0	0	0	5	0	2	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU1677|NN=Christensenella_minuta_AB490809|D=89.2	5	2	2	0	0	0	0	1	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Anaerotruncus; Anaerotruncus_colihominis	0	2	82	0	3	8	0	0	3	0	4	2	0	2	1	1	18	1	1	13	0	1	4	0	0
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	128	0	1	2	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	1	6	3	0	0	7	0	5	2	1	2	0	0	3	0	0	0	0	0	0	0	0	0	2	8
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1493|NN=Gemmiger_formicilis_GU562446|D=92.7	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia; Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium; OTU299|NN=Chryseobacterium_hominis_AM261868|D=96.7	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	2
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1225|NN=Ruminococcus_bromii_DQ882649|D=90.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_methylpentosum	1	1	1	0	6	3	0	19	2	0	0	0	9	6	0	0	0	0	13	0	0	0	2	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU1030|NN=Gordonibacter_pamelaeae_AB566419|D=87.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU98|NN=Christensenella_minuta_AB490809|D=84.9	3	0	2	0	26	0	6	42	25	0	9	0	29	0	0	0	0	0	12	0	0	0	40	26	9
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU1328|NN=Melainabacter_A1|D=90.6	0	13	0	0	0	74	0	0	0	0	3	8	0	0	0	0	0	0	0	0	1229	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Peptococcus; OTU1224|NN=Peptococcus_niger_AB644260|D=87.1	4	8	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	299	39
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia	0	0	0	0	0	4	1	0	0	0	0	0	0	18	40	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	1244	2	3	96	56	3	182	42	68	1277	25	285	110	21	29	0	5	612	278	12	5	8	41	45	95
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	26	0	0	8	0	0	5	0	19	12	0	0	0	0	0	0	2	0	4	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	6	1	0	0	0	1	5	6	0	0	0	6	0	1	0	1	0	1	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU311|NN=Prevotella_copri_AB064923|D=90.1	0	1	0	1	0	0	0	0	1	0	2	0	9	3	0	0	0	0	0	1298	0	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	1	2	0	0	9	0	0	3	0	0	4	2	2	3	0	0	2	0	0	0	2	0	2	0	1
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Holdemania; Holdemania_filiformis	0	0	0	7	8	0	0	6	7	7	1	11	4	3	2	78	0	2	0	0	5	0	0	0	4
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus	0	2	1	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0
Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU957|NN=Anoxystipes_fissicatena_NR_104800.1|D=93.2	107	8	6	0	2	0	337	2	0	9	0	44	1	13	7	0	0	34	0	0	0	1	0	6	38
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiales Family XIII. Incertae Sedis; Mogibacterium; OTU129|NN=Mogibacterium_neglectum_AB037875|D=94.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90	1	0	5	0	3	25	3	75	7	0	3	0	6	5	0	0	0	17	5	0	0	0	6	4	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; Methylobacterium_jeotgali	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria	297	0	1	3	0	0	2	0	0	143	0	0	0	0	0	0	102	0	0	6	0	0	0	0	76
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae	0	2	1	3	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	9	0	0	26	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Oribacterium; Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	1	0	3	0	0	1	2	13	16	1	3	15	0	5	0	18	0	1	1	0	37	0	6	4	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	5	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_asparagiforme	0	3	1	4	1	4	0	4	3	0	0	11	0	1	7	0	6	0	4	225	0	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_hathewayi	0	0	0	1	0	0	0	2	0	2	0	1	0	0	0	121	0	4	0	12	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1490|NN=Clostridium_bolteae_AJ508452|D=91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales	2	5	1	0	0	3	0	0	1	5	9	0	6	8	0	0	0	0	11	0	0	0	0	7	10
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia; OTU599|NN=Roseburia_intestinalis_AB661435|D=94	5	0	0	0	0	17	1	22	0	0	0	0	0	25	0	0	0	2	0	0	28	0	0	6	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella	3	5	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2592	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90.6	419	809	706	0	0	117	36	0	1	484	62	0	0	306	1	0	0	0	117	4	0	13	63	154	553
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_buccae	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	170	10	0	4	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	8	3	2	0	0	0	0	19	3	1	0	0	0	7	0	0	0	0	0	2	0	0	0	5	4
Bacteria; Firmicutes; Clostridia; Clostridiales	0	834	0	0	0	0	0	0	128	0	0	0	0	1	0	0	17	1	0	1	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelatoclostridium; Erysipelatoclostridium_innocuum	0	0	3	0	1	0	0	0	0	0	0	0	2	1	0	70	0	15	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	5	15	4	14	0	3	28	0	0	5	0	10	3	5	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU1638|NN=Prevotella_melaninogenica_AY323525|D=97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU175|NN=Roseburia_hominis_AB661434|D=94.3	650	35	16	3	0	3	11	12	29	205	12	0	29	0	0	0	0	1	45	352	0	0	305	36	7
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Dielma; Dielma_fastidiosa	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_citroniae	1	7	0	6	3	7	0	8	6	3	1	6	2	7	0	13	4	140	16	65	1	0	2	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	4	1	0	2	18	0	3	0	6	4	0	0	3	2	0	0	20	10	12	8	0	0	0	11	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU687|NN=Prevotella_oulora_PVORR16SH|D=91.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	6	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	5	0	0	0	4	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	2	0	3	7	0	1	4	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Leptotrichia; Leptotrichia_buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU402|NN=Christensenella_minuta_AB490809|D=85.4	155	64	9	1	0	0	1	0	0	0	111	0	329	0	0	0	0	0	0	0	0	0	0	17	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Oribacterium; Oribacterium_sinus	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	2	0	0	2
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_goldsteinii	4	182	60	38	196	0	27	340	29	0	52	364	56	664	26	12	0	0	0	121	0	2	0	10	0
Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; OTU1004|NN=Neisseria_subflava_FJ823143|D=96.5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	10	0	0	0	11	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU555|NN=Christensenella_minuta_AB490809|D=88.7	0	0	1	0	115	0	156	50	4	0	0	32	177	0	0	0	0	0	4	0	1	0	6	22	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Megasphaera; OTU301|NN=Megasphaera_elsdenii_DQ146765|D=93.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU1710|NN=Eubacterium_saphenum_GU427005|D=89.7	2	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	1
Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas	2	2	2	4	3	1	0	20	5	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_clarus	102	2	0	1	1073	0	1	27	2	3	1	0	0	0	3	0	0	0	245	0	1	0	0	0	0
