"","Pvalues","FDR","AIH","nonAIHhepControl","LDAscore"
"Oscillospiraceae",0.011985,0.4104,484267.270038135,208603.852290301,-5.14
"Peptostreptococcaceae",0.025943,0.4104,301061.236251982,476168.964271745,4.94
"Veillonellaceae",0.042643,0.4104,811952.128637136,2145781.76715187,5.82
"Erysipelotrichaceae",0.048828,0.4104,215456.218340663,34014.0586872561,-4.96
"Rikenellaceae",0.05575,0.4104,1474107.59936013,976385.427364414,-5.4
"Not_Assigned",0.06765,0.4104,127093.366820107,86867.2674395732,-4.3
"Prevotellaceae",0.072054,0.4104,1351838.59098075,1173791.66870265,-4.95
"Campylobacteraceae",0.092084,0.4104,597.088366616519,694.693132202319,1.7
"Actinomycetaceae",0.10948,0.4104,2586.76962620688,3164.88886307261,2.46
"Enterobacteriaceae",0.11626,0.4104,8729.40641963038,136680.521782512,4.81
"unclassified",0.12312,0.4104,83268.1295277225,42734.9229793503,-4.31
"Porphyromonadaceae",0.12312,0.4104,626226.387844731,375937.998544102,-5.1
"Mogibacteriaceae",0.13788,0.41523,2505.53926089791,1287.84929457075,-2.79
"Lactobacillaceae",0.14533,0.41523,24170.252586939,20721.7817838046,-3.24
"Ruminococcaceae",0.25342,0.659,1062580.39913931,861623.742529141,-5
"Bacteroidaceae",0.27793,0.659,2003278.50301062,1427330.33850878,-5.46
"Caulobacteraceae",0.29075,0.659,2407.52277788758,2157.35050988835,-2.1
"Christensenellaceae",0.31356,0.659,10936.6447329035,8638.96749951956,-3.06
"Acidaminococcaceae",0.32374,0.659,183063.401009621,321699.97107892,4.84
"Clostridiaceae",0.33166,0.659,39948.7659192255,19384.4870788397,-4.01
"Lachnospiraceae",0.34608,0.659,463976.614504974,396295.746637731,-4.53
"Moraxellaceae",0.36245,0.659,369.352394579204,358.041182715976,-0.823
"Sutterellaceae",0.42271,0.73514,32033.3347303414,71183.5418276162,4.29
"Pasteurellaceae",0.45742,0.76236,94744.0223994216,116095.188299698,4.03
"Desulfovibrionaceae",0.51195,0.81911,981.911767240695,931.943851294974,-1.41
"Sphingomonadaceae",0.56797,0.85319,41298.6833612767,28624.7927965693,-3.8
"Fusobacteriaceae",0.5759,0.85319,648.147246647569,9969.80847405133,3.67
"Oxalobacteraceae",0.62705,0.86104,2599.8037637935,1639.25554674187,-2.68
"Micrococcaceae",0.65924,0.86104,382.069176889377,978.692784106394,2.48
"Pseudomonadaceae",0.66654,0.86104,1021.59328987365,939.266963868454,-1.62
"Bifidobacteriaceae",0.66845,0.86104,64015.1832253126,244799.779439822,4.96
"Staphylococcaceae",0.68989,0.86104,321.868693006266,326.397383150235,0.514
"Gemellaceae",0.72056,0.86104,463.464621181473,545.507334932321,1.62
"Eubacteriaceae",0.73188,0.86104,62028.5232930751,52479.1923845329,-3.68
"Comamonadaceae",0.79716,0.86241,1692.23177502346,1783.6811704707,1.67
"Coriobacteriaceae",0.7972,0.86241,12581.6577373893,31980.1489526233,3.99
"Bradyrhizobiaceae",0.80812,0.86241,226.747477412395,203.839719318958,-1.1
"Verrucomicrobiaceae",0.81929,0.86241,370480.913929122,563231.770911007,4.98
"Carnobacteriaceae",0.90905,0.93236,4341.03918973164,3818.60567024242,-2.42
"Streptococcaceae",0.95446,0.95446,29717.6167724895,150144.279176984,4.78
