"","Pvalues","FDR","AIH","nonAIHhepControl","LDAscore"
"Alistipes_putredinis",0.00020567,0.035786,769427.316496427,101854.141411138,-5.52
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.00045451,0.039543,11876.2242279127,2726.83646844222,-3.66
