"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Actinobacteria",126,113,7750,112,121,148,15,527,870,448,232,61,571,269,1182,365,2456,24,221,668,561,30,92,420,185,848,169,108,777,587,379,17,274,12953,8794
"Bacteroidetes",33582,50423,85464,33871,97130,35087,13976,43635,37597,30625,36227,32108,34697,44216,29752,64882,18830,57489,55790,34400,53915,57868,62236,22057,60217,15529,22528,45675,77776,37889,72529,93099,37206,9692,18787
"Euryarchaeota",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Firmicutes",47901,39141,20060,59648,11660,64764,6016,36243,33901,21614,29716,9708,37971,37604,69809,18114,58697,18015,23666,47550,33503,36692,42238,66302,16569,48591,55665,53206,37818,58529,17464,8570,62987,67873,44876
"Fusobacteria",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0
"Proteobacteria",1811,2889,1109,3312,1392,10635,20,408,1054,1137,780,149,459,1515,3002,263,813,7706,554,1219,8323,1009,1686,3385,17955,459,1264,2989,938,535,2371,1413,881,213,463
"Unclassified",15,0,109,2,4,13,0,14,4,0,2,0,4,6,3,0,2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0
"Verrucomicrobia",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"NA",193,118,342,52,77,327,43,122,95,120,162,52,263,276,123,220,116,240,186,257,207,77,180,294,271,289,53,150,120,142,90,220,196,110,191
