"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Acinetobacter",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0
"Actinomyces",27,71,2,24,12,36,6,0,8,5,15,24,51,22,8,18,46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11
"Aggregatibacter",2,64,1,341,0,223,3,2,0,0,29,0,0,0,14,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,11,0,0,0
"Akkermansia",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"Alistipes",4006,76,3334,15074,20203,10249,289,9043,16593,10956,15286,9412,6498,21977,10951,41709,5814,15199,39405,14313,22911,27028,34222,15564,24063,1316,5537,15799,35481,17395,27584,2477,13145,301,2153
"Anaerofilum",0,0,0,2,1,0,1,0,3,5,3,0,4,18,0,0,3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2
"Anaerofustis",0,0,0,1,0,0,0,1,3,0,0,0,4,0,0,16,0,2,4,2,2,0,1,6,0,0,0,0,7,7,1,0,2,5,2
"Anaerotruncus",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1
"Atopobium",7,12,2,6,5,14,1,0,8,0,0,0,0,6,0,2,0,0,2,3,5,5,0,0,0,0,0,0,11,0,0,4,6,0,1
"Bacteroides",29037,48745,81572,2986,4788,23416,182,3338,14481,5418,7478,11137,8280,14390,14566,20709,9931,30903,13280,9507,23682,24022,15017,4431,14671,12426,1503,27863,13566,9113,28153,90389,18452,8121,13128
"Barnesiella",14,287,6,3298,6547,400,287,4684,4849,6237,10644,5145,1108,252,2314,3,809,10532,1214,5675,2384,90,11238,241,17817,640,1976,1218,26520,9146,15850,168,4349,1253,427
"Bifidobacterium",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665
"Bilophila",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0
"Blautia",168,5622,16694,162,99,267,50,42,46,80,68,163,480,224,147,139,1348,108,132,341,118,22,209,185,115,648,151,765,158,49,661,7,142,2712,252
"Bradyrhizobium",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0
"Brevundimonas",4,3,1,4,2,2,0,1,6,5,0,1,2,16,20,0,4,2,6,12,4,2,0,22,5,0,6,4,1,2,0,0,2,0,0
"Butyricimonas",5,2,0,110,2682,0,39,934,579,906,141,185,971,1254,1080,1,1306,256,812,581,3319,0,649,0,1564,55,131,287,1081,310,0,4,548,0,504
"Candidatus_Soleaferrea",2,10,44,0,0,3,1,2,11,28,178,74,1,63,0,169,641,5,1,3,47,0,542,164,57,272,5,0,429,2,1,12,427,221,199
"Christensenella",0,0,1,34,21,0,7,122,63,118,99,7,34,772,45,16,251,77,20,37,129,37,1668,1014,12,10,136,21,399,71,0,0,126,53,44
"Clostridium",24,2884,250,127,7,234,8,598,2208,651,625,30,272,72,290,247,529,51,184,261,152,303,713,3208,106,414,3343,294,385,1761,174,5,481,630,701
"Collinsella",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53
"Coprococcus",11,10,18,18,0,197,7,314,168,89,743,39,597,133,82,30,539,1199,289,24,24,91,29,264,398,965,74,574,143,136,50,80,624,370,649
"Dehalobacterium",0,0,0,0,0,0,0,0,2,50,18,3,25,0,0,93,4,2,8,0,22,1,7,69,4,10,33,0,93,7,0,0,0,0,12
"Dialister",1493,11,59,24900,53,21041,1533,13480,81,2007,3,603,1643,7117,37,52,2100,4,4726,30,1293,17610,42,10645,1693,0,15640,3,1248,4164,4745,24,4307,5283,5730
"Dorea",50,788,156,53,19,209,4,28,33,28,65,20,556,39,41,58,596,104,23,90,17,28,68,81,61,258,36,51,168,26,35,171,72,832,3928
"Eggerthella",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0
"Erysipelatoclostridium",10,5962,838,5,0,4,0,4,0,6,1,5,0,7,1,0,1,9,10,16,7,0,1,17,7,0,0,2,8,5,3,122,0,24,0
"Eubacterium",271,5,56,194,31,337,23,74,301,461,2190,79,1339,1563,1427,350,3137,444,497,1708,283,632,1305,443,628,1572,355,1528,955,404,191,2,876,568,728
"Faecalibacterium",313,5,19,841,562,69,63,245,34,98,1579,32,1811,50,3600,34,348,159,296,143,956,1002,36,583,75,284,3334,44,1274,606,162,2,3409,1944,216
"Fusicatenibacter",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379
"Fusobacterium",19,15,9,19,0,2,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0
"Gemella",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0
"Gemmiger",254,2,6,507,11,38,8,131,367,1074,25,65,55,211,2,0,619,177,1551,625,83,1377,976,465,386,750,350,0,6178,10410,0,1,673,14900,1250
"Granulicatella",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0
"Haemophilus",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17
"Holdemania",56,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0
"Intestinibacter",3,1508,26,133,43,414,19,1376,1322,878,50,55,1490,1068,2274,129,194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599
"Intestinimonas",5,1,144,3,0,22,1,0,22,7,0,0,0,13,0,24,2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2
"Kluyvera",0,0,28,0,0,5,3,0,4,0,0,0,6,9,0,0,0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0
