"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Actinomycetales",32,71,31,25,17,43,6,1,8,5,19,26,54,22,10,18,57,1,6,32,19,10,3,6,18,13,3,25,55,74,12,11,36,120,17
"Bacillales",1,6,6,0,0,13,0,0,7,7,0,1,0,6,0,0,2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2
"Bacteroidales",33582,50423,85464,33871,97130,35087,13976,43635,37597,30625,36227,32108,34697,44216,29752,64882,18830,57489,55790,34400,53915,57868,62236,22057,60217,15529,22528,45675,77776,37889,72529,93099,37206,9692,18787
"Bifidobacteriales",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665
"Burkholderiales",70,218,206,215,912,1501,5,202,223,174,20,20,96,140,1414,49,500,199,103,131,7597,602,12,361,10153,63,68,1066,369,136,492,494,165,6,133
"Caulobacterales",24,40,51,27,10,44,1,4,23,10,1,8,4,55,77,7,4,6,22,49,14,35,4,67,11,0,41,183,10,7,9,16,61,3,1
"Clostridiales",35108,24055,18022,29710,7539,27873,2435,16773,20650,17764,27427,6561,35572,25099,59669,17947,54939,16547,16508,38014,23064,18375,25028,53806,14138,44978,39273,39302,33282,52924,12402,5357,36330,60710,37567
"Coriobacteriales",76,17,8,64,10,46,2,83,719,5,22,9,212,40,255,80,348,16,93,306,114,18,59,7,6,401,55,51,536,147,24,4,22,60,112
"Desulfovibrionales",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0
"Enterobacteriales",136,555,30,9,9,69,3,3,160,8,6,35,44,107,0,22,7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103
"Erysipelotrichales",135,13466,855,1939,24,233,2,4465,11,1520,1927,2229,326,473,338,29,521,343,1535,2259,8590,614,185,395,132,244,355,344,2669,1251,111,3123,3657,489,210
"Fusobacteriales",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0
"Gemellales",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0
"Lactobacillales",662,856,273,97,417,321,74,91,80,161,126,233,246,4409,147,67,831,111,482,422,461,76,172,1122,173,73,219,1072,442,126,117,45,144,242,96
"Methanobacteriales",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Pasteurellales",1210,1417,11,2834,248,8529,4,89,80,2,574,5,175,1,53,0,27,0,36,7,0,23,0,10,44,4,643,20,77,13,183,39,54,55,17
"Pseudomonadales",16,3,25,9,1,5,0,0,30,18,3,3,5,23,51,7,2,7,21,33,20,4,5,156,5,0,17,7,4,22,11,21,9,5,1
"RF32",0,1,0,0,137,0,0,0,2,795,0,0,1,1,33,1,3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141
"Rhizobiales",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0
"Selenomonadales",11988,746,904,27596,3679,36324,3505,14811,13132,2095,183,653,1788,7598,9646,58,2231,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12481,1367,4191,4811,30,22852,6424,6732
"Sphingomonadales",351,638,781,201,72,475,6,107,535,106,80,68,58,1184,1362,177,32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67
"unclassified",16,0,109,304,4,13,0,108,25,0,2,0,29,6,3,0,170,0,41,5,15,1,5,0,4,157,20,2,2,4,153,0,45,0,203
"Verrucomicrobiales",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"NA",198,119,343,66,77,335,43,128,95,251,215,79,353,276,123,232,413,250,545,308,271,77,207,524,324,437,62,150,170,177,109,220,298,116,257
