"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083"
"Actinobacteria",121,112,7749,98,121,140,15,527,870,379,232,61,495,269,1182,365,2159,24,220,665,561,30,90,420,185,705,169,108,777,587,379,17,172,12953,8794
"Alphaproteobacteria",379,691,837,228,222,523,7,112,560,911,81,78,63,1240,1474,185,39,5641,325,972,560,314,1618,2618,5822,12,465,1881,422,234,1667,322,616,65,209
"Bacilli",669,874,279,101,418,334,74,94,87,173,126,238,246,4434,156,68,838,116,483,443,467,76,176,1150,175,74,228,1079,450,128,121,60,148,244,98
"Bacteroidia",33582,50423,85464,33871,97130,35087,13976,43635,37597,30625,36227,32108,34697,44216,29752,64882,18830,57489,55790,34400,53915,57868,62236,22057,60217,15529,22528,45675,77776,37889,72529,93099,37206,9692,18787
"Betaproteobacteria",70,218,206,215,912,1501,5,202,223,174,20,20,96,140,1414,49,500,199,103,131,7597,602,12,361,10153,63,68,1066,369,136,492,494,165,6,133
"Clostridia",35108,24055,18022,29710,7539,27873,2435,16773,20650,17764,27427,6561,35572,25099,59669,17947,54939,16547,16508,38014,23064,18375,25028,53806,14138,44978,39273,39302,33282,52924,12402,5357,36330,60710,37567
"Deltaproteobacteria",0,5,0,17,0,8,1,2,1,24,96,8,76,4,10,0,238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0
"Erysipelotrichia",135,13466,855,1939,24,233,2,4465,11,1520,1927,2229,326,473,338,29,521,343,1535,2259,8590,614,185,395,132,244,355,344,2669,1251,111,3123,3657,489,210
"Fusobacteriia",20,30,23,19,1,4,0,3,29,0,0,0,1,0,1,5,0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0
"Gammaproteobacteria",1362,1975,66,2852,258,8603,7,92,270,28,583,43,224,131,104,29,36,1807,83,48,55,27,12,196,1214,4,665,27,93,116,194,597,86,142,121
"Methanobacteria",0,0,0,0,0,0,0,0,0,64,187,0,2,0,0,0,1,157,2,2,0,0,246,175,89,1227,0,0,3,0,0,0,0,0,12
"Negativicutes",11988,746,904,27596,3679,36324,3505,14811,13132,2095,183,653,1788,7598,9646,58,2231,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12481,1367,4191,4811,30,22852,6424,6732
"unclassified",16,0,109,304,4,13,0,108,25,0,2,0,29,6,3,0,170,0,41,5,15,1,5,0,4,157,20,2,2,4,153,0,45,0,203
"Verrucomicrobiae",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938
"NA",198,119,343,66,77,335,43,128,95,251,215,79,353,276,123,232,413,250,545,308,271,77,207,524,324,437,62,150,170,177,109,220,298,116,257
