"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Acinetobacter",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"Actinomyces",46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,62,4,2,10,7,0,1,3,258,12,5,20,113,8,5,1,0,42,3,4,5,27,11
"Akkermansia",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"Alistipes",5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,31821,11498,26276,15728,188,10,1230,4,2,7,5151,363,29,7450,39334,63,12419,3491,15302,4196,3423,606,12286
"Anaerofilum",3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,9
"Anaerotruncus",0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,0,20,0,10,0,0,2,0,0,0,0,13,0,0,0,0,38,0,3,4,0,3,0
"Atopobium",0,0,2,3,5,5,0,0,0,0,0,0,11,0,0,4,6,0,1,56,9,3,2,10,0,0,0,6,1,0,1,16,0,0,0,0,3,1,0,1,6,0
"Bacteroides",9828,30901,13271,9500,22608,24021,15016,4395,14667,12422,1502,27863,13561,9113,28150,90389,18452,8121,12883,14000,13481,14627,9315,125,28,441,997,2122,25466,23111,5023,25368,3048,7745,26428,18660,8612,29144,2276,310,52355,6148
"Barnesiella",809,10531,1205,5669,2370,90,11228,217,17817,640,1968,1218,26514,9136,15843,168,4349,1253,427,8033,812,2973,11081,612,7,38,7,0,0,707,50,7,497,0,12,110,2,4038,45,72,613,35
"Bifidobacterium",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
